id,change,quantity,representation_role,candidate_material,MPN,mass_kg,native_material_assigned,STEP_path
equipment_arm_drive,REPLACE_EXISTING,1,FUNCTIONAL_ENVELOPE,UNKNOWN,UNKNOWN,UNKNOWN,False,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_INTERNAL_LAYOUT_R4_20260920\cad\equipment_arm_drive.step
adapter_arm_drive,REPLACE_EXISTING,1,PHYSICAL_GEOMETRY_DESIGN_MODIFIED,UNKNOWN,UNKNOWN,UNKNOWN,False,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_INTERNAL_LAYOUT_R4_20260920\cad\adapter_arm_drive.step
upper_equipment_deck_B,REPLACE_EXISTING,1,PHYSICAL_GEOMETRY_DESIGN_MODIFIED,UNKNOWN,UNKNOWN,UNKNOWN,False,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_INTERNAL_LAYOUT_R4_20260920\cad\upper_equipment_deck_B.step
thermal_interface_arm_drive,REPLACE_EXISTING,1,THERMAL_INTERFACE_CANDIDATE,UNKNOWN,UNKNOWN,UNKNOWN,False,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_INTERNAL_LAYOUT_R4_20260920\cad\thermal_interface_arm_drive.step
release_power_data_route_0_0,REPLACE_EXISTING,1,FUNCTIONAL_ROUTE_ENVELOPE,UNKNOWN,UNKNOWN,UNKNOWN,False,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_INTERNAL_LAYOUT_R4_20260920\cad\release_power_data_route_0_0.step
release_power_data_route_1_0,REPLACE_EXISTING,1,FUNCTIONAL_ROUTE_ENVELOPE,UNKNOWN,UNKNOWN,UNKNOWN,False,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_INTERNAL_LAYOUT_R4_20260920\cad\release_power_data_route_1_0.step
R4_IF_SPACER_1,ADD_INSTANCE,1,INSTALLATION_CANDIDATE,Al6061,UNKNOWN,UNKNOWN,False,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_INTERNAL_LAYOUT_R4_20260920\cad\R4_IF_SPACER_1.step
R4_IF_BOLT_1,ADD_INSTANCE,1,INSTALLATION_CANDIDATE,stainless_steel_unspecified_strength,UNKNOWN,UNKNOWN,False,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_INTERNAL_LAYOUT_R4_20260920\cad\R4_IF_BOLT_1.step
R4_IF_TOP_WASHER_1,ADD_INSTANCE,1,INSTALLATION_CANDIDATE,stainless_steel_unspecified_strength,UNKNOWN,UNKNOWN,False,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_INTERNAL_LAYOUT_R4_20260920\cad\R4_IF_TOP_WASHER_1.step
R4_IF_BOTTOM_WASHER_1,ADD_INSTANCE,1,INSTALLATION_CANDIDATE,stainless_steel_unspecified_strength,UNKNOWN,UNKNOWN,False,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_INTERNAL_LAYOUT_R4_20260920\cad\R4_IF_BOTTOM_WASHER_1.step
R4_IF_NUT_1,ADD_INSTANCE,1,INSTALLATION_CANDIDATE,stainless_steel_unspecified_strength,UNKNOWN,UNKNOWN,False,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_INTERNAL_LAYOUT_R4_20260920\cad\R4_IF_NUT_1.step
R4_IF_SPACER_2,ADD_INSTANCE,1,INSTALLATION_CANDIDATE,Al6061,UNKNOWN,UNKNOWN,False,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_INTERNAL_LAYOUT_R4_20260920\cad\R4_IF_SPACER_2.step
R4_IF_BOLT_2,ADD_INSTANCE,1,INSTALLATION_CANDIDATE,stainless_steel_unspecified_strength,UNKNOWN,UNKNOWN,False,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_INTERNAL_LAYOUT_R4_20260920\cad\R4_IF_BOLT_2.step
R4_IF_TOP_WASHER_2,ADD_INSTANCE,1,INSTALLATION_CANDIDATE,stainless_steel_unspecified_strength,UNKNOWN,UNKNOWN,False,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_INTERNAL_LAYOUT_R4_20260920\cad\R4_IF_TOP_WASHER_2.step
R4_IF_BOTTOM_WASHER_2,ADD_INSTANCE,1,INSTALLATION_CANDIDATE,stainless_steel_unspecified_strength,UNKNOWN,UNKNOWN,False,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_INTERNAL_LAYOUT_R4_20260920\cad\R4_IF_BOTTOM_WASHER_2.step
R4_IF_NUT_2,ADD_INSTANCE,1,INSTALLATION_CANDIDATE,stainless_steel_unspecified_strength,UNKNOWN,UNKNOWN,False,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_INTERNAL_LAYOUT_R4_20260920\cad\R4_IF_NUT_2.step
R4_IF_SPACER_3,ADD_INSTANCE,1,INSTALLATION_CANDIDATE,Al6061,UNKNOWN,UNKNOWN,False,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_INTERNAL_LAYOUT_R4_20260920\cad\R4_IF_SPACER_3.step
R4_IF_BOLT_3,ADD_INSTANCE,1,INSTALLATION_CANDIDATE,stainless_steel_unspecified_strength,UNKNOWN,UNKNOWN,False,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_INTERNAL_LAYOUT_R4_20260920\cad\R4_IF_BOLT_3.step
R4_IF_TOP_WASHER_3,ADD_INSTANCE,1,INSTALLATION_CANDIDATE,stainless_steel_unspecified_strength,UNKNOWN,UNKNOWN,False,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_INTERNAL_LAYOUT_R4_20260920\cad\R4_IF_TOP_WASHER_3.step
R4_IF_BOTTOM_WASHER_3,ADD_INSTANCE,1,INSTALLATION_CANDIDATE,stainless_steel_unspecified_strength,UNKNOWN,UNKNOWN,False,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_INTERNAL_LAYOUT_R4_20260920\cad\R4_IF_BOTTOM_WASHER_3.step
R4_IF_NUT_3,ADD_INSTANCE,1,INSTALLATION_CANDIDATE,stainless_steel_unspecified_strength,UNKNOWN,UNKNOWN,False,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_INTERNAL_LAYOUT_R4_20260920\cad\R4_IF_NUT_3.step
R4_IF_SPACER_4,ADD_INSTANCE,1,INSTALLATION_CANDIDATE,Al6061,UNKNOWN,UNKNOWN,False,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_INTERNAL_LAYOUT_R4_20260920\cad\R4_IF_SPACER_4.step
R4_IF_BOLT_4,ADD_INSTANCE,1,INSTALLATION_CANDIDATE,stainless_steel_unspecified_strength,UNKNOWN,UNKNOWN,False,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_INTERNAL_LAYOUT_R4_20260920\cad\R4_IF_BOLT_4.step
R4_IF_TOP_WASHER_4,ADD_INSTANCE,1,INSTALLATION_CANDIDATE,stainless_steel_unspecified_strength,UNKNOWN,UNKNOWN,False,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_INTERNAL_LAYOUT_R4_20260920\cad\R4_IF_TOP_WASHER_4.step
R4_IF_BOTTOM_WASHER_4,ADD_INSTANCE,1,INSTALLATION_CANDIDATE,stainless_steel_unspecified_strength,UNKNOWN,UNKNOWN,False,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_INTERNAL_LAYOUT_R4_20260920\cad\R4_IF_BOTTOM_WASHER_4.step
R4_IF_NUT_4,ADD_INSTANCE,1,INSTALLATION_CANDIDATE,stainless_steel_unspecified_strength,UNKNOWN,UNKNOWN,False,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_INTERNAL_LAYOUT_R4_20260920\cad\R4_IF_NUT_4.step
