link,mass_kg_source,com_xyz_m_source,com_rpy_rad_source,ixx_kg_m2_source,ixy_kg_m2_source,ixz_kg_m2_source,iyy_kg_m2_source,iyz_kg_m2_source,izz_kg_m2_source,mass_owner_id
base_link,0.83660000,-7.849E-06 -1.1531E-06 0.029841,0 0 0,0.00133040,0.00000001,0.00000000,0.00213119,0.00000000,0.00275877,B601_URDF_OWNER
link1,0.16130000,0.000113614552951627 -0.000616319527051323 0.0236476372671394,0 0 0,0.00025207,0.00000000,-0.00002832,0.00015464,0.00000000,0.00023416,B601_URDF_OWNER
link2,1.32660000,-0.13225622308888 -0.0030617036386309 -0.0308306967030205,0 0 0,0.00073374,-0.00000043,0.00000851,0.01255987,0.00000128,0.01281387,B601_URDF_OWNER
link3,0.83530000,0.121040035791843 -0.0536211076627949 -0.0310137854608077,0 0 0,0.00046807,-0.00003456,-0.00004260,0.00632695,0.00000006,0.00648221,B601_URDF_OWNER
link4,0.52000000,0.0608200956293136 -0.0511711906613122 -0.030299458623927,0 0 0,0.00045986,0.00024219,-0.00000672,0.00075258,-0.00000535,0.00066742,B601_URDF_OWNER
link5,0.38300000,-0.00502802058982517 1.73866206692364E-06 0.0386233236326755,0 0 0,0.00019772,-0.00000062,-0.00002426,0.00021737,0.00000002,0.00017191,B601_URDF_OWNER
link6,0.36630000,3.76418727127126E-06 -0.000100908819946677 0.0253308606425965,0 0 0,0.00015554,-0.00000,-0.00000,0.00015554,-0.0000,0.00013966,B601_URDF_OWNER
gripper_link,0.181800159145243,-0.11400456131826 7.30809328589541E-05 -8.098254686284E-08,0 0 0,0.000232385828322385,-2.77584025941111E-07,-6.04874349510246E-10,5.85085867377427E-05,-1.15493362444215E-08,0.000205213535851537,B601_URDF_OWNER
gripper_left,0.0423278952416158,0.00937154605945142 -0.0183514409006279 -0.00213050813223617,0 0 0,9.68819007445228E-06,-1.14547785891207E-06,1.82410432419993E-08,9.7195653452821E-06,1.20737618180169E-07,1.13638462227589E-05,B601_URDF_OWNER
gripper_right,0.0423278949561274,0.00937154599936671 0.0183514410059713 0.00213050822993754,0 0 0,9.68819002375832E-06,1.14547786360874E-06,-1.82410118281856E-08,9.7195652747221E-06,1.20737613592695E-07,1.13638461944347E-05,B601_URDF_OWNER
