link,mesh_path,sha256,visual_equals_collision,scale_attribute,bbox_min_x_m,bbox_min_y_m,bbox_min_z_m,bbox_max_x_m,bbox_max_y_m,bbox_max_z_m,cad_import_scale
base_link,20_engineering/cad/spacecraft_layout/arm_b601_v1/meshes_b601_gripper/base_link.STL,22641C079014FE968702393F61E7F7F1A8F80C6C1DF45A61E31545F6EAFF3B65,True,,-0.0700000002980232,-0.100000001490116,-1.78813942819378e-11,0.0700000002980232,0.100000001490116,0.0826499983668327,1000 mm per m
link1,20_engineering/cad/spacecraft_layout/arm_b601_v1/meshes_b601_gripper/link1.STL,9DB637A63D37BC2C6398EA5B8BA32FB54122C637D5D77DC134C8782839B654CD,True,,-0.0384158417582512,-0.0386249981820583,-0.00709999864920974,0.0485655553638935,0.0386249981820583,0.0839193388819695,1000 mm per m
link2,20_engineering/cad/spacecraft_layout/arm_b601_v1/meshes_b601_gripper/link2.STL,DEF0D9D82343DCCC1EFF0D9D5572ECA49B3C134DB9807CA12302B99D153DF65E,True,,-0.292499989271164,-0.0285000000149012,-0.0653000026941299,0.0285000000149012,0.0285000037401915,0.00205000001005828,1000 mm per m
link3,20_engineering/cad/spacecraft_layout/arm_b601_v1/meshes_b601_gripper/link3.STL,CA14D73B5D63F352051F440F4CABC3989567F25EE9D19E7DD749F2D6F0D0561D,True,,-0.0266795475035906,-0.0824999734759331,-0.0712499991059303,0.271099984645844,0.0225000232458115,0.00899999961256981,1000 mm per m
link4,20_engineering/cad/spacecraft_layout/arm_b601_v1/meshes_b601_gripper/link4.STL,061909364F20BB387F9FF82CB80E506AF959142F9FBB4A39DC86FC8244EE768A,True,,-0.0280337166041136,-0.0879999995231628,-0.0633800029754639,0.117751523852348,0.0279148444533348,0.00337999989278615,1000 mm per m
link5,20_engineering/cad/spacecraft_layout/arm_b601_v1/meshes_b601_gripper/link5.STL,3A32006227C1F9DBC70E77E07055C61E3F195F1054D4D2EB480262F0873BF001,True,,-0.0378077477216721,-0.0384999997913837,-0.00199999893084168,0.0321922563016415,0.0384999997913837,0.0780399441719055,1000 mm per m
link6,20_engineering/cad/spacecraft_layout/arm_b601_v1/meshes_b601_gripper/link6.STL,C586A7D0B8345D2CD32EAB7DFD2E334ABA56E83F582A6298D41BBF718F2EBEF1,True,,-0.0284000001847744,-0.0284000001847744,-0.00049999967450276,0.0284000001847744,0.0284000001847744,0.00899999961256981,1000 mm per m
gripper_link,20_engineering/cad/spacecraft_layout/arm_b601_v1/meshes_b601_gripper/gripper_link.STL,A826E164D420A6922E8AD5EE27813F39FA809F6E4FDF39B42FD8A59E7D12E847,True,,-0.150709331035614,-0.0920347571372986,-0.0384999997913837,-0.073209322988987,0.0920347571372986,0.0384999997913837,1000 mm per m
gripper_left,20_engineering/cad/spacecraft_layout/arm_b601_v1/meshes_b601_gripper/gripper_left.STL,C4E0DE70F776B3573D975A6EAAA746CCCBE57C2D5BB12501DA8889979D3AF268,True,,-0.0586218014359474,-0.046518225222826,-0.0196069683879614,0.0342775322496891,0.0420910976827145,0.0196069683879614,1000 mm per m
gripper_right,20_engineering/cad/spacecraft_layout/arm_b601_v1/meshes_b601_gripper/gripper_right.STL,615B119C0BB97A032BADD5882144E4A2A50C905A3E071AF1FA28B83BFE9B1B65,True,,-0.0586218014359474,-0.0420910976827145,-0.0196069683879614,0.0342775322496891,0.046518225222826,0.0196069683879614,1000 mm per m
