frame,parent_contract,a0_x_mm,a0_y_mm,a0_z_mm,R_A0_frame_row_major,S_DISPLAY_MOUNT_FACE_xyz_mm,S_DISPLAY_MOUNT_FACE_R_row_major,S_DYNAMICS_T_SM_xyz_mm,S_DYNAMICS_T_SM_R_row_major
base_link,accepted URDF,0,0,0,"[[1.0,0.0,0.0],[0.0,1.0,0.0],[0.0,0.0,1.0]]",198 0 0,"[[0.0,0.0,1.0],[0.0,1.0,0.0],[-1.0,0.0,0.0]]",185.25 0 0,"[[0.0,0.0,1.0],[0.0,1.0,0.0],[-1.0,0.0,0.0]]"
link1,accepted URDF,-0.08416,0,84.65,"[[1.0,0.0,0.0],[0.0,1.0,0.0],[0.0,0.0,1.0]]",282.65 0 0.08416,"[[0.0,0.0,1.0],[0.0,1.0,0.0],[-1.0,0.0,0.0]]",269.9 0 0.08416,"[[0.0,0.0,1.0],[0.0,1.0,0.0],[-1.0,0.0,0.0]]"
link2,accepted URDF,19.99984,31.625,140.2,"[[1.0,0.0,0.0],[0.0,-3.673205103346574e-06,0.9999999999932537],[0.0,-0.9999999999932537,-3.673205103346574e-06]]",338.2 31.625 -19.99984,"[[0.0,-0.9999999999932537,-3.673205103346574e-06],[0.0,-3.673205103346574e-06,0.9999999999932537],[-1.0,0.0,0.0]]",325.45 31.625 -19.99984,"[[0.0,-0.9999999999932537,-3.673205103346574e-06],[0.0,-3.673205103346574e-06,0.9999999999932537],[-1.0,0.0,0.0]]"
link3,accepted URDF,-244.00016,31.625,140.2,"[[1.0,0.0,0.0],[0.0,-3.673205103346574e-06,0.9999999999932537],[0.0,-0.9999999999932537,-3.673205103346574e-06]]",338.2 31.625 244.00016,"[[0.0,-0.9999999999932537,-3.673205103346574e-06],[0.0,-3.673205103346574e-06,0.9999999999932537],[-1.0,0.0,0.0]]",325.45 31.625 244.00016,"[[0.0,-0.9999999999932537,-3.673205103346574e-06],[0.0,-3.673205103346574e-06,0.9999999999932537],[-1.0,0.0,0.0]]"
link4,accepted URDF,-1.40016,30.0001983531,194.200005969,"[[1.0,0.0,0.0],[0.0,-3.673205103346574e-06,0.9999999999932537],[0.0,-0.9999999999932537,-3.673205103346574e-06]]",392.200005969 30.0001983531 1.40016,"[[0.0,-0.9999999999932537,-3.673205103346574e-06],[0.0,-3.673205103346574e-06,0.9999999999932537],[-1.0,0.0,0.0]]",379.450005969 30.0001983531 1.40016,"[[0.0,-0.9999999999932537,-3.673205103346574e-06],[0.0,-3.673205103346574e-06,0.9999999999932537],[-1.0,0.0,0.0]]"
link5,accepted URDF,76.90784,0.000336098480307,231.700116164,"[[1.0,0.0,0.0],[0.0,-0.999999999973015,-7.346410206643587e-06],[0.0,7.346410206643587e-06,-0.999999999973015]]",429.700116164 0.000336098480307 -76.90784,"[[0.0,7.346410206643587e-06,-0.999999999973015],[0.0,-0.999999999973015,-7.346410206643587e-06],[-1.0,0.0,0.0]]",416.950116164 0.000336098480307 -76.90784,"[[0.0,7.346410206643587e-06,-0.999999999973015],[0.0,-0.999999999973015,-7.346410206643587e-06],[-1.0,0.0,0.0]]"
link6,accepted URDF,100.59984,4.22420720416e-05,191.700116166,"[[-3.673205103346574e-06,0.0,0.9999999999932537],[7.346410206594026e-06,-0.999999999973015,2.6984871462320583e-11],[0.9999999999662688,7.346410206643587e-06,3.6732051032474524e-06]]",389.700116166 4.22420720416e-05 -100.59984,"[[0.9999999999662688,7.346410206643587e-06,3.6732051032474524e-06],[7.346410206594026e-06,-0.999999999973015,2.6984871462320583e-11],[3.673205103346574e-06,0.0,-0.9999999999932537]]",376.950116166 4.22420720416e-05 -100.59984,"[[0.9999999999662688,7.346410206643587e-06,3.6732051032474524e-06],[7.346410206594026e-06,-0.999999999973015,2.6984871462320583e-11],[3.673205103346574e-06,0.0,-0.9999999999932537]]"
gripper_link,accepted URDF,260.309839999,4.22463817954e-05,191.700702813,"[[0.9999999999999999,0.0,0.0],[0.0,-0.999999999973015,-7.346410206643586e-06],[0.0,7.346410206643587e-06,-0.9999999999730149]]",389.700702813 4.22463817954e-05 -260.309839999,"[[0.0,7.346410206643587e-06,-0.9999999999730149],[0.0,-0.999999999973015,-7.346410206643586e-06],[-0.9999999999999999,0.0,0.0]]",376.950702813 4.22463817954e-05 -260.309839999,"[[0.0,7.346410206643587e-06,-0.9999999999730149],[0.0,-0.999999999973015,-7.346410206643586e-06],[-0.9999999999999999,0.0,0.0]]"
gripper_left,accepted URDF,218.218839999,-0.0274886578864,191.713734015,"[[-3.6732051033465735e-06,0.9999999999932536,0.0],[0.9999999999662688,3.6732051032474524e-06,-7.346410206643586e-06],[-7.346410206594026e-06,-2.6984871462320583e-11,-0.9999999999730149]]",389.713734015 -0.0274886578864 -218.218839999,"[[-7.346410206594026e-06,-2.6984871462320583e-11,-0.9999999999730149],[0.9999999999662688,3.6732051032474524e-06,-7.346410206643586e-06],[3.6732051033465735e-06,-0.9999999999932536,0.0]]",376.963734015 -0.0274886578864 -218.218839999,"[[-7.346410206594026e-06,-2.6984871462320583e-11,-0.9999999999730149],[0.9999999999662688,3.6732051032474524e-06,-7.346410206643586e-06],[3.6732051033465735e-06,-0.9999999999932536,0.0]]"
gripper_right,accepted URDF,218.218839999,0.02757315065,191.687671611,"[[-3.6732051033465735e-06,-0.9999999999932536,0.0],[-0.9999999999662688,3.6732051032474524e-06,-7.346410206643586e-06],[7.346410206594026e-06,-2.6984871462320583e-11,-0.9999999999730149]]",389.687671611 0.02757315065 -218.218839999,"[[7.346410206594026e-06,-2.6984871462320583e-11,-0.9999999999730149],[-0.9999999999662688,3.6732051032474524e-06,-7.346410206643586e-06],[3.6732051033465735e-06,0.9999999999932536,0.0]]",376.937671611 0.02757315065 -218.218839999,"[[7.346410206594026e-06,-2.6984871462320583e-11,-0.9999999999730149],[-0.9999999999662688,3.6732051032474524e-06,-7.346410206643586e-06],[3.6732051033465735e-06,0.9999999999932536,0.0]]"
