id,module_solid,structure_solid,legacy_aabb_overlap_mm3,parent_class,root_cause_cluster,responsible_r1_part,geometry_change_preliminary,pre_exact_common_volume_mm3,pre_minimum_distance_mm,pre_local_evidence,post_exact_common_volume_mm3,post_minimum_distance_mm,post_local_evidence,replacement_part,replacement_sha256,closure_status,closure_credit
V14-01,ADP_SPREADER,STRUCT_FRAME_FRONT_NZ,4034.0,UNACCEPTABLE_COLLISION,RC-H10-A-LEGACY_FULL_AREA_SPREADER,ADAPTER_ARCHITECTURE,DELETE_LEGACY_SPREADER_AND_REPLACE_WITH_DATUM_DRIVEN_ARCHITECTURE,UNKNOWN,UNKNOWN,PARENT_ROW_ONLY,NOT_RUN,NOT_RUN,NOT_RUN,TBD,TBD,OPEN_PARENT_INHERITED_NO_R1_GEOMETRY,NONE
V14-02,ADP_SPREADER,STRUCT_FRAME_FRONT_NY,4034.0,UNACCEPTABLE_COLLISION,RC-H10-A-LEGACY_FULL_AREA_SPREADER,ADAPTER_ARCHITECTURE,DELETE_LEGACY_SPREADER_AND_REPLACE_WITH_DATUM_DRIVEN_ARCHITECTURE,UNKNOWN,UNKNOWN,PARENT_ROW_ONLY,NOT_RUN,NOT_RUN,NOT_RUN,TBD,TBD,OPEN_PARENT_INHERITED_NO_R1_GEOMETRY,NONE
V14-03,ADP_SPREADER,STRUCT_FRAME_FRONT_PZ,4034.0,UNACCEPTABLE_COLLISION,RC-H10-A-LEGACY_FULL_AREA_SPREADER,ADAPTER_ARCHITECTURE,DELETE_LEGACY_SPREADER_AND_REPLACE_WITH_DATUM_DRIVEN_ARCHITECTURE,UNKNOWN,UNKNOWN,PARENT_ROW_ONLY,NOT_RUN,NOT_RUN,NOT_RUN,TBD,TBD,OPEN_PARENT_INHERITED_NO_R1_GEOMETRY,NONE
V14-04,ADP_SPREADER,STRUCT_FRAME_FRONT_PY,4034.0,UNACCEPTABLE_COLLISION,RC-H10-A-LEGACY_FULL_AREA_SPREADER,ADAPTER_ARCHITECTURE,DELETE_LEGACY_SPREADER_AND_REPLACE_WITH_DATUM_DRIVEN_ARCHITECTURE,UNKNOWN,UNKNOWN,PARENT_ROW_ONLY,NOT_RUN,NOT_RUN,NOT_RUN,TBD,TBD,OPEN_PARENT_INHERITED_NO_R1_GEOMETRY,NONE
V14-05,ADP_LOAD_BRIDGE_PU,STRUCT_FRAME_FRONT_PZ,1017.3,INTENDED_BOLTED_LAP,RC-H10-B-UNDEFINED_LAP_AND_STALE_DATUM,ADAPTER_ARCHITECTURE,REBUILD_SHOE_FROM_CANONICAL_PRIMARY_FACE,UNKNOWN,UNKNOWN,PARENT_ROW_ONLY,NOT_RUN,NOT_RUN,NOT_RUN,TBD,TBD,OPEN_PARENT_INHERITED_NO_R1_GEOMETRY,NONE
V14-06,ADP_LOAD_BRIDGE_PU,STRUCT_FRAME_FRONT_PY,2474.8,INTENDED_BOLTED_LAP,RC-H10-B-UNDEFINED_LAP_AND_STALE_DATUM,ADAPTER_ARCHITECTURE,REBUILD_SHOE_FROM_CANONICAL_PRIMARY_FACE,UNKNOWN,UNKNOWN,PARENT_ROW_ONLY,NOT_RUN,NOT_RUN,NOT_RUN,TBD,TBD,OPEN_PARENT_INHERITED_NO_R1_GEOMETRY,NONE
V14-07,ADP_LOAD_BRIDGE_PU,STRUCT_LONGERON_PY_PZ,3154.1,INTENDED_BOLTED_LAP,RC-H10-B-UNDEFINED_LAP_AND_STALE_DATUM,ADAPTER_ARCHITECTURE,REBUILD_SHOE_FROM_CANONICAL_PRIMARY_FACE,UNKNOWN,UNKNOWN,PARENT_ROW_ONLY,NOT_RUN,NOT_RUN,NOT_RUN,TBD,TBD,OPEN_PARENT_INHERITED_NO_R1_GEOMETRY,NONE
V14-08,ADP_LOAD_BRIDGE_PD,STRUCT_FRAME_FRONT_NZ,1017.3,INTENDED_BOLTED_LAP,RC-H10-B-UNDEFINED_LAP_AND_STALE_DATUM,ADAPTER_ARCHITECTURE,REBUILD_SHOE_FROM_CANONICAL_PRIMARY_FACE,UNKNOWN,UNKNOWN,PARENT_ROW_ONLY,NOT_RUN,NOT_RUN,NOT_RUN,TBD,TBD,OPEN_PARENT_INHERITED_NO_R1_GEOMETRY,NONE
V14-09,ADP_LOAD_BRIDGE_PD,STRUCT_FRAME_FRONT_PY,2474.8,INTENDED_BOLTED_LAP,RC-H10-B-UNDEFINED_LAP_AND_STALE_DATUM,ADAPTER_ARCHITECTURE,REBUILD_SHOE_FROM_CANONICAL_PRIMARY_FACE,UNKNOWN,UNKNOWN,PARENT_ROW_ONLY,NOT_RUN,NOT_RUN,NOT_RUN,TBD,TBD,OPEN_PARENT_INHERITED_NO_R1_GEOMETRY,NONE
V14-10,ADP_LOAD_BRIDGE_PD,STRUCT_LONGERON_PY_NZ_CASSETTE_POCKET_REVISED,3154.1,INTENDED_BOLTED_LAP,RC-H10-B-UNDEFINED_LAP_AND_STALE_DATUM,ADAPTER_ARCHITECTURE,REBUILD_SHOE_FROM_CANONICAL_PRIMARY_FACE,UNKNOWN,UNKNOWN,PARENT_ROW_ONLY,NOT_RUN,NOT_RUN,NOT_RUN,TBD,TBD,OPEN_PARENT_INHERITED_NO_R1_GEOMETRY,NONE
V14-11,ADP_LOAD_BRIDGE_NU,STRUCT_FRAME_FRONT_NY,2474.8,INTENDED_BOLTED_LAP,RC-H10-B-UNDEFINED_LAP_AND_STALE_DATUM,ADAPTER_ARCHITECTURE,REBUILD_SHOE_FROM_CANONICAL_PRIMARY_FACE,UNKNOWN,UNKNOWN,PARENT_ROW_ONLY,NOT_RUN,NOT_RUN,NOT_RUN,TBD,TBD,OPEN_PARENT_INHERITED_NO_R1_GEOMETRY,NONE
V14-12,ADP_LOAD_BRIDGE_NU,STRUCT_FRAME_FRONT_PZ,1017.3,INTENDED_BOLTED_LAP,RC-H10-B-UNDEFINED_LAP_AND_STALE_DATUM,ADAPTER_ARCHITECTURE,REBUILD_SHOE_FROM_CANONICAL_PRIMARY_FACE,UNKNOWN,UNKNOWN,PARENT_ROW_ONLY,NOT_RUN,NOT_RUN,NOT_RUN,TBD,TBD,OPEN_PARENT_INHERITED_NO_R1_GEOMETRY,NONE
V14-13,ADP_LOAD_BRIDGE_NU,STRUCT_LONGERON_NY_PZ,3154.1,INTENDED_BOLTED_LAP,RC-H10-B-UNDEFINED_LAP_AND_STALE_DATUM,ADAPTER_ARCHITECTURE,REBUILD_SHOE_FROM_CANONICAL_PRIMARY_FACE,UNKNOWN,UNKNOWN,PARENT_ROW_ONLY,NOT_RUN,NOT_RUN,NOT_RUN,TBD,TBD,OPEN_PARENT_INHERITED_NO_R1_GEOMETRY,NONE
V14-14,ADP_LOAD_BRIDGE_ND,STRUCT_FRAME_FRONT_NZ,1017.3,INTENDED_BOLTED_LAP,RC-H10-B-UNDEFINED_LAP_AND_STALE_DATUM,ADAPTER_ARCHITECTURE,REBUILD_SHOE_FROM_CANONICAL_PRIMARY_FACE,UNKNOWN,UNKNOWN,PARENT_ROW_ONLY,NOT_RUN,NOT_RUN,NOT_RUN,TBD,TBD,OPEN_PARENT_INHERITED_NO_R1_GEOMETRY,NONE
V14-15,ADP_LOAD_BRIDGE_ND,STRUCT_FRAME_FRONT_NY,2474.8,INTENDED_BOLTED_LAP,RC-H10-B-UNDEFINED_LAP_AND_STALE_DATUM,ADAPTER_ARCHITECTURE,REBUILD_SHOE_FROM_CANONICAL_PRIMARY_FACE,UNKNOWN,UNKNOWN,PARENT_ROW_ONLY,NOT_RUN,NOT_RUN,NOT_RUN,TBD,TBD,OPEN_PARENT_INHERITED_NO_R1_GEOMETRY,NONE
V14-16,ADP_LOAD_BRIDGE_ND,STRUCT_LONGERON_NY_NZ_CASSETTE_POCKET_REVISED,3154.1,INTENDED_BOLTED_LAP,RC-H10-B-UNDEFINED_LAP_AND_STALE_DATUM,ADAPTER_ARCHITECTURE,REBUILD_SHOE_FROM_CANONICAL_PRIMARY_FACE,UNKNOWN,UNKNOWN,PARENT_ROW_ONLY,NOT_RUN,NOT_RUN,NOT_RUN,TBD,TBD,OPEN_PARENT_INHERITED_NO_R1_GEOMETRY,NONE
