state_id,interface_id,Tx,Ty,Tz,Rx,Ry,Rz,constraint_law,status,numeric_load_credit,interlock_or_note
STOW_LOCKED_LAUNCH,BASE,PRIMARY,PRIMARY,PRIMARY,PRIMARY,PRIMARY,PRIMARY,BILATERAL_CANDIDATE,HOLD_LOAD_PATH_NOT_QUALIFIED,NONE,BASE_REMAINS_SPACECRAFT_ATTACHMENT
STOW_LOCKED_LAUNCH,G07,AXIAL_STOP_CANDIDATE,SECONDARY_GUIDE,SECONDARY_COMPLIANT_PAD,DERIVED_BY_CONTACT_SPAN,DERIVED_BY_CONTACT_SPAN,DERIVED_BY_CONTACT_SPAN,UNILATERAL_AND_CLEARANCE_CANDIDATE,PROPOSED_NOT_RATIFIED,NONE,NAMED_AXIAL_STOP_GEOMETRY_CURRENTLY_MISSING
STOW_LOCKED_LAUNCH,G08,X_FLOAT_CANDIDATE,SECONDARY_GUIDE,SECONDARY_COMPLIANT_PAD,DERIVED_BY_CONTACT_SPAN,DERIVED_BY_CONTACT_SPAN,DERIVED_BY_CONTACT_SPAN,UNILATERAL_AND_CLEARANCE_CANDIDATE,PROPOSED_NOT_RATIFIED,NONE,OBSOLETE_SUPPORT_REPLACEMENT_MAP_REQUIRED
STOW_LOCKED_LAUNCH,HDRM,PRELOAD_ONLY_NO_DOF_OWNERSHIP,PRELOAD_ONLY_NO_DOF_OWNERSHIP,PRELOAD_ONLY_NO_DOF_OWNERSHIP,NONE,NONE,NONE,PRELOAD,HOLD_HARDWARE_UNKNOWN,NONE,HDRM_DOES_NOT_AUTOMATICALLY_OWN_TRANSLATION_OR_ROTATION
RELEASE_COMMAND_PENDING_CONFIRMATION,BASE,PRIMARY,PRIMARY,PRIMARY,PRIMARY,PRIMARY,PRIMARY,BILATERAL_CANDIDATE,HOLD_LOAD_PATH_NOT_QUALIFIED,NONE,ARM_LIFT_PROHIBITED
RELEASE_COMMAND_PENDING_CONFIRMATION,G07,AXIAL_STOP_CANDIDATE,SECONDARY_GUIDE,SECONDARY_COMPLIANT_PAD,DERIVED_BY_CONTACT_SPAN,DERIVED_BY_CONTACT_SPAN,DERIVED_BY_CONTACT_SPAN,UNCHANGED_FROM_STOW_UNTIL_RELEASE_CONFIRMED,PROPOSED_NOT_RATIFIED,NONE,ARM_LIFT_PROHIBITED
RELEASE_COMMAND_PENDING_CONFIRMATION,G08,X_FLOAT_CANDIDATE,SECONDARY_GUIDE,SECONDARY_COMPLIANT_PAD,DERIVED_BY_CONTACT_SPAN,DERIVED_BY_CONTACT_SPAN,DERIVED_BY_CONTACT_SPAN,UNCHANGED_FROM_STOW_UNTIL_RELEASE_CONFIRMED,PROPOSED_NOT_RATIFIED,NONE,ARM_LIFT_PROHIBITED
RELEASE_COMMAND_PENDING_CONFIRMATION,HDRM,PRELOAD_ONLY_NO_DOF_OWNERSHIP,PRELOAD_ONLY_NO_DOF_OWNERSHIP,PRELOAD_ONLY_NO_DOF_OWNERSHIP,NONE,NONE,NONE,PRELOAD_OR_RELEASE_TRANSITION_UNKNOWN,HOLD_HARDWARE_UNKNOWN,NONE,INDEPENDENT_RELEASE_CONFIRMATION_REQUIRED
PRELOAD_RELEASED_CONTACT_TRANSITION,BASE,PRIMARY,PRIMARY,PRIMARY,PRIMARY,PRIMARY,PRIMARY,BILATERAL_CANDIDATE,HOLD_LOAD_PATH_NOT_QUALIFIED,NONE,BASE_REMAINS_SPACECRAFT_ATTACHMENT
PRELOAD_RELEASED_CONTACT_TRANSITION,G07,TRANSIENT_CONTACT,TRANSIENT_CONTACT,TRANSIENT_CONTACT,DERIVED_TRANSIENT,DERIVED_TRANSIENT,DERIVED_TRANSIENT,UNILATERAL_TRANSIENT,HOLD_NO_DYNAMIC_CONTACT_CREDIT,NONE,NO_ARM_LIFT_UNTIL_CLEARANCE_CONFIRMED
PRELOAD_RELEASED_CONTACT_TRANSITION,G08,TRANSIENT_CONTACT,TRANSIENT_CONTACT,TRANSIENT_CONTACT,DERIVED_TRANSIENT,DERIVED_TRANSIENT,DERIVED_TRANSIENT,UNILATERAL_TRANSIENT,HOLD_NO_DYNAMIC_CONTACT_CREDIT,NONE,NO_ARM_LIFT_UNTIL_CLEARANCE_CONFIRMED
PRELOAD_RELEASED_CONTACT_TRANSITION,HDRM,RELEASING_NO_DOF_CREDIT,RELEASING_NO_DOF_CREDIT,RELEASING_NO_DOF_CREDIT,NONE,NONE,NONE,RELEASE_TRANSIENT_UNKNOWN,HOLD_HARDWARE_UNKNOWN,NONE,RELEASED_ITEM_RETENTION_REQUIRED
LIFT_OFF_CLEAR,BASE,PRIMARY,PRIMARY,PRIMARY,PRIMARY,PRIMARY,PRIMARY,BILATERAL_CANDIDATE,HOLD_LOAD_PATH_NOT_QUALIFIED,NONE,BASE_REMAINS_SPACECRAFT_ATTACHMENT
LIFT_OFF_CLEAR,G07,FREE,FREE,FREE,FREE,FREE,FREE,NONE,HOLD_CONTINUOUS_CLEARANCE_NOT_RUN,NONE,NO_RECONTACT_ALLOWED
LIFT_OFF_CLEAR,G08,FREE,FREE,FREE,FREE,FREE,FREE,NONE,HOLD_CONTINUOUS_CLEARANCE_NOT_RUN,NONE,NO_RECONTACT_ALLOWED
LIFT_OFF_CLEAR,HDRM,FREE,FREE,FREE,FREE,FREE,FREE,NONE,HOLD_RESIDUAL_ENVELOPE_UNKNOWN,NONE,NO_RESIDUAL_INTRUSION_ALLOWED
DEPLOYED_OPERATIONAL,BASE,PRIMARY,PRIMARY,PRIMARY,PRIMARY,PRIMARY,PRIMARY,BILATERAL_CANDIDATE,HOLD_LOAD_PATH_NOT_QUALIFIED,NONE,BASE_REMAINS_SPACECRAFT_ATTACHMENT
DEPLOYED_OPERATIONAL,G07,FREE,FREE,FREE,FREE,FREE,FREE,NONE,HOLD_CONTINUOUS_CLEARANCE_NOT_RUN,NONE,NO_OPERATIONAL_CONTACT_CREDIT
DEPLOYED_OPERATIONAL,G08,FREE,FREE,FREE,FREE,FREE,FREE,NONE,HOLD_CONTINUOUS_CLEARANCE_NOT_RUN,NONE,NO_OPERATIONAL_CONTACT_CREDIT
DEPLOYED_OPERATIONAL,HDRM,FREE,FREE,FREE,FREE,FREE,FREE,NONE,HOLD_RESIDUAL_ENVELOPE_UNKNOWN,NONE,NO_OPERATIONAL_CONTACT_CREDIT
GROUND_MAINTENANCE_RETURN,BASE,PRIMARY,PRIMARY,PRIMARY,PRIMARY,PRIMARY,PRIMARY,GROUND_FIXTURE_AND_PROCEDURE_TBD,HOLD_GROUND_PROCEDURE_UNKNOWN,NONE,NO_LAUNCH_LOAD_CREDIT
GROUND_MAINTENANCE_RETURN,G07,GUIDE_ONLY_CANDIDATE,GUIDE_ONLY_CANDIDATE,GUIDE_ONLY_CANDIDATE,FREE,FREE,FREE,GROUND_PROCEDURE_TBD,HOLD_GROUND_PROCEDURE_UNKNOWN,NONE,MANUAL_RESTOW_SEQUENCE_TBD
GROUND_MAINTENANCE_RETURN,G08,GUIDE_ONLY_CANDIDATE,GUIDE_ONLY_CANDIDATE,GUIDE_ONLY_CANDIDATE,FREE,FREE,FREE,GROUND_PROCEDURE_TBD,HOLD_GROUND_PROCEDURE_UNKNOWN,NONE,2P_RESTOW_STATE_TBD
GROUND_MAINTENANCE_RETURN,HDRM,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,GROUND_PROCEDURE_TBD,HOLD_GROUND_PROCEDURE_UNKNOWN,NONE,REARM_OR_REPLACEMENT_TBD
FAIL_RELEASE_NOT_CONFIRMED,BASE,PRIMARY,PRIMARY,PRIMARY,PRIMARY,PRIMARY,PRIMARY,BILATERAL_CANDIDATE,HOLD_LOAD_PATH_NOT_QUALIFIED,NONE,ABORT
FAIL_RELEASE_NOT_CONFIRMED,G07,UNKNOWN_STUCK_RESTRAINT,UNKNOWN_STUCK_RESTRAINT,UNKNOWN_STUCK_RESTRAINT,UNKNOWN_STUCK_RESTRAINT,UNKNOWN_STUCK_RESTRAINT,UNKNOWN_STUCK_RESTRAINT,UNKNOWN,HOLD_FAILURE_RESPONSE_UNQUALIFIED,NONE,ARM_LIFT_INTERLOCK_AND_ABORT
