carrier_name,urdf_link,incoming_joint,outgoing_joint_frames,carrier_role,native_part_exists,status
B51R1_CARRIER_BASE,base_link,NONE,CS_OUT_J1,ROOT_FIXED_TO_MASTER_SKELETON,NO,CONTRACT_READY_CAD_BLOCKED
B51R1_CARRIER_LINK_01,link1,joint1,CS_OUT_J2,SERIAL_LINK,NO,CONTRACT_READY_CAD_BLOCKED
B51R1_CARRIER_LINK_02,link2,joint2,CS_OUT_J3,SERIAL_LINK,NO,CONTRACT_READY_CAD_BLOCKED
B51R1_CARRIER_LINK_03,link3,joint3,CS_OUT_J4,SERIAL_LINK,NO,CONTRACT_READY_CAD_BLOCKED
B51R1_CARRIER_LINK_04,link4,joint4,CS_OUT_J5,SERIAL_LINK,NO,CONTRACT_READY_CAD_BLOCKED
B51R1_CARRIER_LINK_05,link5,joint5,CS_OUT_J6,SERIAL_LINK,NO,CONTRACT_READY_CAD_BLOCKED
B51R1_CARRIER_LINK_06,link6,joint6,CS_OUT_GRIPPER_FIXED,SERIAL_LINK,NO,CONTRACT_READY_CAD_BLOCKED
B51R1_CARRIER_LINK_07,gripper_link,gripper_joint,CS_OUT_P1|CS_OUT_P2,BRANCH_PARENT,NO,CONTRACT_READY_CAD_BLOCKED
B51R1_CARRIER_LINK_08,gripper_left,gripper_joint1,NONE,PRISMATIC_LEAF,NO,CONTRACT_READY_CAD_BLOCKED
B51R1_CARRIER_LINK_09,gripper_right,gripper_joint2,NONE,PRISMATIC_LEAF,NO,CONTRACT_READY_CAD_BLOCKED
