session_id,purpose,symbolic_prerequisite,required_receipt_pattern,required_status,required_sha256_non_null,process_count_before,concurrency_max,failure_action,required_receipt_sha256,required_input_lock_sha256_match,pool_entry_required,required_supporting_receipts_json,required_embedded_hash_fields_json
S01,CREATE_FINAL_MASTER_SKELETON,G1B_PASS,09_DELIVERY/B51R1_AUTONOMOUS_G1A_CLOSURE_20260801/B51R1_G1B_STANDING_SESSION_ADMISSION.json,G1B_PASS_STANDING_SESSION_ADMISSION,TRUE,0,1,STOP_BRANCH_AND_PRESERVE_EXCEPTION_EVIDENCE,DEFERRED_MUST_BE_NON_NULL_AND_LIVE_RECOMPUTED_AT_ADMISSION,TRUE,TRUE,"[{""path"":""09_DELIVERY/B51R1_AUTONOMOUS_G1A_CLOSURE_20260801/B51R1_G1A_MACHINE_RATIFICATION_RECEIPT.json"",""status"":""G1A_PASS_DELEGATED_MACHINE_RATIFIED_AND_HASH_LOCKED"",""sha256_non_null"":true}]","[""g1a_receipt_sha256"",""input_lock_sha256"",""session_pool_ledger_sha256""]"
S02,COLD_REOPEN_MASTER_SKELETON,S01_PASS,07_VERIFICATION/AUTONOMOUS/S01/B51R1_S01_GATE_RECEIPT.json,S01_PASS_NATIVE_MASTER_SKELETON_CREATED,TRUE,0,1,STOP_BRANCH_AND_PRESERVE_EXCEPTION_EVIDENCE,DEFERRED_MUST_BE_NON_NULL_AND_LIVE_RECOMPUTED_AT_ADMISSION,TRUE,TRUE,[],"[""input_lock_sha256""]"
S03,CREATE_10_CARRIERS,S02_PASS,07_VERIFICATION/AUTONOMOUS/S02/B51R1_S02_GATE_RECEIPT.json,S02_PASS_MASTER_SKELETON_COLD_REOPEN,TRUE,0,1,STOP_BRANCH_AND_PRESERVE_EXCEPTION_EVIDENCE,DEFERRED_MUST_BE_NON_NULL_AND_LIVE_RECOMPUTED_AT_ADMISSION,TRUE,TRUE,[],"[""input_lock_sha256""]"
S04,COLD_REOPEN_10_CARRIERS,S03_PASS,07_VERIFICATION/AUTONOMOUS/S03/B51R1_S03_GATE_RECEIPT.json,S03_PASS_10_CARRIERS_CREATED,TRUE,0,1,STOP_BRANCH_AND_PRESERVE_EXCEPTION_EVIDENCE,DEFERRED_MUST_BE_NON_NULL_AND_LIVE_RECOMPUTED_AT_ADMISSION,TRUE,TRUE,[],"[""input_lock_sha256""]"
S05,BUILD_J00_J09_AND_T005_A0_B0,S04_PASS,07_VERIFICATION/AUTONOMOUS/S04/B51R1_S04_GATE_RECEIPT.json,S04_PASS_10_CARRIERS_COLD_REOPEN,TRUE,0,1,STOP_BRANCH_AND_PRESERVE_EXCEPTION_EVIDENCE,DEFERRED_MUST_BE_NON_NULL_AND_LIVE_RECOMPUTED_AT_ADMISSION,TRUE,TRUE,[],"[""input_lock_sha256""]"
S06,T005_C0_COLD_REOPEN,S05_PASS,07_VERIFICATION/AUTONOMOUS/S05/B51R1_S05_GATE_RECEIPT.json,S05_PASS_J00_J09_T005_A0_B0,TRUE,0,1,STOP_BRANCH_AND_PRESERVE_EXCEPTION_EVIDENCE,DEFERRED_MUST_BE_NON_NULL_AND_LIVE_RECOMPUTED_AT_ADMISSION,TRUE,TRUE,[],"[""input_lock_sha256""]"
S07,ATTACH_FINE_GEOMETRY_INCREMENTALLY,S06_PASS,07_VERIFICATION/AUTONOMOUS/S06/B51R1_S06_GATE_RECEIPT.json,S06_PASS_T005_C0,TRUE,0,1,STOP_BRANCH_AND_PRESERVE_EXCEPTION_EVIDENCE,DEFERRED_MUST_BE_NON_NULL_AND_LIVE_RECOMPUTED_AT_ADMISSION,TRUE,TRUE,[],"[""input_lock_sha256""]"
S08,FORMAL_T005_A_B,S07_PASS,07_VERIFICATION/AUTONOMOUS/S07/B51R1_S07_GATE_RECEIPT.json,S07_PASS_FINE_GEOMETRY_ATTACHED,TRUE,0,1,STOP_BRANCH_AND_PRESERVE_EXCEPTION_EVIDENCE,DEFERRED_MUST_BE_NON_NULL_AND_LIVE_RECOMPUTED_AT_ADMISSION,TRUE,TRUE,[],"[""input_lock_sha256""]"
S09,FORMAL_T005_C,S08_PASS,07_VERIFICATION/AUTONOMOUS/S08/B51R1_S08_GATE_RECEIPT.json,S08_PASS_FORMAL_T005_A_B,TRUE,0,1,STOP_BRANCH_AND_PRESERVE_EXCEPTION_EVIDENCE,DEFERRED_MUST_BE_NON_NULL_AND_LIVE_RECOMPUTED_AT_ADMISSION,TRUE,TRUE,[],"[""input_lock_sha256""]"
S10,ADAPTER_CANDIDATE_AUTHORING,FORMAL_T005_PASS,07_VERIFICATION/AUTONOMOUS/S09/B51R1_S09_GATE_RECEIPT.json,FORMAL_T005_PASS_A_B_C,TRUE,0,1,STOP_BRANCH_AND_PRESERVE_EXCEPTION_EVIDENCE,DEFERRED_MUST_BE_NON_NULL_AND_LIVE_RECOMPUTED_AT_ADMISSION,TRUE,TRUE,[],"[""input_lock_sha256""]"
S11,G07_G08_HDRM_CANDIDATE_AUTHORING,ADAPTER_TRADE_PASS,07_VERIFICATION/AUTONOMOUS/S10/B51R1_S10_GATE_RECEIPT.json,ADAPTER_TRADE_PASS_CANDIDATE_ONLY,TRUE,0,1,STOP_BRANCH_AND_PRESERVE_EXCEPTION_EVIDENCE,DEFERRED_MUST_BE_NON_NULL_AND_LIVE_RECOMPUTED_AT_ADMISSION,TRUE,TRUE,[],"[""input_lock_sha256""]"
