carrier_id,accepted_link_name,planned_native_part_filename,incoming_joint,incoming_joint_type,parent_link,parent_carrier,incoming_parent_side_frame_on_parent,incoming_child_side_frame_on_this_carrier,parent_side_origin_xyz_m,parent_side_origin_rpy_rad,child_side_origin_xyz_m,child_side_origin_rpy_rad,incoming_axis_joint_frame,incoming_lower_urdf,incoming_upper_urdf,outgoing_joints,outgoing_parent_side_frames_on_this_carrier,required_link_frame,required_visual_mount_frame,required_joint_reference_features,accepted_urdf_mass_kg,mass_inertia_authority,cad_mass_contribution,bom_exclude,source_urdf_sha256,native_status,row_status
B51R1_CARRIER_BASE,base_link,B51R1_CARRIER_base_link.SLDPRT,NONE,NONE,NONE,NONE,NONE,NONE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,joint1,CS_JOINT_joint1_PARENT_SIDE,CS_LINK_base_link,CS_VISUAL_MOUNT_base_link,NONE,0.83660000,ACCEPTED_URDF,ZERO,TRUE,1BC2B7483CD8025D08BA6EADFD9E1F3B0477121714E7CF4DDC1794D9E471C164,NOT_CREATED,REFROZEN_MACHINE_RATIFIED
B51R1_CARRIER_LINK_01,link1,B51R1_CARRIER_link1.SLDPRT,joint1,revolute,base_link,B51R1_CARRIER_BASE,CS_JOINT_joint1_PARENT_SIDE,CS_JOINT_joint1_CHILD_SIDE,-8.416E-05 0 0.08465,0 0 0,0 0 0,0 0 0,0 0 1,-2.8,2.8,joint2,CS_JOINT_joint2_PARENT_SIDE,CS_LINK_link1,CS_VISUAL_MOUNT_link1,AXIS_joint1|PLANE_ZERO_joint1,0.16130000,ACCEPTED_URDF,ZERO,TRUE,1BC2B7483CD8025D08BA6EADFD9E1F3B0477121714E7CF4DDC1794D9E471C164,NOT_CREATED,REFROZEN_MACHINE_RATIFIED
B51R1_CARRIER_LINK_02,link2,B51R1_CARRIER_link2.SLDPRT,joint2,revolute,link1,B51R1_CARRIER_LINK_01,CS_JOINT_joint2_PARENT_SIDE,CS_JOINT_joint2_CHILD_SIDE,0.020084 0.031625 0.05555,-1.5708 0 0,0 0 0,0 0 0,0 0 -1,-3.14,0,joint3,CS_JOINT_joint3_PARENT_SIDE,CS_LINK_link2,CS_VISUAL_MOUNT_link2,AXIS_joint2|PLANE_ZERO_joint2,1.32660000,ACCEPTED_URDF,ZERO,TRUE,1BC2B7483CD8025D08BA6EADFD9E1F3B0477121714E7CF4DDC1794D9E471C164,NOT_CREATED,REFROZEN_MACHINE_RATIFIED
B51R1_CARRIER_LINK_03,link3,B51R1_CARRIER_link3.SLDPRT,joint3,revolute,link2,B51R1_CARRIER_LINK_02,CS_JOINT_joint3_PARENT_SIDE,CS_JOINT_joint3_CHILD_SIDE,-0.264 0 0,0 0 0,0 0 0,0 0 0,0 0 1,-3.14,0,joint4,CS_JOINT_joint4_PARENT_SIDE,CS_LINK_link3,CS_VISUAL_MOUNT_link3,AXIS_joint3|PLANE_ZERO_joint3,0.83530000,ACCEPTED_URDF,ZERO,TRUE,1BC2B7483CD8025D08BA6EADFD9E1F3B0477121714E7CF4DDC1794D9E471C164,NOT_CREATED,REFROZEN_MACHINE_RATIFIED
B51R1_CARRIER_LINK_04,link4,B51R1_CARRIER_link4.SLDPRT,joint4,revolute,link3,B51R1_CARRIER_LINK_03,CS_JOINT_joint4_PARENT_SIDE,CS_JOINT_joint4_CHILD_SIDE,0.2426 -0.054 -0.001625,0 0 0,0 0 0,0 0 0,0 0 1,-1.87,1.57,joint5,CS_JOINT_joint5_PARENT_SIDE,CS_LINK_link4,CS_VISUAL_MOUNT_link4,AXIS_joint4|PLANE_ZERO_joint4,0.52000000,ACCEPTED_URDF,ZERO,TRUE,1BC2B7483CD8025D08BA6EADFD9E1F3B0477121714E7CF4DDC1794D9E471C164,NOT_CREATED,REFROZEN_MACHINE_RATIFIED
B51R1_CARRIER_LINK_05,link5,B51R1_CARRIER_link5.SLDPRT,joint5,revolute,link4,B51R1_CARRIER_LINK_04,CS_JOINT_joint5_PARENT_SIDE,CS_JOINT_joint5_CHILD_SIDE,0.078308 -0.0375 -0.03,-1.5708 0 0,0 0 0,0 0 0,0 0 1,-1.57,1.57,joint6,CS_JOINT_joint6_PARENT_SIDE,CS_LINK_link5,CS_VISUAL_MOUNT_link5,AXIS_joint5|PLANE_ZERO_joint5,0.38300000,ACCEPTED_URDF,ZERO,TRUE,1BC2B7483CD8025D08BA6EADFD9E1F3B0477121714E7CF4DDC1794D9E471C164,NOT_CREATED,REFROZEN_MACHINE_RATIFIED
B51R1_CARRIER_LINK_06,link6,B51R1_CARRIER_link6.SLDPRT,joint6,revolute,link5,B51R1_CARRIER_LINK_05,CS_JOINT_joint6_PARENT_SIDE,CS_JOINT_joint6_CHILD_SIDE,0.023692 0 0.04,0 1.5708 0,0 0 0,0 0 0,0 0 1,-3.14,3.14,gripper_joint,CS_JOINT_gripper_joint_PARENT_SIDE,CS_LINK_link6,CS_VISUAL_MOUNT_link6,AXIS_joint6|PLANE_ZERO_joint6,0.36630000,ACCEPTED_URDF,ZERO,TRUE,1BC2B7483CD8025D08BA6EADFD9E1F3B0477121714E7CF4DDC1794D9E471C164,NOT_CREATED,REFROZEN_MACHINE_RATIFIED
B51R1_CARRIER_LINK_07,gripper_link,B51R1_CARRIER_gripper_link.SLDPRT,gripper_joint,fixed,link6,B51R1_CARRIER_LINK_06,CS_JOINT_gripper_joint_PARENT_SIDE,CS_JOINT_gripper_joint_CHILD_SIDE,0 0 0.15971,0 -1.5708 0,0 0 0,0 0 0,N/A,N/A,N/A,gripper_joint1|gripper_joint2,CS_JOINT_gripper_joint1_PARENT_SIDE|CS_JOINT_gripper_joint2_PARENT_SIDE,CS_LINK_gripper_link,CS_VISUAL_MOUNT_gripper_link,GFIX_PLN_X|GFIX_PLN_Y|GFIX_PLN_Z,0.181800159145243,ACCEPTED_URDF,ZERO,TRUE,1BC2B7483CD8025D08BA6EADFD9E1F3B0477121714E7CF4DDC1794D9E471C164,NOT_CREATED,REFROZEN_MACHINE_RATIFIED
B51R1_CARRIER_LINK_08,gripper_left,B51R1_CARRIER_gripper_left.SLDPRT,gripper_joint1,prismatic,gripper_link,B51R1_CARRIER_LINK_07,CS_JOINT_gripper_joint1_PARENT_SIDE,CS_JOINT_gripper_joint1_CHILD_SIDE,-0.042091 2.7531E-05 -1.3031E-05,0 0 -1.5708,0 0 0,0 0 0,1 0 0,0,0.0715,NONE,NONE,CS_LINK_gripper_left,CS_VISUAL_MOUNT_gripper_left,AXIS_gripper_joint1|PLANE_ZERO_gripper_joint1,0.0423278952416158,ACCEPTED_URDF,ZERO,TRUE,1BC2B7483CD8025D08BA6EADFD9E1F3B0477121714E7CF4DDC1794D9E471C164,NOT_CREATED,REFROZEN_MACHINE_RATIFIED
B51R1_CARRIER_LINK_09,gripper_right,B51R1_CARRIER_gripper_right.SLDPRT,gripper_joint2,prismatic,gripper_link,B51R1_CARRIER_LINK_07,CS_JOINT_gripper_joint2_PARENT_SIDE,CS_JOINT_gripper_joint2_CHILD_SIDE,-0.042091 -2.7531E-05 1.3031E-05,0 0 1.5708,0 0 0,0 0 0,1 0 0,0,0.0715,NONE,NONE,CS_LINK_gripper_right,CS_VISUAL_MOUNT_gripper_right,AXIS_gripper_joint2|PLANE_ZERO_gripper_joint2,0.0423278949561274,ACCEPTED_URDF,ZERO,TRUE,1BC2B7483CD8025D08BA6EADFD9E1F3B0477121714E7CF4DDC1794D9E471C164,NOT_CREATED,REFROZEN_MACHINE_RATIFIED
