link,mr1_source_part,mr2_part,outgoing_revolute_joint,added_driver_reference,status
base_link,B51R1_CARRIER_MR1_base_link.SLDPRT,B51R1_CARRIER_MR2_base_link.SLDPRT,joint1,PLANE_LIMIT_REF_joint1_PARENT_SIDE|SK3D_LIMIT_joint1_PARENT_SIDE,RECOVERY_REFROZEN_NOT_CREATED
link1,B51R1_CARRIER_MR1_link1.SLDPRT,B51R1_CARRIER_MR2_link1.SLDPRT,joint2,PLANE_LIMIT_REF_joint2_PARENT_SIDE|SK3D_LIMIT_joint2_PARENT_SIDE,RECOVERY_REFROZEN_NOT_CREATED
link2,B51R1_CARRIER_MR1_link2.SLDPRT,B51R1_CARRIER_MR2_link2.SLDPRT,joint3,PLANE_LIMIT_REF_joint3_PARENT_SIDE|SK3D_LIMIT_joint3_PARENT_SIDE,RECOVERY_REFROZEN_NOT_CREATED
link3,B51R1_CARRIER_MR1_link3.SLDPRT,B51R1_CARRIER_MR2_link3.SLDPRT,joint4,PLANE_LIMIT_REF_joint4_PARENT_SIDE|SK3D_LIMIT_joint4_PARENT_SIDE,RECOVERY_REFROZEN_NOT_CREATED
link4,B51R1_CARRIER_MR1_link4.SLDPRT,B51R1_CARRIER_MR2_link4.SLDPRT,joint5,PLANE_LIMIT_REF_joint5_PARENT_SIDE|SK3D_LIMIT_joint5_PARENT_SIDE,RECOVERY_REFROZEN_NOT_CREATED
link5,B51R1_CARRIER_MR1_link5.SLDPRT,B51R1_CARRIER_MR2_link5.SLDPRT,joint6,PLANE_LIMIT_REF_joint6_PARENT_SIDE|SK3D_LIMIT_joint6_PARENT_SIDE,RECOVERY_REFROZEN_NOT_CREATED
link6,B51R1_CARRIER_MR1_link6.SLDPRT,B51R1_CARRIER_MR2_link6.SLDPRT,NONE,NONE,RECOVERY_REFROZEN_NOT_CREATED
gripper_link,B51R1_CARRIER_MR1_gripper_link.SLDPRT,B51R1_CARRIER_MR2_gripper_link.SLDPRT,NONE,NONE,RECOVERY_REFROZEN_NOT_CREATED
gripper_left,B51R1_CARRIER_MR1_gripper_left.SLDPRT,B51R1_CARRIER_MR2_gripper_left.SLDPRT,NONE,NONE,RECOVERY_REFROZEN_NOT_CREATED
gripper_right,B51R1_CARRIER_MR1_gripper_right.SLDPRT,B51R1_CARRIER_MR2_gripper_right.SLDPRT,NONE,NONE,RECOVERY_REFROZEN_NOT_CREATED
