carrier_file,accepted_link,link_frame,incoming_joint_child_side_frame,outgoing_joint_parent_side_frames,moving_axis_features,q0_plane_features,fixed_joint_reference_features,visual_mount_frame,owner_local_transform_contract,status
B51R1_CARRIER_base_link.SLDPRT,base_link,CS_LINK_base_link,NONE,CS_JOINT_joint1_PARENT_SIDE,NONE,NONE,NONE,CS_VISUAL_MOUNT_base_link,INCOMING_CHILD_SIDE_IDENTITY_OUTGOING_PARENT_SIDE_URDF_ORIGIN,PASS_MACHINE_REFROZEN_NATIVE_NOT_CREATED
B51R1_CARRIER_link1.SLDPRT,link1,CS_LINK_link1,CS_JOINT_joint1_CHILD_SIDE,CS_JOINT_joint2_PARENT_SIDE,AXIS_joint1,PLANE_ZERO_joint1,NONE,CS_VISUAL_MOUNT_link1,INCOMING_CHILD_SIDE_IDENTITY_OUTGOING_PARENT_SIDE_URDF_ORIGIN,PASS_MACHINE_REFROZEN_NATIVE_NOT_CREATED
B51R1_CARRIER_link2.SLDPRT,link2,CS_LINK_link2,CS_JOINT_joint2_CHILD_SIDE,CS_JOINT_joint3_PARENT_SIDE,AXIS_joint2,PLANE_ZERO_joint2,NONE,CS_VISUAL_MOUNT_link2,INCOMING_CHILD_SIDE_IDENTITY_OUTGOING_PARENT_SIDE_URDF_ORIGIN,PASS_MACHINE_REFROZEN_NATIVE_NOT_CREATED
B51R1_CARRIER_link3.SLDPRT,link3,CS_LINK_link3,CS_JOINT_joint3_CHILD_SIDE,CS_JOINT_joint4_PARENT_SIDE,AXIS_joint3,PLANE_ZERO_joint3,NONE,CS_VISUAL_MOUNT_link3,INCOMING_CHILD_SIDE_IDENTITY_OUTGOING_PARENT_SIDE_URDF_ORIGIN,PASS_MACHINE_REFROZEN_NATIVE_NOT_CREATED
B51R1_CARRIER_link4.SLDPRT,link4,CS_LINK_link4,CS_JOINT_joint4_CHILD_SIDE,CS_JOINT_joint5_PARENT_SIDE,AXIS_joint4,PLANE_ZERO_joint4,NONE,CS_VISUAL_MOUNT_link4,INCOMING_CHILD_SIDE_IDENTITY_OUTGOING_PARENT_SIDE_URDF_ORIGIN,PASS_MACHINE_REFROZEN_NATIVE_NOT_CREATED
B51R1_CARRIER_link5.SLDPRT,link5,CS_LINK_link5,CS_JOINT_joint5_CHILD_SIDE,CS_JOINT_joint6_PARENT_SIDE,AXIS_joint5,PLANE_ZERO_joint5,NONE,CS_VISUAL_MOUNT_link5,INCOMING_CHILD_SIDE_IDENTITY_OUTGOING_PARENT_SIDE_URDF_ORIGIN,PASS_MACHINE_REFROZEN_NATIVE_NOT_CREATED
B51R1_CARRIER_link6.SLDPRT,link6,CS_LINK_link6,CS_JOINT_joint6_CHILD_SIDE,CS_JOINT_gripper_joint_PARENT_SIDE,AXIS_joint6,PLANE_ZERO_joint6,NONE,CS_VISUAL_MOUNT_link6,INCOMING_CHILD_SIDE_IDENTITY_OUTGOING_PARENT_SIDE_URDF_ORIGIN,PASS_MACHINE_REFROZEN_NATIVE_NOT_CREATED
B51R1_CARRIER_gripper_link.SLDPRT,gripper_link,CS_LINK_gripper_link,CS_JOINT_gripper_joint_CHILD_SIDE,CS_JOINT_gripper_joint1_PARENT_SIDE;CS_JOINT_gripper_joint2_PARENT_SIDE,NONE,NONE,GFIX_PLN_X;GFIX_PLN_Y;GFIX_PLN_Z,CS_VISUAL_MOUNT_gripper_link,INCOMING_CHILD_SIDE_IDENTITY_OUTGOING_PARENT_SIDE_URDF_ORIGIN,PASS_MACHINE_REFROZEN_NATIVE_NOT_CREATED
B51R1_CARRIER_gripper_left.SLDPRT,gripper_left,CS_LINK_gripper_left,CS_JOINT_gripper_joint1_CHILD_SIDE,NONE,AXIS_gripper_joint1,PLANE_ZERO_gripper_joint1,NONE,CS_VISUAL_MOUNT_gripper_left,INCOMING_CHILD_SIDE_IDENTITY_OUTGOING_PARENT_SIDE_URDF_ORIGIN,PASS_MACHINE_REFROZEN_NATIVE_NOT_CREATED
B51R1_CARRIER_gripper_right.SLDPRT,gripper_right,CS_LINK_gripper_right,CS_JOINT_gripper_joint2_CHILD_SIDE,NONE,AXIS_gripper_joint2,PLANE_ZERO_gripper_joint2,NONE,CS_VISUAL_MOUNT_gripper_right,INCOMING_CHILD_SIDE_IDENTITY_OUTGOING_PARENT_SIDE_URDF_ORIGIN,PASS_MACHINE_REFROZEN_NATIVE_NOT_CREATED
