carrier_file,accepted_link,link_frame,incoming_joint_frame,outgoing_joint_frames,moving_axis_features,q0_plane_features,visual_mount_frame,ownership_basis,status
B51R1_CARRIER_base_link.SLDPRT,base_link,CS_LINK_base_link,NONE,CS_CHILD_JOINT_joint1,NONE,NONE,CS_VISUAL_MOUNT_base_link,INPUT_LOCKED_CARRIER_REGISTER_ASSIGNMENT,EXPERT_CANDIDATE_PENDING_HUMAN_FREEZE
B51R1_CARRIER_link1.SLDPRT,link1,CS_LINK_link1,CS_PARENT_JOINT_joint1,CS_CHILD_JOINT_joint2,AXIS_joint1,PLANE_ZERO_joint1,CS_VISUAL_MOUNT_link1,CHILD_INCOMING_JOINT_OWNS_AXIS_AND_ZERO_PLANE,EXPERT_CANDIDATE_PENDING_HUMAN_FREEZE
B51R1_CARRIER_link2.SLDPRT,link2,CS_LINK_link2,CS_PARENT_JOINT_joint2,CS_CHILD_JOINT_joint3,AXIS_joint2,PLANE_ZERO_joint2,CS_VISUAL_MOUNT_link2,CHILD_INCOMING_JOINT_OWNS_AXIS_AND_ZERO_PLANE,EXPERT_CANDIDATE_PENDING_HUMAN_FREEZE
B51R1_CARRIER_link3.SLDPRT,link3,CS_LINK_link3,CS_PARENT_JOINT_joint3,CS_CHILD_JOINT_joint4,AXIS_joint3,PLANE_ZERO_joint3,CS_VISUAL_MOUNT_link3,CHILD_INCOMING_JOINT_OWNS_AXIS_AND_ZERO_PLANE,EXPERT_CANDIDATE_PENDING_HUMAN_FREEZE
B51R1_CARRIER_link4.SLDPRT,link4,CS_LINK_link4,CS_PARENT_JOINT_joint4,CS_CHILD_JOINT_joint5,AXIS_joint4,PLANE_ZERO_joint4,CS_VISUAL_MOUNT_link4,CHILD_INCOMING_JOINT_OWNS_AXIS_AND_ZERO_PLANE,EXPERT_CANDIDATE_PENDING_HUMAN_FREEZE
B51R1_CARRIER_link5.SLDPRT,link5,CS_LINK_link5,CS_PARENT_JOINT_joint5,CS_CHILD_JOINT_joint6,AXIS_joint5,PLANE_ZERO_joint5,CS_VISUAL_MOUNT_link5,CHILD_INCOMING_JOINT_OWNS_AXIS_AND_ZERO_PLANE,EXPERT_CANDIDATE_PENDING_HUMAN_FREEZE
B51R1_CARRIER_link6.SLDPRT,link6,CS_LINK_link6,CS_PARENT_JOINT_joint6,CS_CHILD_JOINT_gripper_joint,AXIS_joint6,PLANE_ZERO_joint6,CS_VISUAL_MOUNT_link6,CHILD_INCOMING_JOINT_OWNS_AXIS_AND_ZERO_PLANE,EXPERT_CANDIDATE_PENDING_HUMAN_FREEZE
B51R1_CARRIER_gripper_link.SLDPRT,gripper_link,CS_LINK_gripper_link,CS_PARENT_JOINT_gripper_joint,CS_CHILD_JOINT_gripper_joint1;CS_CHILD_JOINT_gripper_joint2,GFIX_PLN_X;GFIX_PLN_Y;GFIX_PLN_Z,NONE_FIXED_JOINT,CS_VISUAL_MOUNT_gripper_link,FIXED_INCOMING_JOINT_USES_THREE_REFERENCE_PLANES_NO_MOVING_DRIVER,EXPERT_CANDIDATE_PENDING_HUMAN_FREEZE
B51R1_CARRIER_gripper_left.SLDPRT,gripper_left,CS_LINK_gripper_left,CS_PARENT_JOINT_gripper_joint1,NONE,AXIS_gripper_joint1,PLANE_ZERO_gripper_joint1,CS_VISUAL_MOUNT_gripper_left,CHILD_INCOMING_PRISMATIC_JOINT_OWNS_AXIS_AND_ZERO_PLANE,EXPERT_CANDIDATE_PENDING_HUMAN_FREEZE
B51R1_CARRIER_gripper_right.SLDPRT,gripper_right,CS_LINK_gripper_right,CS_PARENT_JOINT_gripper_joint2,NONE,AXIS_gripper_joint2,PLANE_ZERO_gripper_joint2,CS_VISUAL_MOUNT_gripper_right,CHILD_INCOMING_PRISMATIC_JOINT_OWNS_AXIS_AND_ZERO_PLANE,EXPERT_CANDIDATE_PENDING_HUMAN_FREEZE
