relative_path,object_id,feature_name,feature_type
"00_Master_Skeleton/SER_Master_Skeleton_V1_0.SLDPRT","master_skeleton_v1_0","6061-T6 (SS)","MaterialFolder"
"00_Master_Skeleton/SER_Master_Skeleton_V1_0.SLDPRT","master_skeleton_v1_0","Annotations","DetailCabinet"
"00_Master_Skeleton/SER_Master_Skeleton_V1_0.SLDPRT","master_skeleton_v1_0","Comments","CommentsFolder"
"00_Master_Skeleton/SER_Master_Skeleton_V1_0.SLDPRT","master_skeleton_v1_0","CS_A0","CoordSys"
"00_Master_Skeleton/SER_Master_Skeleton_V1_0.SLDPRT","master_skeleton_v1_0","CS_M","CoordSys"
"00_Master_Skeleton/SER_Master_Skeleton_V1_0.SLDPRT","master_skeleton_v1_0","CS_PANEL_LEFT_ROOT","CoordSys"
"00_Master_Skeleton/SER_Master_Skeleton_V1_0.SLDPRT","master_skeleton_v1_0","CS_PANEL_RIGHT_ROOT","CoordSys"
"00_Master_Skeleton/SER_Master_Skeleton_V1_0.SLDPRT","master_skeleton_v1_0","CS_S","CoordSys"
"00_Master_Skeleton/SER_Master_Skeleton_V1_0.SLDPRT","master_skeleton_v1_0","CS_SENSOR_RESERVED","CoordSys"
"00_Master_Skeleton/SER_Master_Skeleton_V1_0.SLDPRT","master_skeleton_v1_0","Equations","EqnFolder"
"00_Master_Skeleton/SER_Master_Skeleton_V1_0.SLDPRT","master_skeleton_v1_0","Favorites","FavoriteFolder"
"00_Master_Skeleton/SER_Master_Skeleton_V1_0.SLDPRT","master_skeleton_v1_0","Front","RefPlane"
"00_Master_Skeleton/SER_Master_Skeleton_V1_0.SLDPRT","master_skeleton_v1_0","History","HistoryFolder"
"00_Master_Skeleton/SER_Master_Skeleton_V1_0.SLDPRT","master_skeleton_v1_0","Lights, Cameras and Scene","EnvFolder"
"00_Master_Skeleton/SER_Master_Skeleton_V1_0.SLDPRT","master_skeleton_v1_0","MASTER_ENVELOPE_BAYS_AND_TASK_WIRES","3DProfileFeature"
"00_Master_Skeleton/SER_Master_Skeleton_V1_0.SLDPRT","master_skeleton_v1_0","Origin","OriginProfileFeature"
"00_Master_Skeleton/SER_Master_Skeleton_V1_0.SLDPRT","master_skeleton_v1_0","Right","RefPlane"
"00_Master_Skeleton/SER_Master_Skeleton_V1_0.SLDPRT","master_skeleton_v1_0","Selection Sets","SelectionSetFolder"
"00_Master_Skeleton/SER_Master_Skeleton_V1_0.SLDPRT","master_skeleton_v1_0","Sensors","SensorFolder"
"00_Master_Skeleton/SER_Master_Skeleton_V1_0.SLDPRT","master_skeleton_v1_0","Solid Bodies","SolidBodyFolder"
"00_Master_Skeleton/SER_Master_Skeleton_V1_0.SLDPRT","master_skeleton_v1_0","Surface Bodies","SurfaceBodyFolder"
"00_Master_Skeleton/SER_Master_Skeleton_V1_0.SLDPRT","master_skeleton_v1_0","Top","RefPlane"
"00_Master_Skeleton/SER_Master_Skeleton_V1_0.SLDPRT","master_skeleton_v1_0","标注","InkMarkupFolder"
"00_Master_Skeleton/SER_Master_Skeleton_V1_0.SLDPRT","master_skeleton_v1_0","设计活页夹","DocsFolder"
"01_Primary_Structure/12U_Structured_Bus_Visual.SLDASM","primary_structure","12U_Equipment_Decks_Visual-1","Reference"
"01_Primary_Structure/12U_Structured_Bus_Visual.SLDASM","primary_structure","12U_External_Panels_Visual-1","Reference"
"01_Primary_Structure/12U_Structured_Bus_Visual.SLDASM","primary_structure","12U_Frame_Structure_Visual-1","Reference"
"01_Primary_Structure/12U_Structured_Bus_Visual.SLDASM","primary_structure","Comments","CommentsFolder"
"01_Primary_Structure/12U_Structured_Bus_Visual.SLDASM","primary_structure","Equations","EqnFolder"
"01_Primary_Structure/12U_Structured_Bus_Visual.SLDASM","primary_structure","Favorites","FavoriteFolder"
"01_Primary_Structure/12U_Structured_Bus_Visual.SLDASM","primary_structure","History","HistoryFolder"
"01_Primary_Structure/12U_Structured_Bus_Visual.SLDASM","primary_structure","Rail_Contact_Reference_Wire-1","Reference"
"01_Primary_Structure/12U_Structured_Bus_Visual.SLDASM","primary_structure","Selection Sets","SelectionSetFolder"
"01_Primary_Structure/12U_Structured_Bus_Visual.SLDASM","primary_structure","Sensors","SensorFolder"
"01_Primary_Structure/12U_Structured_Bus_Visual.SLDASM","primary_structure","Simulation","AEMSimFeature"
"01_Primary_Structure/12U_Structured_Bus_Visual.SLDASM","primary_structure","Task_Face_Panel_Visual-1","Reference"
"01_Primary_Structure/12U_Structured_Bus_Visual.SLDASM","primary_structure","上视","RefPlane"
"01_Primary_Structure/12U_Structured_Bus_Visual.SLDASM","primary_structure","光源与相机","EnvFolder"
"01_Primary_Structure/12U_Structured_Bus_Visual.SLDASM","primary_structure","前视","RefPlane"
"01_Primary_Structure/12U_Structured_Bus_Visual.SLDASM","primary_structure","原点","OriginProfileFeature"
"01_Primary_Structure/12U_Structured_Bus_Visual.SLDASM","primary_structure","右视","RefPlane"
"01_Primary_Structure/12U_Structured_Bus_Visual.SLDASM","primary_structure","标注","InkMarkupFolder"
"01_Primary_Structure/12U_Structured_Bus_Visual.SLDASM","primary_structure","注解","DetailCabinet"
"01_Primary_Structure/12U_Structured_Bus_Visual.SLDASM","primary_structure","设计活页夹","DocsFolder"
"01_Primary_Structure/12U_Structured_Bus_Visual.SLDASM","primary_structure","配合","MateGroup"
"01_Primary_Structure/parts/12U_Equipment_Decks_Visual.SLDPRT","equipment_decks_and_placeholders","6061-T6 (SS)","MaterialFolder"
"01_Primary_Structure/parts/12U_Equipment_Decks_Visual.SLDPRT","equipment_decks_and_placeholders","Annotations","DetailCabinet"
"01_Primary_Structure/parts/12U_Equipment_Decks_Visual.SLDPRT","equipment_decks_and_placeholders","Comments","CommentsFolder"
"01_Primary_Structure/parts/12U_Equipment_Decks_Visual.SLDPRT","equipment_decks_and_placeholders","Equations","EqnFolder"
"01_Primary_Structure/parts/12U_Equipment_Decks_Visual.SLDPRT","equipment_decks_and_placeholders","Favorites","FavoriteFolder"
"01_Primary_Structure/parts/12U_Equipment_Decks_Visual.SLDPRT","equipment_decks_and_placeholders","Front","RefPlane"
"01_Primary_Structure/parts/12U_Equipment_Decks_Visual.SLDPRT","equipment_decks_and_placeholders","History","HistoryFolder"
"01_Primary_Structure/parts/12U_Equipment_Decks_Visual.SLDPRT","equipment_decks_and_placeholders","Lights, Cameras and Scene","EnvFolder"
"01_Primary_Structure/parts/12U_Equipment_Decks_Visual.SLDPRT","equipment_decks_and_placeholders","MIDDLE_BAY_EQUIPMENT_PLACEHOLDERS","ICE"
"01_Primary_Structure/parts/12U_Equipment_Decks_Visual.SLDPRT","equipment_decks_and_placeholders","MIDDLE_BAY_EQUIPMENT_PLACEHOLDERS_SKETCH","ProfileFeature"
"01_Primary_Structure/parts/12U_Equipment_Decks_Visual.SLDPRT","equipment_decks_and_placeholders","MIDDLE_FRONT_EQUIPMENT_DECK","ICE"
"01_Primary_Structure/parts/12U_Equipment_Decks_Visual.SLDPRT","equipment_decks_and_placeholders","MIDDLE_FRONT_EQUIPMENT_DECK_SKETCH","ProfileFeature"
"01_Primary_Structure/parts/12U_Equipment_Decks_Visual.SLDPRT","equipment_decks_and_placeholders","Origin","OriginProfileFeature"
"01_Primary_Structure/parts/12U_Equipment_Decks_Visual.SLDPRT","equipment_decks_and_placeholders","PLANE_MIDDLE_FRONT_EQUIPMENT_DECK_X","RefPlane"
"01_Primary_Structure/parts/12U_Equipment_Decks_Visual.SLDPRT","equipment_decks_and_placeholders","PLANE_REAR_BAY_SERVICE_PLACEHOLDERS_X","RefPlane"
"01_Primary_Structure/parts/12U_Equipment_Decks_Visual.SLDPRT","equipment_decks_and_placeholders","PLANE_REAR_MIDDLE_EQUIPMENT_DECK_X","RefPlane"
"01_Primary_Structure/parts/12U_Equipment_Decks_Visual.SLDPRT","equipment_decks_and_placeholders","REAR_BAY_SERVICE_PLACEHOLDERS","ICE"
