file,claim_limit,prohibited_hits,verdict
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,geometry_reference_only_profile_COMPETITION_DISPLAY_V0,,PASS
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,display_topology_only;section_material_joints_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM;deck_class_TBD,,PASS
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,display_topology_only;section_material_joints_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM;deck_class_TBD,,PASS
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,display_topology_only;section_material_joints_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM,,PASS
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,display_topology_only;section_material_joints_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM;radial_outer_inset_to_panel_inner_110.15_D-V2-04,,PASS
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,display_topology_only;section_material_joints_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM,,PASS
01_Primary_Structure/parts/FRM_REAR_MID.SLDPRT,display_topology_only;section_material_joints_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM;radial_outer_inset_to_panel_inner_110.15_D-V2-04,,PASS
01_Primary_Structure/parts/LNG_NY_NZ.SLDPRT,display_topology_only;section_material_joints_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM,,PASS
01_Primary_Structure/parts/LNG_NY_PZ.SLDPRT,display_topology_only;section_material_joints_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM,,PASS
01_Primary_Structure/parts/LNG_PY_NZ.SLDPRT,display_topology_only;section_material_joints_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM,,PASS
01_Primary_Structure/parts/LNG_PY_PZ.SLDPRT,display_topology_only;section_material_joints_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM,,PASS
01_Primary_Structure/parts/PNL_BOTTOM.SLDPRT,display_topology_only;section_material_joints_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM;removable_panel;may_close_primary_path=false,,PASS
01_Primary_Structure/parts/PNL_LEFT.SLDPRT,display_topology_only;section_material_joints_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM;removable_panel;may_close_primary_path=false,,PASS
01_Primary_Structure/parts/PNL_RIGHT.SLDPRT,display_topology_only;section_material_joints_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM;removable_panel;may_close_primary_path=false,,PASS
01_Primary_Structure/parts/PNL_TOP.SLDPRT,display_topology_only;section_material_joints_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM;removable_panel;may_close_primary_path=false,,PASS
02_Front_Mission_Module/parts/PNL_FRONT_MISSION_ACCESS.SLDPRT,removable_panel_display;may_close_primary_path=false;no_fastening_method;NO_STRENGTH_CLAIM,,PASS
02_Front_Mission_Module/parts/VOL_FM_ROBOT.SLDPRT,geometry_NULL_unsourced;no_hardware_selected;no_real_dims;no_mass;no_thermal,,PASS
02_Front_Mission_Module/parts/VOL_FM_SENSOR.SLDPRT,geometry_NULL_unsourced;no_hardware_selected;no_real_dims;no_mass;no_thermal;ZERO_SOLID_REQUIRED,,PASS
03_Avionics_EPS_ADCS_Bay/parts/VOL_MID_ADCS.SLDPRT,geometry_NULL_unsourced;no_hardware_selected;no_real_dims;no_mass;no_thermal,,PASS
03_Avionics_EPS_ADCS_Bay/parts/VOL_MID_BAT.SLDPRT,geometry_NULL_unsourced;no_hardware_selected;no_real_dims;no_mass;no_thermal,,PASS
03_Avionics_EPS_ADCS_Bay/parts/VOL_MID_EPS.SLDPRT,geometry_NULL_unsourced;no_hardware_selected;no_real_dims;no_mass;no_thermal,,PASS
03_Avionics_EPS_ADCS_Bay/parts/VOL_MID_OBC.SLDPRT,geometry_NULL_unsourced;no_hardware_selected;no_real_dims;no_mass;no_thermal,,PASS
04_Rear_Service_Module/parts/PNL_REAR_SERVICE_ACCESS.SLDPRT,removable_panel_display;may_close_primary_path=false;no_fastening_method;NO_STRENGTH_CLAIM,,PASS
04_Rear_Service_Module/parts/VOL_REAR_COMM.SLDPRT,geometry_NULL_unsourced;no_hardware_selected;no_real_dims;no_mass;no_thermal,,PASS
04_Rear_Service_Module/parts/VOL_REAR_PROP.SLDPRT,geometry_NULL_unsourced;no_hardware_selected;no_real_dims;no_mass;no_thermal;ZERO_SOLID_REQUIRED,,PASS
04_Rear_Service_Module/parts/VOL_REAR_SERVICE.SLDPRT,geometry_NULL_unsourced;no_hardware_selected;no_real_dims;no_mass;no_thermal,,PASS
04_Rear_Service_Module/parts/VOL_REAR_THERMAL.SLDPRT,geometry_NULL_unsourced;no_hardware_selected;no_real_dims;no_mass;no_thermal,,PASS
05_Robot_Mount_Module/parts/SV2_MNT_ADAPTER_BOSS.SLDPRT,envelope_display_only;bolts_locators_loads_stiffness_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM;envelope_D100x15_EVIDENCE_BOUND,,PASS
05_Robot_Mount_Module/parts/SV2_MNT_ADAPTER_PLATE.SLDPRT,envelope_display_only;bolts_locators_loads_stiffness_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM;envelope_12x160x160_EVIDENCE_BOUND,,PASS
05_Robot_Mount_Module/parts/SV2_MNT_REFERENCES.SLDPRT,envelope_display_only;bolts_locators_loads_stiffness_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM;wrench_overlay_symbolic_no_values;visual_arrow_is_not_load_evidence,,PASS
05_Robot_Mount_Module/parts/SV2_MNT_RIB_SET.SLDPRT,envelope_display_only;bolts_locators_loads_stiffness_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM;rib_count_shape_thickness_not_selected;suppressible_proposal,,PASS
05_Robot_Mount_Module/parts/SV2_MNT_SERVICER_FLANGE.SLDPRT,envelope_display_only;bolts_locators_loads_stiffness_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM;envelope_15x160x160_EVIDENCE_BOUND,,PASS
06_B601_Visual_Arm/parts/B601_base_link_bbox_q0.SLDPRT,conservative_envelope_not_exact_vendor_geometry;q_zero_pose_only;no_mass_no_inertia_from_visual,,PASS
06_B601_Visual_Arm/parts/B601_gripper_left_bbox_q0.SLDPRT,conservative_envelope_not_exact_vendor_geometry;q_zero_pose_only;no_mass_no_inertia_from_visual,,PASS
06_B601_Visual_Arm/parts/B601_gripper_link_bbox_q0.SLDPRT,conservative_envelope_not_exact_vendor_geometry;q_zero_pose_only;no_mass_no_inertia_from_visual,,PASS
06_B601_Visual_Arm/parts/B601_gripper_right_bbox_q0.SLDPRT,conservative_envelope_not_exact_vendor_geometry;q_zero_pose_only;no_mass_no_inertia_from_visual,,PASS
06_B601_Visual_Arm/parts/B601_link1_bbox_q0.SLDPRT,conservative_envelope_not_exact_vendor_geometry;q_zero_pose_only;no_mass_no_inertia_from_visual,,PASS
06_B601_Visual_Arm/parts/B601_link2_bbox_q0.SLDPRT,conservative_envelope_not_exact_vendor_geometry;q_zero_pose_only;no_mass_no_inertia_from_visual,,PASS
06_B601_Visual_Arm/parts/B601_link3_bbox_q0.SLDPRT,conservative_envelope_not_exact_vendor_geometry;q_zero_pose_only;no_mass_no_inertia_from_visual,,PASS
06_B601_Visual_Arm/parts/B601_link4_bbox_q0.SLDPRT,conservative_envelope_not_exact_vendor_geometry;q_zero_pose_only;no_mass_no_inertia_from_visual,,PASS
06_B601_Visual_Arm/parts/B601_link5_bbox_q0.SLDPRT,conservative_envelope_not_exact_vendor_geometry;q_zero_pose_only;no_mass_no_inertia_from_visual,,PASS
06_B601_Visual_Arm/parts/B601_link6_bbox_q0.SLDPRT,conservative_envelope_not_exact_vendor_geometry;q_zero_pose_only;no_mass_no_inertia_from_visual,,PASS
07_Solar_Array_Interface_Module/parts/SOLAR_ROOT_L_IF.SLDPRT,hinge_release_latch_drive_UNKNOWN;zero_solid_owner;geometry_NULL_unsourced,,PASS
07_Solar_Array_Interface_Module/parts/SOLAR_ROOT_R_IF.SLDPRT,hinge_release_latch_drive_UNKNOWN;zero_solid_owner;geometry_NULL_unsourced,,PASS
07_Solar_Array_Interface_Module/parts/SOLAR_WING_L_DEPLOYED_REF.SLDPRT,deployed_reference_display_only;span_chord_thickness_frozen_SSOT;no_deployment_or_latch_claim;flexible_params_placeholder,,PASS
07_Solar_Array_Interface_Module/parts/SOLAR_WING_R_DEPLOYED_REF.SLDPRT,deployed_reference_display_only;span_chord_thickness_frozen_SSOT;no_deployment_or_latch_claim;flexible_params_placeholder,,PASS
09_Service_Access_and_Harness_References/SV2_SERVICE_ACCESS_REFERENCES.SLDPRT,review_responsibility_only_not_real_accessibility;no_tool_size_no_fastening_no_reachability;tray_extraction_direction_TBD;harness_cross_section_null;keepout_rail_tab_optical_plume_antenna_thermal_UNKNOWN_BLOCKED,,PASS
01_Primary_Structure/SV2_Primary_Structure.SLDASM,display_topology_only;section_material_joints_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM,,PASS
02_Front_Mission_Module/SV2_Front_Mission_Module.SLDASM,bay_owner_container_display_only,,PASS
03_Avionics_EPS_ADCS_Bay/SV2_Avionics_EPS_ADCS_Bay.SLDASM,bay_owner_container_display_only,,PASS
04_Rear_Service_Module/SV2_Rear_Service_Module.SLDASM,bay_owner_container_display_only,,PASS
05_Robot_Mount_Module/SV2_Robot_Mount_Module.SLDASM,envelope_display_only;bolts_locators_loads_stiffness_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM,,PASS
06_B601_Visual_Arm/SV2_B601_Visual_Arm.SLDASM,topology_frozen_10L9J;bbox_proxy_only;q_zero,,PASS
07_Solar_Array_Interface_Module/SV2_Solar_Array_Interface.SLDASM,solar_interface_module_display;stowed_geometry_UNKNOWN,,PASS
Assembly/Spacecraft_Service_Vehicle_V2_0.SLDASM,system_mechanical_prototype_display;profile_COMPETITION_DISPLAY_V0_NON_FLIGHT;target_excluded_from_active_assembly;T_SB_UNKNOWN_BLOCKED;physical_TCP_disabled,,PASS
