file,property,value
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,Description,
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,Weight,"""SW-Mass@Master_Skeleton_V2_0.SLDPRT"""
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,Material,"""SW-Material@Master_Skeleton_V2_0.SLDPRT"""
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,质量,"""SW-Mass@Master_Skeleton_V2_0.SLDPRT"""
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,材料,"""SW-Material@Master_Skeleton_V2_0.SLDPRT"""
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,单重,"""SW-Mass@Master_Skeleton_V2_0.SLDPRT"""
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,零件号,  
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,设计,   
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,审核, 
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,标准审查, 
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,工艺审查, 
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,批准, 
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,日期,"2007,12,3"
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,校核, 
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,主管设计, 
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,校对, 
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,审定, 
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,阶段标记S, 
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,阶段标记A, 
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,阶段标记B, 
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,替代, 
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,图幅, 
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,版本, 
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,备注, 
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,名称,“图样名称”
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,代号,“图样代号”
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,共X张,1
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,第X张,1
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,PARAM_BODY_X_MM,340.5
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,PARAM_BODY_Y_MM,226.3
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,PARAM_BODY_Z_MM,226.3
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,PARAM_BODY_HALF_X_MM,170.25
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,PARAM_BODY_HALF_Y_MM,113.15
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,PARAM_BODY_HALF_Z_MM,113.15
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,PARAM_BAY_COUNT,3
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,PARAM_BAY_LENGTH_NOMINAL_MM,113.5
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,PARAM_TASK_FACE_X_MM,170.25
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,PARAM_REAR_MID_BOUNDARY_X_MM,-56.75
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,PARAM_MID_FRONT_BOUNDARY_X_MM,56.75
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,PARAM_MOUNT_ORIGIN_X_MM,185.25
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,PARAM_MOUNT_OFFSET_FROM_TASK_FACE_MM,15.0
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,PARAM_MOUNT_RY_DEG,90.0
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,PARAM_SERVICER_FLANGE_X_MM,15.0
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,PARAM_SERVICER_FLANGE_Y_MM,160.0
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,PARAM_SERVICER_FLANGE_Z_MM,160.0
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,PARAM_ADAPTER_PLATE_X_MM,12.0
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,PARAM_ADAPTER_PLATE_Y_MM,160.0
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,PARAM_ADAPTER_PLATE_Z_MM,160.0
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,PARAM_ADAPTER_BOSS_D_MM,100.0
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,PARAM_ADAPTER_BOSS_H_MM,15.0
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,PARAM_PRIMARY_LONGERON_COUNT,4
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,PARAM_TRANSVERSE_RING_COUNT,4
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,PARAM_BAY_BOUNDARY_DECK_COUNT,2
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,OBJECT_ID,V2-SKEL-000
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,SYSTEM_OWNER,system_architecture
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,PARENT_ID,Spacecraft_Service_Vehicle_V2_0
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,STRUCTURE_CLASS,REFERENCE
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,REPRESENTATION_LAYER,MASTER_SKELETON
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,EVIDENCE_STATE,EVIDENCE_BOUND
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,SOURCE_REFERENCE,automation/b3_build_spec.yaml <- V2_master_skeleton_parameter_contract.yaml + frame_export_v0_1.yaml
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,FRAME_ID,CS_S
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,INTERFACE_IDS,IF-RM-001;IF-RM-002;IF-SA-L;IF-SA-R
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,MASS_OWNER,NONE_REFERENCE_ONLY
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,NO_DYNAMICS_USE,true
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,MANUFACTURING_AUTHORITY,NONE
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,EXECUTION_AUTHORITY,DISPLAY_ONLY
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,CLAIM_LIMIT,geometry_reference_only_profile_COMPETITION_DISPLAY_V0
00_Master_Skeleton/Master_Skeleton_V2_0.SLDPRT,BLOCKED_CONSUMERS,FEA;dynamics;URDF_roundtrip;manufacturing;mass_properties
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,Description,
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,Weight,"""SW-Mass@DECK_MID_FRONT.SLDPRT"""
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,Material,"""SW-Material@DECK_MID_FRONT.SLDPRT"""
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,质量,"""SW-Mass@DECK_MID_FRONT.SLDPRT"""
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,材料,"""SW-Material@DECK_MID_FRONT.SLDPRT"""
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,单重,"""SW-Mass@DECK_MID_FRONT.SLDPRT"""
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,零件号,  
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,设计,   
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,审核, 
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,标准审查, 
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,工艺审查, 
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,批准, 
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,日期,"2007,12,3"
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,校核, 
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,主管设计, 
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,校对, 
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,审定, 
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,阶段标记S, 
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,阶段标记A, 
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,阶段标记B, 
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,替代, 
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,图幅, 
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,版本, 
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,备注, 
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,名称,“图样名称”
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,代号,“图样代号”
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,共X张,1
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,第X张,1
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,OBJECT_ID,V2-STR-010
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,SYSTEM_OWNER,primary_structure
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,PARENT_ID,SV2_Primary_Structure
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,STRUCTURE_CLASS,PRIMARY_OR_SECONDARY_TBD
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,REPRESENTATION_LAYER,SYSTEM_MECHANICAL_DISPLAY
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,EVIDENCE_STATE,DESIGN_PROPOSAL
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,SOURCE_REFERENCE,b3_build_spec.yaml structure_display_proposal
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,FRAME_ID,CS_S
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,INTERFACE_IDS,
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,MASS_OWNER,NONE_DISPLAY_ONLY
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,NO_DYNAMICS_USE,true
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,MANUFACTURING_AUTHORITY,NONE
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,EXECUTION_AUTHORITY,DISPLAY_ONLY
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,CLAIM_LIMIT,display_topology_only;section_material_joints_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM;deck_class_TBD
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,BLOCKED_CONSUMERS,FEA;dynamics;mass_properties;manufacturing;strength_claims
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,Description,
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,Weight,"""SW-Mass@DECK_REAR_MID.SLDPRT"""
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,Material,"""SW-Material@DECK_REAR_MID.SLDPRT"""
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,质量,"""SW-Mass@DECK_REAR_MID.SLDPRT"""
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,材料,"""SW-Material@DECK_REAR_MID.SLDPRT"""
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,单重,"""SW-Mass@DECK_REAR_MID.SLDPRT"""
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,零件号,  
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,设计,   
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,审核, 
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,标准审查, 
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,工艺审查, 
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,批准, 
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,日期,"2007,12,3"
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,校核, 
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,主管设计, 
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,校对, 
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,审定, 
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,阶段标记S, 
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,阶段标记A, 
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,阶段标记B, 
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,替代, 
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,图幅, 
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,版本, 
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,备注, 
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,名称,“图样名称”
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,代号,“图样代号”
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,共X张,1
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,第X张,1
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,OBJECT_ID,V2-STR-009
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,SYSTEM_OWNER,primary_structure
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,PARENT_ID,SV2_Primary_Structure
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,STRUCTURE_CLASS,PRIMARY_OR_SECONDARY_TBD
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,REPRESENTATION_LAYER,SYSTEM_MECHANICAL_DISPLAY
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,EVIDENCE_STATE,DESIGN_PROPOSAL
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,SOURCE_REFERENCE,b3_build_spec.yaml structure_display_proposal
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,FRAME_ID,CS_S
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,INTERFACE_IDS,
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,MASS_OWNER,NONE_DISPLAY_ONLY
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,NO_DYNAMICS_USE,true
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,MANUFACTURING_AUTHORITY,NONE
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,EXECUTION_AUTHORITY,DISPLAY_ONLY
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,CLAIM_LIMIT,display_topology_only;section_material_joints_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM;deck_class_TBD
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,BLOCKED_CONSUMERS,FEA;dynamics;mass_properties;manufacturing;strength_claims
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,Description,
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,Weight,"""SW-Mass@FRM_FRONT_TASK.SLDPRT"""
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,Material,"""SW-Material@FRM_FRONT_TASK.SLDPRT"""
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,质量,"""SW-Mass@FRM_FRONT_TASK.SLDPRT"""
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,材料,"""SW-Material@FRM_FRONT_TASK.SLDPRT"""
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,单重,"""SW-Mass@FRM_FRONT_TASK.SLDPRT"""
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,零件号,  
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,设计,   
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,审核, 
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,标准审查, 
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,工艺审查, 
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,批准, 
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,日期,"2007,12,3"
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,校核, 
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,主管设计, 
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,校对, 
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,审定, 
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,阶段标记S, 
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,阶段标记A, 
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,阶段标记B, 
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,替代, 
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,图幅, 
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,版本, 
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,备注, 
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,名称,“图样名称”
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,代号,“图样代号”
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,共X张,1
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,第X张,1
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,OBJECT_ID,V2-STR-001
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,SYSTEM_OWNER,primary_structure
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,PARENT_ID,SV2_Primary_Structure
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,STRUCTURE_CLASS,PRIMARY_PROPOSAL
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,REPRESENTATION_LAYER,SYSTEM_MECHANICAL_DISPLAY
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,EVIDENCE_STATE,DESIGN_PROPOSAL
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,SOURCE_REFERENCE,b3_build_spec.yaml structure_display_proposal; load_path:LP_FRONT_FRAME
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,FRAME_ID,CS_S
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,INTERFACE_IDS,IF-RM-001
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,MASS_OWNER,NONE_DISPLAY_ONLY
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,NO_DYNAMICS_USE,true
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,MANUFACTURING_AUTHORITY,NONE
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,EXECUTION_AUTHORITY,DISPLAY_ONLY
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,CLAIM_LIMIT,display_topology_only;section_material_joints_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,BLOCKED_CONSUMERS,FEA;dynamics;mass_properties;manufacturing;strength_claims
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,Description,
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,Weight,"""SW-Mass@FRM_MID_FRONT.SLDPRT"""
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,Material,"""SW-Material@FRM_MID_FRONT.SLDPRT"""
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,质量,"""SW-Mass@FRM_MID_FRONT.SLDPRT"""
