FASTENER_GROUP_ID,OWNER_ASSEMBLY,DRAWING_REF,ACCESS_CLASS,SPEC,COUNT,EVIDENCE_STATE,CLAIM_LIMIT
FG-FRAME-LONGERON,SV21_Primary_Frame,STR-001,UNKNOWN_BLOCKED,TBD,TBD,UNKNOWN_BLOCKED,no_joint_or_preload_authority
FG-MID2-NODE-PAD-L,SV21_Primary_Frame,SA-ICD-001,UNKNOWN_BLOCKED,TBD,TBD,UNKNOWN_BLOCKED,C2_topology_only
FG-MID2-NODE-PAD-R,SV21_Primary_Frame,SA-ICD-002,UNKNOWN_BLOCKED,TBD,TBD,UNKNOWN_BLOCKED,C2_topology_only
FG-FRONT-GUSSET,SV21_Primary_Frame,STR-001,UNKNOWN_BLOCKED,TBD,TBD,UNKNOWN_BLOCKED,load_path_intent_only
FG-ROBOT-FLANGE,SV21_Robot_Mount_Module,ARM-ICD-001,UNKNOWN_BLOCKED,TBD,TBD,UNKNOWN_BLOCKED,no_B601_joint_authority
FG-ROBOT-ADAPTER,SV21_Robot_Mount_Module,ARM-ICD-001,UNKNOWN_BLOCKED,TBD,TBD,UNKNOWN_BLOCKED,replaceable_interface_intent_only
FG-PANEL-FWD-L,SV21_Removable_Panels,MNT-001,UNKNOWN_BLOCKED,TBD,TBD,UNKNOWN_BLOCKED,C3_service_semantic_only
FG-PANEL-AFT-L,SV21_Removable_Panels,MNT-001,UNKNOWN_BLOCKED,TBD,TBD,UNKNOWN_BLOCKED,C3_service_semantic_only
FG-PANEL-FWD-R,SV21_Removable_Panels,MNT-001,UNKNOWN_BLOCKED,TBD,TBD,UNKNOWN_BLOCKED,C3_service_semantic_only
FG-PANEL-AFT-R,SV21_Removable_Panels,MNT-001,UNKNOWN_BLOCKED,TBD,TBD,UNKNOWN_BLOCKED,C3_service_semantic_only
FG-SOLAR-ROOT-L,SV21_Solar_Array_Root_Module_L,SA-ICD-001,UNKNOWN_BLOCKED,TBD,TBD,UNKNOWN_BLOCKED,zero_solid_reference
FG-SOLAR-ROOT-R,SV21_Solar_Array_Root_Module_R,SA-ICD-002,UNKNOWN_BLOCKED,TBD,TBD,UNKNOWN_BLOCKED,zero_solid_reference
FG-HDRM-L,SV21_Solar_Array_Root_Module_L,SA-HDRM-001,UNKNOWN_BLOCKED,TBD,TBD,UNKNOWN_BLOCKED,dual_hold_release_points_not_redundancy
FG-HDRM-R,SV21_Solar_Array_Root_Module_R,SA-HDRM-002,UNKNOWN_BLOCKED,TBD,TBD,UNKNOWN_BLOCKED,dual_hold_release_points_not_redundancy
