part,group,representation,solids,volume_mm3,mass_kg,mass_basis
longeron_y-1_z-1,frame,NEW_CANDIDATE_METAL,1,28320.0,0.076464,CAD_VOLUME_CANDIDATE_DENSITY
longeron_y-1_z1,frame,NEW_CANDIDATE_METAL,1,28319.999999999993,0.07646399999999998,CAD_VOLUME_CANDIDATE_DENSITY
longeron_y1_z-1,frame,NEW_CANDIDATE_METAL,1,28319.999999999993,0.07646399999999998,CAD_VOLUME_CANDIDATE_DENSITY
longeron_y1_z1,frame,NEW_CANDIDATE_METAL,1,28320.0,0.076464,CAD_VOLUME_CANDIDATE_DENSITY
end_frame_-1,frame,NEW_CANDIDATE_METAL,1,61718.40000000001,0.16663968,CAD_VOLUME_CANDIDATE_DENSITY
end_frame_1,frame,NEW_CANDIDATE_METAL,1,61718.40000000001,0.16663968,CAD_VOLUME_CANDIDATE_DENSITY
lower_equipment_deck,frame,NEW_CANDIDATE_METAL,1,214842.6,0.58007502,CAD_VOLUME_CANDIDATE_DENSITY
upper_equipment_deck,frame,NEW_CANDIDATE_METAL,1,211962.6,0.57229902,CAD_VOLUME_CANDIDATE_DENSITY
root_load_plate,root,NEW_CANDIDATE_METAL,1,196401.72827803303,0.5302846663506892,CAD_VOLUME_CANDIDATE_DENSITY
root_upper_crossbeam_x20,root,NEW_CANDIDATE_METAL,1,33165.31334405777,0.08954634602895599,CAD_VOLUME_CANDIDATE_DENSITY
root_lower_crossbeam_x20,root,NEW_CANDIDATE_METAL,1,16993.2,0.04588164,CAD_VOLUME_CANDIDATE_DENSITY
root_pillar_x20_y-1,root,NEW_CANDIDATE_METAL,1,18556.800000000003,0.050103360000000007,CAD_VOLUME_CANDIDATE_DENSITY
root_pillar_x20_y1,root,NEW_CANDIDATE_METAL,1,18556.800000000003,0.050103360000000007,CAD_VOLUME_CANDIDATE_DENSITY
root_upper_crossbeam_x160,root,NEW_CANDIDATE_METAL,1,33165.31334405777,0.08954634602895599,CAD_VOLUME_CANDIDATE_DENSITY
root_lower_crossbeam_x160,root,NEW_CANDIDATE_METAL,1,16993.2,0.04588164,CAD_VOLUME_CANDIDATE_DENSITY
root_pillar_x160_y-1,root,NEW_CANDIDATE_METAL,1,18556.800000000003,0.050103360000000007,CAD_VOLUME_CANDIDATE_DENSITY
root_pillar_x160_y1,root,NEW_CANDIDATE_METAL,1,18556.800000000003,0.050103360000000007,CAD_VOLUME_CANDIDATE_DENSITY
M3R_stage_A,root,IMPORTED_M3R_METAL,1,127784.80033295085,0.3450189608989673,CAD_VOLUME_CANDIDATE_DENSITY
M3R_stage_B,root,IMPORTED_M3R_METAL,1,161966.0322276696,0.4373082870147079,CAD_VOLUME_CANDIDATE_DENSITY
B601_base_link,arm,IMPORTED_NOMINAL_BREP,69,415208.3571047057,0.8366,SOURCE_OR_BUDGET_NOT_MEASURED
B601_link1,arm,IMPORTED_NOMINAL_BREP,30,87616.8947153791,0.1613,SOURCE_OR_BUDGET_NOT_MEASURED
B601_link2,arm,IMPORTED_NOMINAL_BREP,71,711329.6433343138,1.3266,SOURCE_OR_BUDGET_NOT_MEASURED
B601_link3,arm,IMPORTED_NOMINAL_BREP,80,531445.4371380805,0.8353,SOURCE_OR_BUDGET_NOT_MEASURED
B601_link4,arm,IMPORTED_NOMINAL_BREP,40,188551.6430025265,0.52,SOURCE_OR_BUDGET_NOT_MEASURED
B601_link5,arm,IMPORTED_NOMINAL_BREP,21,149749.6386247132,0.383,SOURCE_OR_BUDGET_NOT_MEASURED
B601_link6,arm,IMPORTED_NOMINAL_BREP,20,135288.87024945387,0.3663,SOURCE_OR_BUDGET_NOT_MEASURED
B601_gripper_link,arm,IMPORTED_NOMINAL_BREP,12,45088.72293792541,0.181800159145243,SOURCE_OR_BUDGET_NOT_MEASURED
B601_gripper_left,arm,IMPORTED_NOMINAL_BREP,24,43578.877493867934,0.0423278952416158,SOURCE_OR_BUDGET_NOT_MEASURED
B601_gripper_right,arm,IMPORTED_NOMINAL_BREP,24,43578.87749392069,0.0423278949561274,SOURCE_OR_BUDGET_NOT_MEASURED
cradle_crossrail_1,stow_support,NEW_CANDIDATE_METAL,1,21848.4,0.058990680000000004,CAD_VOLUME_CANDIDATE_DENSITY
cradle_post_1_-1,stow_support,NEW_CANDIDATE_METAL,1,31470.01906493241,0.08496905147531751,CAD_VOLUME_CANDIDATE_DENSITY
cradle_post_1_1,stow_support,NEW_CANDIDATE_METAL,1,31470.01906493241,0.08496905147531751,CAD_VOLUME_CANDIDATE_DENSITY
cradle_saddle_1,stow_support,NEW_CANDIDATE_METAL,1,7896.0,0.0213192,CAD_VOLUME_CANDIDATE_DENSITY
retainer_1,stow_support,NEW_CANDIDATE_METAL,1,12744.0,0.034408799999999996,CAD_VOLUME_CANDIDATE_DENSITY
release_drive_envelope_1,mechanism,FUNCTIONAL_ENVELOPE,1,65280.0,,UNKNOWN
cradle_crossrail_2,stow_support,NEW_CANDIDATE_METAL,1,21848.4,0.058990680000000004,CAD_VOLUME_CANDIDATE_DENSITY
cradle_post_2_-1,stow_support,NEW_CANDIDATE_METAL,1,27289.34260017464,0.07368122502047153,CAD_VOLUME_CANDIDATE_DENSITY
cradle_post_2_1,stow_support,NEW_CANDIDATE_METAL,1,27289.34260017464,0.07368122502047153,CAD_VOLUME_CANDIDATE_DENSITY
cradle_saddle_2,stow_support,NEW_CANDIDATE_METAL,1,7896.0,0.0213192,CAD_VOLUME_CANDIDATE_DENSITY
retainer_2,stow_support,NEW_CANDIDATE_METAL,1,12744.0,0.034408799999999996,CAD_VOLUME_CANDIDATE_DENSITY
release_drive_envelope_2,mechanism,FUNCTIONAL_ENVELOPE,1,65280.0,,UNKNOWN
equipment_battery,equipment,EQUIPMENT_ENVELOPE,1,994500.0,1.6,SOURCE_OR_BUDGET_NOT_MEASURED
equipment_adcs_propulsion_allocation,equipment,EQUIPMENT_ENVELOPE,1,1320000.0,3.0,SOURCE_OR_BUDGET_NOT_MEASURED
equipment_arm_drive,equipment,EQUIPMENT_ENVELOPE,1,238000.0,0.8,SOURCE_OR_BUDGET_NOT_MEASURED
equipment_compute_communications,equipment,EQUIPMENT_ENVELOPE,1,270000.0,0.5,SOURCE_OR_BUDGET_NOT_MEASURED
equipment_power_distribution,equipment,EQUIPMENT_ENVELOPE,1,136500.0,0.35,SOURCE_OR_BUDGET_NOT_MEASURED
equipment_navigation_electronics,equipment,EQUIPMENT_ENVELOPE,1,196000.0,0.3,SOURCE_OR_BUDGET_NOT_MEASURED
wing_substrate_-1,solar,COMPOSITE_PANEL_ENVELOPE,1,312000.0000000002,0.4,SOURCE_OR_BUDGET_NOT_MEASURED
solar_cell_visual_-1_0_0,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000002,,UNKNOWN
solar_cell_visual_-1_0_1,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000002,,UNKNOWN
solar_cell_visual_-1_0_2,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000003,,UNKNOWN
solar_cell_visual_-1_0_3,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000002,,UNKNOWN
solar_cell_visual_-1_1_0,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000002,,UNKNOWN
solar_cell_visual_-1_1_1,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000005,,UNKNOWN
solar_cell_visual_-1_1_2,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000005,,UNKNOWN
solar_cell_visual_-1_1_3,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000003,,UNKNOWN
solar_cell_visual_-1_2_0,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000002,,UNKNOWN
solar_cell_visual_-1_2_1,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000005,,UNKNOWN
solar_cell_visual_-1_2_2,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000005,,UNKNOWN
solar_cell_visual_-1_2_3,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000003,,UNKNOWN
solar_cell_visual_-1_3_0,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000002,,UNKNOWN
solar_cell_visual_-1_3_1,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000002,,UNKNOWN
solar_cell_visual_-1_3_2,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000003,,UNKNOWN
solar_cell_visual_-1_3_3,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000002,,UNKNOWN
solar_cell_visual_-1_4_0,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000002,,UNKNOWN
solar_cell_visual_-1_4_1,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000002,,UNKNOWN
solar_cell_visual_-1_4_2,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000003,,UNKNOWN
solar_cell_visual_-1_4_3,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000002,,UNKNOWN
solar_cell_visual_-1_5_0,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000002,,UNKNOWN
solar_cell_visual_-1_5_1,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000005,,UNKNOWN
solar_cell_visual_-1_5_2,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000005,,UNKNOWN
solar_cell_visual_-1_5_3,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000003,,UNKNOWN
solar_cell_visual_-1_6_0,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000002,,UNKNOWN
solar_cell_visual_-1_6_1,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000005,,UNKNOWN
solar_cell_visual_-1_6_2,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000005,,UNKNOWN
solar_cell_visual_-1_6_3,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000003,,UNKNOWN
solar_cell_visual_-1_7_0,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000002,,UNKNOWN
solar_cell_visual_-1_7_1,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000002,,UNKNOWN
solar_cell_visual_-1_7_2,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000003,,UNKNOWN
solar_cell_visual_-1_7_3,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000002,,UNKNOWN
wing_hinge_-1_-120,solar,HINGE_ENVELOPE,1,3216.9908772759477,,UNKNOWN
wing_bracket_-1_-120,solar,NEW_CANDIDATE_METAL,1,4752.0,0.0128304,CAD_VOLUME_CANDIDATE_DENSITY
wing_hinge_-1_120,solar,HINGE_ENVELOPE,1,3216.9908772759477,,UNKNOWN
wing_bracket_-1_120,solar,NEW_CANDIDATE_METAL,1,4752.0,0.0128304,CAD_VOLUME_CANDIDATE_DENSITY
wing_substrate_1,solar,COMPOSITE_PANEL_ENVELOPE,1,312000.0000000002,0.4,SOURCE_OR_BUDGET_NOT_MEASURED
solar_cell_visual_1_0_0,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000002,,UNKNOWN
solar_cell_visual_1_0_1,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000002,,UNKNOWN
solar_cell_visual_1_0_2,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000003,,UNKNOWN
solar_cell_visual_1_0_3,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000002,,UNKNOWN
solar_cell_visual_1_1_0,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000002,,UNKNOWN
solar_cell_visual_1_1_1,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000005,,UNKNOWN
solar_cell_visual_1_1_2,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000005,,UNKNOWN
solar_cell_visual_1_1_3,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000003,,UNKNOWN
solar_cell_visual_1_2_0,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000002,,UNKNOWN
solar_cell_visual_1_2_1,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000005,,UNKNOWN
solar_cell_visual_1_2_2,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000005,,UNKNOWN
solar_cell_visual_1_2_3,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000003,,UNKNOWN
solar_cell_visual_1_3_0,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000002,,UNKNOWN
solar_cell_visual_1_3_1,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000002,,UNKNOWN
solar_cell_visual_1_3_2,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000003,,UNKNOWN
solar_cell_visual_1_3_3,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000002,,UNKNOWN
solar_cell_visual_1_4_0,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000002,,UNKNOWN
solar_cell_visual_1_4_1,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000002,,UNKNOWN
solar_cell_visual_1_4_2,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000003,,UNKNOWN
solar_cell_visual_1_4_3,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000002,,UNKNOWN
solar_cell_visual_1_5_0,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000002,,UNKNOWN
solar_cell_visual_1_5_1,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000005,,UNKNOWN
solar_cell_visual_1_5_2,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000005,,UNKNOWN
solar_cell_visual_1_5_3,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000003,,UNKNOWN
solar_cell_visual_1_6_0,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000002,,UNKNOWN
solar_cell_visual_1_6_1,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000005,,UNKNOWN
solar_cell_visual_1_6_2,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000005,,UNKNOWN
solar_cell_visual_1_6_3,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000003,,UNKNOWN
solar_cell_visual_1_7_0,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000002,,UNKNOWN
solar_cell_visual_1_7_1,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000002,,UNKNOWN
solar_cell_visual_1_7_2,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000003,,UNKNOWN
solar_cell_visual_1_7_3,solar,VISUAL_ONLY_NO_MASS,1,773.0937500000002,,UNKNOWN
wing_hinge_1_-120,solar,HINGE_ENVELOPE,1,3216.9908772759477,,UNKNOWN
wing_bracket_1_-120,solar,NEW_CANDIDATE_METAL,1,4752.0,0.0128304,CAD_VOLUME_CANDIDATE_DENSITY
wing_hinge_1_120,solar,HINGE_ENVELOPE,1,3216.9908772759477,,UNKNOWN
wing_bracket_1_120,solar,NEW_CANDIDATE_METAL,1,4752.0,0.0128304,CAD_VOLUME_CANDIDATE_DENSITY
body_camera_envelope,sensing,SENSOR_ENVELOPE,1,52920.0,0.15,SOURCE_OR_BUDGET_NOT_MEASURED
camera_lens_visual,sensing,VISUAL_ONLY_NO_MASS,1,1884.9555921538758,,UNKNOWN
body_camera_bracket,sensing,NEW_CANDIDATE_METAL,1,5920.000000000001,0.015984,CAD_VOLUME_CANDIDATE_DENSITY
harness_route_envelope_1,harness,ROUTING_ENVELOPE,1,7068.583470577036,,UNKNOWN
harness_route_envelope_2,harness,ROUTING_ENVELOPE,1,1623.7445551866253,,UNKNOWN
harness_route_envelope_3,harness,ROUTING_ENVELOPE,1,1555.0883635269474,,UNKNOWN
