part_number,quantity,classification,geometry_basis,part_STEP,manufacturing_status
WP01-RB-LONGERON-R2,4,ONBOARD_HARDWARE_CANDIDATE,NEW_PARAMETRIC_CANDIDATE,parts/WP01-RB-LONGERON-R2.step,NOT_FOR_MANUFACTURE
WP01-RB-END-FRAME-R2,2,ONBOARD_HARDWARE_CANDIDATE,NEW_PARAMETRIC_CANDIDATE,parts/WP01-RB-END-FRAME-R2.step,NOT_FOR_MANUFACTURE
WP01-RB-END-PLUG-R2,8,ONBOARD_HARDWARE_CANDIDATE,NEW_PARAMETRIC_CANDIDATE,parts/WP01-RB-END-PLUG-R2.step,NOT_FOR_MANUFACTURE
WP01-MT-M4X22-ENVELOPE,8,STANDARD_HARDWARE_GEOMETRY_CANDIDATE,NEW_PARAMETRIC_CANDIDATE,INPUT_STEP_OR_ASSEMBLY_ENVELOPE,NOT_FOR_MANUFACTURE
WP01-RB-BRIDGE-R2,1,ONBOARD_HARDWARE_CANDIDATE,NEW_PARAMETRIC_CANDIDATE,parts/WP01-RB-BRIDGE-R2.step,NOT_FOR_MANUFACTURE
WP01-RB-UPPER-BEAM-R2,2,ONBOARD_HARDWARE_CANDIDATE,NEW_PARAMETRIC_CANDIDATE,parts/WP01-RB-UPPER-BEAM-R2.step,NOT_FOR_MANUFACTURE
WP01-RB-LOWER-BEAM-R2,2,ONBOARD_HARDWARE_CANDIDATE,NEW_PARAMETRIC_CANDIDATE,parts/WP01-RB-LOWER-BEAM-R2.step,NOT_FOR_MANUFACTURE
WP01-RB-PILLAR-R2,4,ONBOARD_HARDWARE_CANDIDATE,NEW_PARAMETRIC_CANDIDATE,parts/WP01-RB-PILLAR-R2.step,NOT_FOR_MANUFACTURE
WP01-RB-PILLAR-PLUG-R2,8,ONBOARD_HARDWARE_CANDIDATE,NEW_PARAMETRIC_CANDIDATE,parts/WP01-RB-PILLAR-PLUG-R2.step,NOT_FOR_MANUFACTURE
WP01-RB-LOWER-SPACER-R2,4,ONBOARD_HARDWARE_CANDIDATE,NEW_PARAMETRIC_CANDIDATE,parts/WP01-RB-LOWER-SPACER-R2.step,NOT_FOR_MANUFACTURE
WP01-MT-M4-TIEROD228-ENVELOPE,4,STANDARD_HARDWARE_GEOMETRY_CANDIDATE,NEW_PARAMETRIC_CANDIDATE,INPUT_STEP_OR_ASSEMBLY_ENVELOPE,NOT_FOR_MANUFACTURE
WP01-MT-WASHER4-ENVELOPE,8,STANDARD_HARDWARE_GEOMETRY_CANDIDATE,NEW_PARAMETRIC_CANDIDATE,INPUT_STEP_OR_ASSEMBLY_ENVELOPE,NOT_FOR_MANUFACTURE
WP01-MT-NUT4-ENVELOPE,4,STANDARD_HARDWARE_GEOMETRY_CANDIDATE,NEW_PARAMETRIC_CANDIDATE,INPUT_STEP_OR_ASSEMBLY_ENVELOPE,NOT_FOR_MANUFACTURE
WP01-MT-M3RA-REUSED,1,ONBOARD_HARDWARE_CANDIDATE,UNCHANGED_IMPORTED_NOMINAL_BREP,INPUT_STEP_OR_ASSEMBLY_ENVELOPE,NOT_FOR_MANUFACTURE
