id,pn,product_role,representation_role,qualification_status,parent_assembly,mount_interface,mass_source,mass_owner,mass_kg,mass_basis,source_revision,allocated_dynamics_mass_kg,allocated_dynamics_mass_source,allocated_mass_reference
RB_longeron_-1_-1,WP01-RB-LONGERON-R2_WP03_LOWER,ONBOARD_CANDIDATE,PHYSICAL_GEOMETRY,NOT_EVALUATED,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,CAD_ESTIMATE,RB_longeron_-1_-1,0.07504185755438755,UNIFORM_GEOMETRY_CANDIDATE_DENSITY,WP02_ROOT_WITH_WP03_INTERFACE_CORRECTIONS,0.07504185755438755,CAD_ESTIMATE,results/DYNAMICS_HANDOFF.json
RB_longeron_-1_1,WP01-RB-LONGERON-R2_WP03_UPPER,ONBOARD_CANDIDATE,PHYSICAL_GEOMETRY,NOT_EVALUATED,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,CAD_ESTIMATE,RB_longeron_-1_1,0.07440214842347995,UNIFORM_GEOMETRY_CANDIDATE_DENSITY,WP02_ROOT_WITH_WP03_INTERFACE_CORRECTIONS,0.07440214842347995,CAD_ESTIMATE,results/DYNAMICS_HANDOFF.json
RB_longeron_1_-1,WP01-RB-LONGERON-R2_WP03_LOWER,ONBOARD_CANDIDATE,PHYSICAL_GEOMETRY,NOT_EVALUATED,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,CAD_ESTIMATE,RB_longeron_1_-1,0.07504185755438753,UNIFORM_GEOMETRY_CANDIDATE_DENSITY,WP02_ROOT_WITH_WP03_INTERFACE_CORRECTIONS,0.07504185755438753,CAD_ESTIMATE,results/DYNAMICS_HANDOFF.json
RB_longeron_1_1,WP01-RB-LONGERON-R2_WP03_UPPER,ONBOARD_CANDIDATE,PHYSICAL_GEOMETRY,NOT_EVALUATED,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,CAD_ESTIMATE,RB_longeron_1_1,0.07440214842347992,UNIFORM_GEOMETRY_CANDIDATE_DENSITY,WP02_ROOT_WITH_WP03_INTERFACE_CORRECTIONS,0.07440214842347992,CAD_ESTIMATE,results/DYNAMICS_HANDOFF.json
RB_end_frame_-1,WP01-RB-END-FRAME-R2,ONBOARD_CANDIDATE,PHYSICAL_GEOMETRY,NOT_EVALUATED,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,CAD_ESTIMATE,RB_end_frame_-1,0.16560908052998974,UNIFORM_GEOMETRY_CANDIDATE_DENSITY,WP02_ROOT_GEOMETRY_REBUILT,0.16560908052998974,CAD_ESTIMATE,results/DYNAMICS_HANDOFF.json
RB_end_plug_-1_-1_-1,WP01-RB-END-PLUG-R2_WP03,ONBOARD_CANDIDATE,PHYSICAL_GEOMETRY,NOT_EVALUATED,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,CAD_ESTIMATE,RB_end_plug_-1_-1_-1,0.0025849075037376462,UNIFORM_GEOMETRY_CANDIDATE_DENSITY,WP02_ROOT_WITH_WP03_INTERFACE_CORRECTIONS,0.0025849075037376462,CAD_ESTIMATE,results/DYNAMICS_HANDOFF.json
RB_end_screw_-1_-1_-1,WP01-MT-M4X30-E4-ENVELOPE_WP03,ONBOARD_CANDIDATE,SIMPLIFIED_PROXY,NOT_EVALUATED,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,UNKNOWN,RB_end_screw_-1_-1_-1,,THREADLESS_FASTENER_UNSELECTED,WP02_ROOT_GEOMETRY_REBUILT,,UNKNOWN,results/DYNAMICS_HANDOFF.json
RB_end_plug_-1_-1_1,WP01-RB-END-PLUG-R2_WP03,ONBOARD_CANDIDATE,PHYSICAL_GEOMETRY,NOT_EVALUATED,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,CAD_ESTIMATE,RB_end_plug_-1_-1_1,0.002584907503737647,UNIFORM_GEOMETRY_CANDIDATE_DENSITY,WP02_ROOT_WITH_WP03_INTERFACE_CORRECTIONS,0.002584907503737647,CAD_ESTIMATE,results/DYNAMICS_HANDOFF.json
RB_end_screw_-1_-1_1,WP01-MT-M4X30-E4-ENVELOPE_WP03,ONBOARD_CANDIDATE,SIMPLIFIED_PROXY,NOT_EVALUATED,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,UNKNOWN,RB_end_screw_-1_-1_1,,THREADLESS_FASTENER_UNSELECTED,WP02_ROOT_GEOMETRY_REBUILT,,UNKNOWN,results/DYNAMICS_HANDOFF.json
RB_end_plug_-1_1_-1,WP01-RB-END-PLUG-R2_WP03,ONBOARD_CANDIDATE,PHYSICAL_GEOMETRY,NOT_EVALUATED,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,CAD_ESTIMATE,RB_end_plug_-1_1_-1,0.0025849075037376462,UNIFORM_GEOMETRY_CANDIDATE_DENSITY,WP02_ROOT_WITH_WP03_INTERFACE_CORRECTIONS,0.0025849075037376462,CAD_ESTIMATE,results/DYNAMICS_HANDOFF.json
RB_end_screw_-1_1_-1,WP01-MT-M4X30-E4-ENVELOPE_WP03,ONBOARD_CANDIDATE,SIMPLIFIED_PROXY,NOT_EVALUATED,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,UNKNOWN,RB_end_screw_-1_1_-1,,THREADLESS_FASTENER_UNSELECTED,WP02_ROOT_GEOMETRY_REBUILT,,UNKNOWN,results/DYNAMICS_HANDOFF.json
RB_end_plug_-1_1_1,WP01-RB-END-PLUG-R2_WP03,ONBOARD_CANDIDATE,PHYSICAL_GEOMETRY,NOT_EVALUATED,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,CAD_ESTIMATE,RB_end_plug_-1_1_1,0.0025849075037376462,UNIFORM_GEOMETRY_CANDIDATE_DENSITY,WP02_ROOT_WITH_WP03_INTERFACE_CORRECTIONS,0.0025849075037376462,CAD_ESTIMATE,results/DYNAMICS_HANDOFF.json
RB_end_screw_-1_1_1,WP01-MT-M4X30-E4-ENVELOPE_WP03,ONBOARD_CANDIDATE,SIMPLIFIED_PROXY,NOT_EVALUATED,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,UNKNOWN,RB_end_screw_-1_1_1,,THREADLESS_FASTENER_UNSELECTED,WP02_ROOT_GEOMETRY_REBUILT,,UNKNOWN,results/DYNAMICS_HANDOFF.json
RB_end_frame_1,WP01-RB-END-FRAME-R2,ONBOARD_CANDIDATE,PHYSICAL_GEOMETRY,NOT_EVALUATED,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,CAD_ESTIMATE,RB_end_frame_1,0.16560908052998974,UNIFORM_GEOMETRY_CANDIDATE_DENSITY,WP02_ROOT_GEOMETRY_REBUILT,0.16560908052998974,CAD_ESTIMATE,results/DYNAMICS_HANDOFF.json
RB_end_plug_1_-1_-1,WP01-RB-END-PLUG-R2_WP03,ONBOARD_CANDIDATE,PHYSICAL_GEOMETRY,NOT_EVALUATED,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,CAD_ESTIMATE,RB_end_plug_1_-1_-1,0.0025849071053240086,UNIFORM_GEOMETRY_CANDIDATE_DENSITY,WP02_ROOT_WITH_WP03_INTERFACE_CORRECTIONS,0.0025849071053240086,CAD_ESTIMATE,results/DYNAMICS_HANDOFF.json
RB_end_screw_1_-1_-1,WP01-MT-M4X22-ENVELOPE,ONBOARD_CANDIDATE,SIMPLIFIED_PROXY,NOT_EVALUATED,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,UNKNOWN,RB_end_screw_1_-1_-1,,THREADLESS_FASTENER_UNSELECTED,WP02_ROOT_GEOMETRY_REBUILT,,UNKNOWN,results/DYNAMICS_HANDOFF.json
RB_end_plug_1_-1_1,WP01-RB-END-PLUG-R2_WP03,ONBOARD_CANDIDATE,PHYSICAL_GEOMETRY,NOT_EVALUATED,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,CAD_ESTIMATE,RB_end_plug_1_-1_1,0.002584907105324009,UNIFORM_GEOMETRY_CANDIDATE_DENSITY,WP02_ROOT_WITH_WP03_INTERFACE_CORRECTIONS,0.002584907105324009,CAD_ESTIMATE,results/DYNAMICS_HANDOFF.json
RB_end_screw_1_-1_1,WP01-MT-M4X22-ENVELOPE,ONBOARD_CANDIDATE,SIMPLIFIED_PROXY,NOT_EVALUATED,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,UNKNOWN,RB_end_screw_1_-1_1,,THREADLESS_FASTENER_UNSELECTED,WP02_ROOT_GEOMETRY_REBUILT,,UNKNOWN,results/DYNAMICS_HANDOFF.json
