instance,parent,mount_interface,physical_joint_status,source_revision
RB_longeron_-1_-1,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_WITH_WP03_INTERFACE_CORRECTIONS
RB_longeron_-1_1,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_WITH_WP03_INTERFACE_CORRECTIONS
RB_longeron_1_-1,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_WITH_WP03_INTERFACE_CORRECTIONS
RB_longeron_1_1,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_WITH_WP03_INTERFACE_CORRECTIONS
RB_end_frame_-1,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
RB_end_plug_-1_-1_-1,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_WITH_WP03_INTERFACE_CORRECTIONS
RB_end_screw_-1_-1_-1,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
RB_end_plug_-1_-1_1,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_WITH_WP03_INTERFACE_CORRECTIONS
RB_end_screw_-1_-1_1,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
RB_end_plug_-1_1_-1,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_WITH_WP03_INTERFACE_CORRECTIONS
RB_end_screw_-1_1_-1,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
RB_end_plug_-1_1_1,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_WITH_WP03_INTERFACE_CORRECTIONS
RB_end_screw_-1_1_1,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
RB_end_frame_1,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
RB_end_plug_1_-1_-1,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_WITH_WP03_INTERFACE_CORRECTIONS
RB_end_screw_1_-1_-1,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
RB_end_plug_1_-1_1,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_WITH_WP03_INTERFACE_CORRECTIONS
RB_end_screw_1_-1_1,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
RB_end_plug_1_1_-1,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_WITH_WP03_INTERFACE_CORRECTIONS
RB_end_screw_1_1_-1,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
RB_end_plug_1_1_1,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_WITH_WP03_INTERFACE_CORRECTIONS
RB_end_screw_1_1_1,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
