phase,maneuver,controller,t_s,base_dev_angle_deg,base_rate_norm_dps,wheel_h_x_Nms,wheel_h_y_Nms,wheel_h_z_Nms,momentum_residual
A,M1_headline,A0_no_compensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,M1_headline,A0_no_compensation,0.1,0.00023752099457411267,0.007080879473048309,0.0,0.0,0.0,2.710505431213761e-20
A,M1_headline,A0_no_compensation,0.2,0.00186461271498171,0.02761654162536223,0.0,0.0,0.0,1.0842021724855044e-19
A,M1_headline,A0_no_compensation,0.30000000000000004,0.006175228573928259,0.0605863160379192,0.0,0.0,0.0,2.168404344971009e-19
A,M1_headline,A0_no_compensation,0.4,0.01436442726828812,0.10503519679559215,0.0,0.0,0.0,2.168404344971009e-19
A,M1_headline,A0_no_compensation,0.5,0.027535544189802214,0.1600851672267828,0.0,0.0,0.0,4.336808689942018e-19
A,M1_headline,A0_no_compensation,0.6000000000000001,0.04670825161549763,0.22494173946031953,0.0,0.0,0.0,8.673617379884035e-19
A,M1_headline,A0_no_compensation,0.7000000000000001,0.0728270638452824,0.2988962960955036,0.0,0.0,0.0,8.673617379884035e-19
A,M1_headline,A0_no_compensation,0.8,0.10676988595922862,0.3813247862736191,0.0,0.0,0.0,1.734723475976807e-18
A,M1_headline,A0_no_compensation,0.9,0.14935627363458115,0.4716832975157878,0.0,0.0,0.0,1.734723475976807e-18
A,M1_headline,A0_no_compensation,1.0,0.20135511384217708,0.5695009963468107,0.0,0.0,0.0,1.734723475976807e-18
A,M1_headline,A0_no_compensation,1.1,0.2634914875797329,0.674370904416512,0.0,0.0,0.0,3.469446951953614e-18
A,M1_headline,A0_no_compensation,1.2000000000000002,0.3364525207474007,0.7859389526697793,0.0,0.0,0.0,1.734723475976807e-18
A,M1_headline,A0_no_compensation,1.3,0.4208920718810288,0.9038917345210674,0.0,0.0,0.0,3.469446951953614e-18
A,M1_headline,A0_no_compensation,1.4000000000000001,0.5174341469584234,1.0279433603530286,0.0,0.0,0.0,6.938893903907228e-18
A,M1_headline,A0_no_compensation,1.5,0.6266749709179168,1.1578218000801597,0.0,0.0,0.0,6.938893903907228e-18
A,M1_headline,A0_no_compensation,1.6,0.7491836834487887,1.2932550876103608,0.0,0.0,0.0,3.469446951953614e-18
A,M1_headline,A0_no_compensation,1.7000000000000002,0.8855016635231574,1.4339577498438731,0.0,0.0,0.0,6.938893903907228e-18
A,M1_headline,A0_no_compensation,1.8,1.0361405226706637,1.5796178118674595,0.0,0.0,0.0,3.469446951953614e-18
A,M1_headline,A0_no_compensation,1.9000000000000001,1.2015788418396334,1.7298847173068168,0.0,0.0,0.0,6.938893903907228e-18
A,M1_headline,A0_no_compensation,2.0,1.3822577595510246,1.8843584862505254,0.0,0.0,0.0,6.938893903907228e-18
