state_id,required_object,layer_H1,layer_H2,layer_H3_visual,layer_H3_collision,present_now
C01,spacecraft_bus_12U,STAGE1_SSOT_24KG_LOW_CONF,FROZEN_MASTER_STEP,servicer_12U_v0.stl,URDF_BOX_PROXY,PARTIAL
C01,b601_arm_links_10,ACCEPTED_URDF,MISSING_CURRENT_STEP,meshes_b601_gripper_10_STL,SAME_STL_NARROWPHASE_ABSENT,PARTIAL
C01,solar_array_left,PLACEHOLDER_0P3484KG,CANDIDATE_STEP,MISSING,MISSING,NO
C01,solar_array_right,PLACEHOLDER_0P3484KG,CANDIDATE_STEP,MISSING,MISSING,NO
C02,solar_array_left_failed_pose,PLACEHOLDER,MISSING_STUCK_TRANSFORM,MISSING,MISSING,NO
C03,solar_array_right_failed_pose,PLACEHOLDER,MISSING_STUCK_TRANSFORM,MISSING,MISSING,NO
C04,both_arrays_failed_pose,PLACEHOLDER,MISSING_STUCK_TRANSFORM,MISSING,MISSING,NO
C05,arm_hdrm_and_support,MISSING_HDRM_AUTHORITY,MISSING,MISSING,ARM_HDRM_RELEASE_SWEEP_KEEP_OUT_LISTED,NO
C06,arm_task_ready_pose_assets,ACCEPTED_URDF,MISSING_CURRENT_STEP,STL_SET,NARROWPHASE_ABSENT,PARTIAL
C07,gripper_travel_and_contact_normals,URDF_P_JOINTS,MISSING,gripper_STL,DERIVED_PAD_ENVELOPE_ONLY,NO
C07,target_relative_frame,NOT_AUTHORITY_BOUND,N_A,target_stl,URDF_PRIMITIVES,NO
C08,target_satellite_22kg_attached,PROVISIONAL_RA003,N_A,target_satellite_v0.stl,URDF_PRIMITIVES,NO_T_E_T_MISSING
C09,target_debris_150kg_attached,PROVISIONAL_D8,N_A,target_debris_v0.stl,URDF_PRIMITIVES,NO_T_E_T_MISSING
ALL,route_c_dress_pack,EXCLUDED_RC5_NOT_ACCEPTED,V9F_REJECTED,route_c_variants,EXCLUDED,EXCLUDED
