asset_id,path,bytes,sha256,hash_mode,role,authority_status,consumed_by_pb00,expected_hash_match
accepted_b601_urdf,20_engineering/cad/spacecraft_layout/arm_b601_v1/arm_b601_v1.urdf,11321,1BC2B7483CD8025D08BA6EADFD9E1F3B0477121714E7CF4DDC1794D9E471C164,RAW_BYTES_SHA256,AUTHORITATIVE_ARM_MODEL,ACCEPTED_CURRENT_HARDWARE_TRUTH_UNCHANGED,true,true
system_design_mass_v3_r2,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp2_design_mass/SYSTEM_DESIGN_MASS_PROPERTIES_V3_R2.yaml,223714,3FD2557318E98748A37927977FA2925C18803668FE16391D824C184F646486BB,RAW_BYTES_SHA256,R2_DESIGN_MASS_LEDGER,DESIGN_MODEL_CANDIDATE_NOT_AS_BUILT,false,true
system_mass_bridged_v1,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/mpi_phys_dyn_bridge/round1_bridge/06_mass_propagation/SYSTEM_MASS_PROPERTIES_BRIDGED_V1.yaml,232338,E5D13A8D105B78C703EFA963BCF73714586E564F9951228AFBA9AF81ECB71528,RAW_BYTES_SHA256,DYNAMICS_LANE_MASS_PROPERTIES,CANDIDATE_ONLY_CONSUMED_BY_E22_E23,true,NOT_PINNED_IN_PREBIND_RUNNER
system_mass_authority_v2,20_engineering/F3R2_MECHANICAL_CDR_QUALIFICATION_CLOSURE_20260821/03_wp2_mass_interface/SYSTEM_MASS_PROPERTIES_AUTHORITY_V2.yaml,4634,32E5B0EEEC784731A05B649CCF8583325CDF569302F1532E0EB4B84D712F455B,RAW_BYTES_SHA256,MASS_AUTHORITY_RULING,PARTIAL_AUTHORITY_SYSTEM_CONFIGURATION_NOT_EVALUABLE,false,NOT_PINNED_IN_PREBIND_RUNNER
legacy_spacecraft_geometry,20_engineering/config/geometry/service_spacecraft_v1.yaml,1176,8DD8F22FF1F893273DE2215EA12819E4D41CC0E20B853ADC0774052237881432,RAW_BYTES_SHA256,LEGACY_LANE_REFERENCE_ONLY,DESIGN_LAYER_NOT_CURRENT_R2_DYNAMIC_MASS_AUTHORITY,false,NOT_PINNED_IN_PREBIND_RUNNER
target_models,20_engineering/config/geometry/target_models_v1.yaml,864,45666D9D37460FD825F0ED7301BF69113016689FDF00A13DFF8046358A76AE45,RAW_BYTES_SHA256,TARGET_PARAMETER_SOURCE,LOW_CONFIDENCE_PROVISIONAL,false,NOT_PINNED_IN_PREBIND_RUNNER
legacy_frame_tree,20_engineering/config/geometry/frame_tree_v1.yaml,1653,958BFF23BF83434C773854FD0E78DA3B09BE4A3A213EB81A0741514750B3E55B,RAW_BYTES_SHA256,HISTORICAL_DYNAMICS_FRAME_REFERENCE,SUPERSEDED_FOR_PREBIND_BY_UNIFIED_TREE_AND_BRIDGE,false,NOT_PINNED_IN_PREBIND_RUNNER
physical_dynamics_bridge,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/mpi_phys_dyn_bridge/round1_bridge/02_bridge/B601_PHYSICAL_DYNAMICS_BRIDGE_V1.yaml,12145,0ACEB659284CAB862BA65228C5C2DF4BEB06D9EE05B5E2F0B2B5CB38402BF72C,RAW_BYTES_SHA256,UNIQUE_PHYSICAL_TO_DYNAMICS_FRAME_BRIDGE,FROZEN_CANDIDATE_PENDING_OWNER_CONFIRMATION,true,true
unified_r2_frame_tree,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/unified_r2_digital_prototype_prebind/source_only_v2/UNIFIED_R2_SYSTEM_FRAME_TREE_V2.yaml,11828,5F8B19DC5BF14EFBB3C6A781C6816D52FE80804DAB328821623E165239999756,RAW_BYTES_SHA256,CURRENT_UNIFIED_FRAME_TOPOLOGY,SOURCE_ONLY_FROZEN_NOT_DYNAMICS_AUTHORIZED,true,NOT_PINNED_IN_PREBIND_RUNNER
unified_r2_urdf,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/unified_r2_digital_prototype_prebind/generated_v2/unified_r2_c01_no_route_c_sim_candidate_v2.urdf,17191,D84AA23CE98A2A9C697B1F32E433C01C3F0AE3BD0B5C56EF9A218DD88911CBDA,RAW_BYTES_SHA256,PB00_SOURCE_ONLY_SYSTEM_MODEL,SOURCE_ONLY_BUILDER_EMISSION_OWNER_ACCEPTED_FALSE,true,true
