metric,label,reference_alpha,comparison_alpha,n_blocks,wilcoxon_statistic,wilcoxon_p_raw,rank_biserial_improvement_lower_is_better,median_paired_difference_comparison_minus_reference,wilcoxon_p_holm_within_metric
capture_impulse_linear_norm_Ns,Initial linear impulse [N s],0.0,0.8,6,0.0,0.03125,1.0,-0.0387546264393864,0.0625
capture_impulse_linear_norm_Ns,Initial linear impulse [N s],0.0,1.0,6,0.0,0.03125,1.0,-0.04327766538490009,0.0625
capture_impulse_angular_norm_Nms,Initial angular impulse [N m s],0.0,0.8,6,0.0,0.03125,1.0,-0.0071524971495034,0.0625
capture_impulse_angular_norm_Nms,Initial angular impulse [N m s],0.0,1.0,6,0.0,0.03125,1.0,-0.008073292035486427,0.0625
capture_impulse_6d_norm,Initial 6D impulse norm [mixed units],0.0,0.8,6,0.0,0.03125,1.0,-0.03931264255013955,0.0625
capture_impulse_6d_norm,Initial 6D impulse norm [mixed units],0.0,1.0,6,0.0,0.03125,1.0,-0.04388059767347899,0.0625
relative_twist_pre_norm,Pre-contact relative twist norm [mixed units],0.0,0.8,6,0.0,0.03125,1.0,-0.04909747446008517,0.0625
relative_twist_pre_norm,Pre-contact relative twist norm [mixed units],0.0,1.0,6,0.0,0.03125,1.0,-0.0562823797722509,0.0625
terminal_joint_speed_max_radps,Terminal maximum joint speed [rad/s],0.0,0.8,6,0.0,0.03125,-1.0,0.3246107211957015,0.0625
terminal_joint_speed_max_radps,Terminal maximum joint speed [rad/s],0.0,1.0,6,0.0,0.03125,-1.0,0.4209124942477885,0.0625
terminal_base_rate_dps,Terminal base rate [deg/s],0.0,0.8,6,0.0,0.03125,-1.0,2.1391029075575925,0.0625
terminal_base_rate_dps,Terminal base rate [deg/s],0.0,1.0,6,0.0,0.03125,-1.0,2.690314370585031,0.0625
post_capture_omega_dps,Post-capture rigid rate [deg/s],0.0,0.8,6,0.0,0.0625,-1.0,1.977529251462329e-12,0.0625
post_capture_omega_dps,Post-capture rigid rate [deg/s],0.0,1.0,6,0.0,0.03125,-1.0,2.4718005420254485e-12,0.0625
wheel_momentum_required_Nms,Wheel momentum demand [N m s],0.0,0.8,6,0.0,0.0625,-1.0,2.2803980925800715e-13,0.125
wheel_momentum_required_Nms,Wheel momentum demand [N m s],0.0,1.0,6,0.0,0.0625,-1.0,2.851052727237402e-13,0.125
propellant_required_g,Equivalent cold-gas propellant [g],0.0,0.8,6,0.0,0.0625,-1.0,2.277289468111121e-12,0.125
propellant_required_g,Equivalent cold-gas propellant [g],0.0,1.0,6,0.0,0.0625,-1.0,2.8492763703980017e-12,0.125
