case_id,authority_class,stimulus_role,source_target,source_tumble_deg_s,approach_speed_m_s,source_impulse_N_s,solver_contact_window_ms,solver_contact_window_s,solver_waveform,solver_peak_force_N,solver_reconstructed_impulse_N_s,solver_standard_uncertainty_N_s,physical_contact_duration_s,physical_contact_force_N,physical_contact_pressure_Pa,physical_contact_normal,physical_lock_confirmation,released_for_mission_gate
M06_22_V0P005_TC5MS,NON_RELEASE_DIAGNOSTIC_CANDIDATE,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,target_satellite_v0,0.5,0.005,0.0601233,5,0.005,"F(t)=Fpeak*sin(pi*t/Tc),0<=t<=Tc",18.88829175895752,0.0601233,,,,,,,false
M06_22_V0P005_TC10MS,NON_RELEASE_DIAGNOSTIC_CANDIDATE,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,target_satellite_v0,0.5,0.005,0.0601233,10,0.01,"F(t)=Fpeak*sin(pi*t/Tc),0<=t<=Tc",9.444145879478761,0.0601233,,,,,,,false
M06_22_V0P005_TC20MS,NON_RELEASE_DIAGNOSTIC_CANDIDATE,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,target_satellite_v0,0.5,0.005,0.0601233,20,0.02,"F(t)=Fpeak*sin(pi*t/Tc),0<=t<=Tc",4.72207293973938,0.0601233,,,,,,,false
M06_22_V0P005_TC50MS,NON_RELEASE_DIAGNOSTIC_CANDIDATE,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,target_satellite_v0,0.5,0.005,0.0601233,50,0.05,"F(t)=Fpeak*sin(pi*t/Tc),0<=t<=Tc",1.888829175895752,0.0601233,,,,,,,false
M06_22_V0P005_TC100MS,NON_RELEASE_DIAGNOSTIC_CANDIDATE,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,target_satellite_v0,0.5,0.005,0.0601233,100,0.1,"F(t)=Fpeak*sin(pi*t/Tc),0<=t<=Tc",0.944414587947876,0.0601233,,,,,,,false
M06_22_V0P01_TC5MS,NON_RELEASE_DIAGNOSTIC_CANDIDATE,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,target_satellite_v0,0.5,0.01,0.120216,5,0.005,"F(t)=Fpeak*sin(pi*t/Tc),0<=t<=Tc",37.76697024439506,0.120216,,,,,,,false
M06_22_V0P01_TC10MS,NON_RELEASE_DIAGNOSTIC_CANDIDATE,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,target_satellite_v0,0.5,0.01,0.120216,10,0.01,"F(t)=Fpeak*sin(pi*t/Tc),0<=t<=Tc",18.88348512219753,0.120216,,,,,,,false
M06_22_V0P01_TC20MS,NON_RELEASE_DIAGNOSTIC_CANDIDATE,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,target_satellite_v0,0.5,0.01,0.120216,20,0.02,"F(t)=Fpeak*sin(pi*t/Tc),0<=t<=Tc",9.441742561098765,0.120216,,,,,,,false
M06_22_V0P01_TC50MS,NON_RELEASE_DIAGNOSTIC_CANDIDATE,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,target_satellite_v0,0.5,0.01,0.120216,50,0.05,"F(t)=Fpeak*sin(pi*t/Tc),0<=t<=Tc",3.776697024439506,0.120216,,,,,,,false
M06_22_V0P01_TC100MS,NON_RELEASE_DIAGNOSTIC_CANDIDATE,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,target_satellite_v0,0.5,0.01,0.120216,100,0.1,"F(t)=Fpeak*sin(pi*t/Tc),0<=t<=Tc",1.888348512219753,0.120216,,,,,,,false
M06_22_V0P02_TC5MS,NON_RELEASE_DIAGNOSTIC_CANDIDATE,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,target_satellite_v0,0.5,0.02,0.240417,5,0.005,"F(t)=Fpeak*sin(pi*t/Tc),0<=t<=Tc",75.52922809980973,0.240417,,,,,,,false
M06_22_V0P02_TC10MS,NON_RELEASE_DIAGNOSTIC_CANDIDATE,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,target_satellite_v0,0.5,0.02,0.240417,10,0.01,"F(t)=Fpeak*sin(pi*t/Tc),0<=t<=Tc",37.76461404990486,0.240417,,,,,,,false
M06_22_V0P02_TC20MS,NON_RELEASE_DIAGNOSTIC_CANDIDATE,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,target_satellite_v0,0.5,0.02,0.240417,20,0.02,"F(t)=Fpeak*sin(pi*t/Tc),0<=t<=Tc",18.88230702495243,0.240417,,,,,,,false
M06_22_V0P02_TC50MS,NON_RELEASE_DIAGNOSTIC_CANDIDATE,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,target_satellite_v0,0.5,0.02,0.240417,50,0.05,"F(t)=Fpeak*sin(pi*t/Tc),0<=t<=Tc",7.552922809980973,0.240417,,,,,,,false
M06_22_V0P02_TC100MS,NON_RELEASE_DIAGNOSTIC_CANDIDATE,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,target_satellite_v0,0.5,0.02,0.240417,100,0.1,"F(t)=Fpeak*sin(pi*t/Tc),0<=t<=Tc",3.776461404990486,0.240417,,,,,,,false
M06_22_V0P03_TC5MS,NON_RELEASE_DIAGNOSTIC_CANDIDATE,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,target_satellite_v0,0.5,0.03,0.360622,5,0.005,"F(t)=Fpeak*sin(pi*t/Tc),0<=t<=Tc",113.2927425922858,0.360622,,,,,,,false
M06_22_V0P03_TC10MS,NON_RELEASE_DIAGNOSTIC_CANDIDATE,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,target_satellite_v0,0.5,0.03,0.360622,10,0.01,"F(t)=Fpeak*sin(pi*t/Tc),0<=t<=Tc",56.64637129614292,0.360622,,,,,,,false
