sample_index,t_s,base_x_m,base_y_m,base_z_m,base_q_w,base_q_x,base_q_y,base_q_z,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,base_attitude_deviation_deg,base_vx_m_s,base_vy_m_s,base_vz_m_s,base_wx_rad_s,base_wy_rad_s,base_wz_rad_s,momentum_residual_norm_S,authority_class,attached_target_propagated,released_for_mission_gate
0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
1,0.01,-1.195906388694147e-10,-4.3258010234420313e-10,-6.071356938393676e-11,1.0,6.156935699434286e-09,-1.3223883495114627e-09,-7.936233621221584e-10,7.055328607422856e-07,-1.5153453807692868e-07,-9.094253927815301e-08,0.0,-3.586158364447406e-08,-1.2971757317144895e-07,-1.820614426721126e-08,3.6925543008601317e-06,-7.930878393676168e-07,-4.7596684720121516e-07,5.848863031421543e-22,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
2,0.02,-9.554769615474616e-10,-3.4561257703477076e-09,-4.85074694709848e-10,0.9999999999999988,4.919122409766901e-08,-1.0565305353008143e-08,-6.340702351819244e-09,5.6368990674339895e-06,-1.210694780161181e-06,-7.265910273713953e-07,5.663293681020316e-06,-1.4319677330043574e-07,-5.17967527453151e-07,-7.269777468930209e-08,1.4744519624371156e-05,-3.1668324195177013e-06,-1.900554216789428e-06,4.045375645798221e-21,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
3,0.03,-3.2205256254526366e-09,-1.1649196843846726e-08,-1.634988371198529e-09,0.9999999999999855,1.658036586776691e-07,-3.5611363834357497e-08,-2.1371923241603866e-08,1.899969982733002e-05,-4.080761283676453e-06,-2.4490426802481e-06,1.954377205284798e-05,-3.216317891010683e-07,-1.1633975227900158e-06,-1.632845684905211e-07,3.3117403486875965e-05,-7.112968421607825e-06,-4.26879631579838e-06,1.294726728284083e-20,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
4,0.04,-7.62386989490565e-09,-2.7576841226894972e-08,-3.870458651300772e-09,0.9999999999999182,3.9250275624490046e-07,-8.430189758632909e-08,-5.059315218853286e-08,4.497750324891571e-05,-9.660283594568856e-06,-5.797551977020444e-06,4.635605662986769e-05,-5.707936644014564e-07,-2.0646576637300185e-06,-2.897757231601745e-07,5.8772788341599756e-05,-1.262324996369746e-05,-7.575730434026972e-06,1.459030002808168e-20,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
5,0.05,-1.4870918630655954e-08,-5.379061871948998e-08,-7.549586835826604e-09,0.9999999999996886,7.656051411521818e-07,-1.6443706468664623e-07,-9.868544384327943e-08,8.773188858262669e-05,-1.8843090946692867e-05,-1.130853328956151e-05,9.043554780040317e-05,-8.90310324326326e-07,-3.2204005415239643e-06,-4.519795616459015e-07,9.167233538191386e-05,-1.968945304508011e-05,-1.181639423153417e-05,2.925714210813978e-20,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
6,0.06,-2.566336623704439e-08,-9.282862494634447e-08,-1.3028567680751643e-08,0.9999999999990724,1.3212359483611091e-06,-2.837759629202913e-07,-1.7030503652496676e-07,0.00015140249270220819,-3.251830422069693e-05,-1.9515562609775854e-05,0.00015607953694354496,-1.2798106628509754e-06,-4.629281275428647e-06,-6.497031449170306e-07,0.0001317777882735666,-2.8303377944924617e-05,-1.6985823076715797e-05,3.563835134392661e-20,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
7,0.07,-4.069920354877437e-08,-1.4721551538083673e-07,-2.066168365707217e-08,0.9999999999976671,2.095329244985195e-06,-4.5003675707997835e-07,-2.700833342145217e-07,0.00024010705878451907,-5.157034876801994e-05,-3.094937839156437e-05,0.00024752369019891385,-1.7389246184269191e-06,-6.289957553212212e-06,-8.827518918381014e-07,0.00017905097681643068,-3.84568515755532e-05,-2.307904743451386e-05,6.488550199038124e-20,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
8,0.08,-6.067272963966153e-08,-2.1946252946217296e-07,-3.0801297300298655e-08,0.9999999999948154,3.1236284699672204e-06,-6.708968179211771e-07,-4.026268756127478e-07,0.0003579414871464486,-7.68789681890541e-05,-4.613788152388973e-05,0.0003690001402355621,-2.26728324816366e-06,-8.201089670858558e-06,-1.1509292062929162e-06,0.0002334538205363109,-5.0141729790670956e-05,-3.0091090304300093e-05,5.0316983246373105e-20,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
9,0.09,-8.627456453573381e-08,-3.12067514803796e-07,-4.379784168617577e-08,0.9999999999895168,4.441686891543365e-06,-9.539928725480907e-07,-5.725172905093014e-07,0.0005089798881976397,-0.00010931923916725198,-6.560613445146837e-05,0.0005247034718827093,-2.86451880057787e-06,-1.0361340571465733e-05,-1.4540361114995203e-06,0.000294948332207347,-6.334989964885058e-05,-3.801696470696717e-05,1.0020081139091581e-19,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
10,0.1,-1.1819166281505302e-07,-4.2751495149107175e-07,-5.999980906921602e-08,0.9999999999803256,6.084868082146617e-06,-1.3069211660069809e-06,-7.843112437087473e-07,0.0006972746374677297,-0.00014976158705384444,-8.987635945973989e-05,0.0007188165685932176,-3.5302647869211545e-06,-1.2769375883331345e-05,-1.7918708914568319e-06,0.00036349662130553804,-7.807328163256395e-05,-4.685167122075335e-05,1.0528111847516296e-19,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
11,0.11,-1.5710732807662967e-07,-5.682759764662878e-07,-7.975373772063479e-08,0.9999999999652369,8.088346410402026e-06,-1.7372376338632476e-06,-1.0425403667598776e-06,0.0009268564326668464,-0.00019907180257211385,-0.00011946793614089398,0.0009554913460470264,-4.264156051097376e-06,-1.5423863957216303e-05,-2.1642287394636376e-06,0.0004390608973939077,-9.430383182304078e-05,-5.659019556531813e-05,2.2426067090140307e-19,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
12,0.12,-2.0370122821850333e-07,-7.36808408048535e-07,-1.034041970731329e-07,0.99999999994156,1.0487107549194166e-05,-2.252458085216988e-06,-1.351711178716005e-06,0.0012017343526610953,-0.00025811105922138924,-0.000154897398170343,0.0012388617470109524,-5.065828838180577e-06,-1.8323475902776775e-05,-2.5709014136510128e-06,0.0005216034734398243,-0.0001120335440312268,-6.722750623358017e-05,2.945544134113015e-19,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
13,0.13,-2.5864941169069087e-07,-9.355567703749646e-07,-1.312937709012793e-07,0.99999999990578,1.3315949002371018e-05,-2.8600583973378367e-06,-1.716304991951308e-06,0.001525895918655476,-0.0003277359317369857,-0.00019667842892698924,0.0015730375709196668,-5.934920861544196e-06,-2.1466885624152187e-05,-3.0116768994692737e-06,0.0006110867690649794,-0.00013125445188509892,-7.875855217082106e-05,3.3599780262781565e-19,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
14,0.14,-3.226243244709029e-07,-1.166952318030949e-06,-1.6376303896777026e-07,0.9999999998534077,1.660948064602516e-05,-3.5674747198983378e-06,-2.140777808656097e-06,0.001903307157117715,-0.0004087984153261992,-0.0002453218565905955,0.001962109300025379,-6.871071368612337e-06,-2.485276985469593e-05,-3.486339079070871e-06,0.0007074733137285208,-0.0001519586308735907,-9.11782605005541e-05,1.0368804286805967e-19,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
15,0.15,-3.962948277266378e-07,-1.4334130608940599e-06,-2.0115055720276823e-07,0.999999999778818,2.0402125283689153e-05,-4.382103688452443e-06,-2.62956020875806e-06,0.0023379126643656846,-0.0005021459456803565,-0.0003013356487909895,0.002410141154687604,-7.873921205243695e-06,-2.8479808190833985e-05,-3.994667407530741e-06,0.0008107257498438392,-0.0001741382003473679,-0.00010448153429664869,1.0331371658170698e-19,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
16,0.16,-4.803262164011353e-07,-1.737343788892352e-06,-2.437928360251399e-07,0.9999999996750765,2.4728119219157205e-05,-5.311302648880753e-06,-3.187057223602485e-06,0.002833635673242461,-0.0006086214198519759,-0.0003652249061489747,0.0029211792631011657,-8.943112878758623e-06,-3.234668312503524e-05,-4.5364365958457295e-06,0.0009208068358294877,-0.00019778532547668737,-0.00011866325040119731,1.8108486770496996e-19,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
17,0.17,-5.753802385597203e-07,-2.0811360968441432e-06,-2.920243170867198e-07,0.999999999533756,2.9621512844275588e-05,-6.3623898914658945e-06,-3.817648198998803e-06,0.0033943781215732094,-0.0007290632179334287,-0.00043749185511173904,0.003499244382846299,-1.0078290619619684e-05,-3.6452080077875696e-05,-5.1114163006552665e-06,0.0010376794490947103,-0.00022289221916656273,-0.00013371825728760773,1.3913015731519743e-19,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
18,0.18,-6.821151154806144e-07,-2.4671684093763934e-06,-3.461773484730645e-07,0.9999999993447406,3.511617124138178e-05,-7.542644894391062e-06,-4.525686647850209e-06,0.004024020722365959,-0.0008643052256515989,-0.0005186358400971669,0.004148339163558262,-1.1279100441776027e-05,-4.079468742917823e-05,-5.719370820625051e-06,0.0011613065889600623,-0.0002494511439294537,-0.0001496413729683947,3.0455988077687785e-19,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
19,0.19,-8.011855624753167e-07,-2.8978060059175638e-06,-4.0658215839245315e-07,0.9999999990960222,4.1245774800088585e-05,-8.859308576462467e-06,-5.315500092559792e-06,0.004726423035720237,-0.001015176857522321,-0.0006091533149589304,0.004872440047357857,-1.254519020168192e-05,-4.537319654820771e-05,-6.360058799436636e-06,0.0012916513795135918,-0.00027745441371568633,-0.00016642738294714602,4.10135417282677e-19,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
20,0.2,-9.332428104236424e-07,-3.3754010457608683e-06,-4.7356682738488913e-07,0.9999999987734822,4.804381984810888e-05,-1.0319583558856332e-05,-6.191389897406388e-06,0.005505423542407495,-0.0011825030809589857,-0.0007095378337843894,0.0056755055070282605,-1.3876209655999124e-05,-5.018630182290047e-05,-7.033232935324537e-06,0.0014286770724030154,-0.00030689439570180465,-0.00018407103821413014,3.798675995626616e-19,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
21,0.21,-1.0789346280085267e-06,-3.9022925931938245e-06,-5.474572590828628e-07,0.9999999983606673,5.554361929581761e-05,-1.1930634435691446e-05,-7.1576310910836234e-06,0.006364839719087388,-0.001367104440928199,-0.0008202800410374849,0.006561470383414808,-1.5271810517993738e-05,-5.523270068810625e-05,-7.738639697104757e-06,0.0015723470495643938,-0.0003377635120370498,-0.00020256705328500937,1.053574160617512e-18,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
22,0.22,-1.2389053446356783e-06,-4.480806642689993e-06,-6.285771495556293e-07,0.9999999978385531,6.377830329424685e-05,-1.3699588053227736e-05,-8.218472179595396e-06,0.007308468115123934,-0.0015697970854959972,-0.0009418676610589826,0.007534248015584331,-1.6731646512636957e-05,-6.0511093652819926e-05,-8.476019046636726e-06,0.0017226248258877183,-0.00037005424154815217,-0.00022191010428212096,4.1686414766079232e-19,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
