lane_id,sample_index,t_s,base_x_m,base_y_m,base_z_m,quat_w,quat_x,quat_y,quat_z,base_wx_rad_s,base_wy_rad_s,base_wz_rad_s,base_dev_deg,tip_L_mm,tip_R_mm,energy_J,joint_work_J,damping_energy_J,momentum_dP_norm,momentum_dL_norm,eta_1,eta_2,eta_3,eta_4,eta_5,eta_6
LEGACY_A__M07_ARM_ONLY,0,0.000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
LEGACY_A__M07_ARM_ONLY,1,1.000000000000e-01,2.1505609232839449e-07,-1.4874214424249030e-07,-1.4840362681928087e-07,9.9999999950587382e-01,8.2614740941990026e-06,-3.0269621842606248e-05,1.9366487849718201e-06,4.8748767228706265e-04,-1.7953050953898467e-03,1.1524391841840958e-04,3.6023554250343365e-03,-1.4178765257650281e-03,9.8040472826955213e-03,1.6230152092322227e-06,1.6230320502505572e-06,1.6900259224986301e-11,5.1527249726269224e-19,2.2948692574685539e-19,-3.1024904438868800e-07,1.1841921852351156e-07,1.0218511700069229e-08,3.5522461967049482e-06,7.0439298996491279e-07,4.5558928778877170e-08
LEGACY_A__M07_ARM_ONLY,2,2.000000000000e-01,1.6785093715826696e-06,-1.1511108409666605e-06,-1.0558031348695920e-06,9.9999997053022160e-01,6.3107403335610534e-05,-2.3393340930071599e-04,1.5237178331212365e-05,1.8384140097239931e-03,-6.8557879964024019e-03,4.5505357073801508e-04,2.7819931865462253e-02,-7.6941191905977001e-03,8.3781424256057377e-02,2.3709642266860287e-05,2.3709999944715123e-05,3.5760039914981948e-10,4.5766274197795571e-18,3.1481806996692834e-18,-2.1223310283466333e-06,1.6624349014666502e-07,1.7853336079387153e-08,2.5577651752955132e-05,9.2925372709082036e-07,7.7532264313280192e-08
LEGACY_A__M07_ARM_ONLY,3,3.000000000000e-01,5.6035702811471043e-06,-3.7471555787659345e-06,-3.2703358249889023e-06,9.9999968728218425e-01,2.0380731346446350e-04,-7.6237728945306206e-04,5.1758875453392459e-05,3.8932528009458832e-03,-1.4708671329978494e-02,1.0566899055497125e-03,9.0624150636496772e-02,-2.0823419191833458e-02,2.4748810864355431e-01,1.0947429750735740e-04,1.0947620915302996e-04,1.9116462853811222e-09,7.3964647473141911e-18,1.4400481645681306e-17,-5.8758053035504452e-06,2.9427525295902690e-07,2.4584512340776047e-08,7.4515762473963498e-05,1.5785884249745186e-06,1.0256926291814943e-07
LEGACY_A__M07_ARM_ONLY,4,4.000000000000e-01,1.3380685476684067e-05,-8.5389777312349150e-06,-7.0291010757500756e-06,9.9999836482852655e-01,4.6203135876242955e-04,-1.7437575412654590e-03,1.2718857596962787e-04,6.5241153431212081e-03,-2.4898926065599521e-02,2.0386174832913669e-03,2.0722842969648014e-01,-3.7712375615755925e-02,4.8699294201741250e-01,3.1524804033902369e-04,3.1525314201940225e-04,5.1016801038794487e-09,5.9292112699954125e-18,1.7435946389038197e-18,-1.0820736045361931e-05,3.4022734920403186e-07,3.1126693505631715e-08,1.4543260378908541e-04,1.8384061786413156e-06,1.2923085896927252e-07
LEGACY_A__M07_ARM_ONLY,5,5.000000000000e-01,2.6861844071845671e-05,-1.5962967799538325e-05,-1.2342311666774311e-05,9.9999419924386357e-01,8.6448819284391050e-04,-3.2838587573050006e-03,2.6534967607391068e-04,9.6608617335874145e-03,-3.6984673073435601e-02,3.6076704944392117e-03,3.9031041482364415e-01,-5.4696071330364297e-02,7.4827609881154444e-01,7.0072033186295091e-04,7.0072919930182578e-04,8.8674640183916495e-09,5.5646782123972297e-18,1.5899523124613932e-17,-1.5822227945231245e-05,3.5495206328940046e-07,3.5042788128513430e-08,2.2266169275463667e-04,1.9804193384533894e-06,1.5315165248109238e-07
LEGACY_A__M07_ARM_ONLY,6,6.000000000000e-01,4.8643118999011696e-05,-2.6256503664891631e-05,-1.9109225741631964e-05,9.9998389950641531e-01,1.4366700445229131e-03,-5.4666507711335997e-03,5.0243056576751812e-04,1.3328466562526300e-02,-5.0532899818853394e-02,6.0482234434971610e-03,6.5026114391164958e-01,-7.0806456008277202e-02,9.6383318709888033e-01,1.3219886780965891e-03,1.3220001699441324e-03,1.1491828480595462e-08,3.4368524821757709e-17,7.1061570880236997e-17,-2.0557065866407797e-05,3.7347797821292625e-07,3.3841372669035986e-08,2.8677469863720901e-04,2.4931112354036532e-06,1.6896243285663296e-07
LEGACY_A__M07_ARM_ONLY,7,7.000000000000e-01,8.2302492945946797e-05,-3.9424248063783545e-05,-2.7263692193992303e-05,9.9996226993734205e-01,2.2069289156942083e-03,-8.3543621773455434e-03,8.9039268262714876e-04,1.7630261156317089e-02,-6.5104917612919269e-02,9.6992221265279049e-03,9.9543465145644261e-01,-9.0407038688831196e-02,1.0865019491878092e+00,2.2273028197610438e-03,2.2273152132289264e-03,1.2393495150811557e-08,3.5188499319034236e-17,7.0400128243167777e-18,-2.6470496348116148e-05,2.3836911452258092e-07,2.7555659054088396e-08,3.2300621632110776e-04,2.5363716977804050e-06,1.8323204978167065e-07
LEGACY_A__M07_ARM_ONLY,8,8.000000000000e-01,1.3256479282020028e-04,-5.5207680782203636e-05,-3.6956578936153767e-05,9.9992187736082638e-01,3.2102045216696991e-03,-1.1986942971284616e-02,1.4989864351458945e-03,2.2729251567205108e-02,-8.0242553868387287e-02,1.4920830032132999e-02,1.4323821704276483e+00,-1.2551180904547182e-01,1.1016384090866369e+00,3.4550332697993844e-03,3.4550457947763735e-03,1.2524976198500434e-08,1.9500650277026330e-17,6.7083476189826097e-17,-3.6970381526870088e-05,8.8118316400129447e-08,1.6920894126947279e-08,3.2774807382326352e-04,2.8303083532990648e-06,2.0244763131792198e-07
LEGACY_A__M07_ARM_ONLY,9,9.000000000000e-01,2.0537400779170728e-04,-7.3064365072060368e-05,-4.8600606768954988e-05,9.9985282714023682e-01,4.4898619257685065e-03,-1.6380723985284486e-02,2.4160052321016813e-03,2.8825374533152134e-02,-9.5455780329058409e-02,2.2054087208202643e-02,1.9660149539498029e+00,-1.9102562017563923e-01,1.0409290890483531e+00,5.0332951835203961e-03,5.0333081607288150e-03,1.2977182001754038e-08,4.8401582839973178e-17,3.9680253532010555e-17,-5.6527932286927863e-05,-1.5087923527921850e-07,7.5949921116554516e-10,3.1022511715577235e-04,3.2447397217834720e-06,2.2304291090680670e-07
