lane_id,sample_index,t_s,base_x_m,base_y_m,base_z_m,quat_w,quat_x,quat_y,quat_z,base_wx_rad_s,base_wy_rad_s,base_wz_rad_s,base_dev_deg,energy_J,joint_work_J,momentum_dP_norm,momentum_dL_norm,joint1_q_rad,joint2_q_rad,joint3_q_rad,joint4_q_rad,joint5_q_rad,joint6_q_rad
ODR01_DYNAMICS_T_SM,0,0.000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4722592995215000e-05,-1.0482002296028701e+00,-1.3989828152470101e+00,-1.2200100679438799e+00,3.6732185948134402e-06,1.8395811591279000e-05
ODR01_DYNAMICS_T_SM,1,1.000000000000e-02,-9.3392308275321678e-11,-1.6831337184012800e-10,-1.6626399666009611e-10,9.9999999999999956e-01,3.8527070039682756e-09,-3.0263562033803680e-08,1.9055485822435316e-09,2.3090469171587468e-06,-1.8137888306226095e-05,1.1420568326326344e-06,3.4150945850063755e-06,1.8844610945528184e-10,1.8832029661161669e-10,3.4406640967429610e-21,1.7203320483714805e-21,-1.4894395463690435e-05,-1.0482003440292684e+00,-1.3989827767709342e+00,-1.2200099345066253e+00,3.6159501303536476e-06,1.8395809579257412e-05
ODR01_DYNAMICS_T_SM,2,2.000000000000e-02,-7.4462814538258360e-10,-1.3420078775148009e-09,-1.3256733492895431e-09,9.9999999999997036e-01,3.0718830190928986e-08,-2.4130041908825089e-07,1.5193752674249010e-08,9.1951195256784266e-06,-7.2228738501718247e-05,4.5480475920559204e-06,2.7901552660883233e-05,2.9883683156676743e-09,2.9882786695260367e-09,2.0765267950457998e-20,4.4090612642611550e-20,-1.6092428293007072e-05,-1.0482011419606536e+00,-1.3989825084651148e+00,-1.2200090040065394e+00,3.2165990551553589e-06,1.8395795548795930e-05
ODR01_DYNAMICS_T_SM,3,3.000000000000e-02,-2.5045725953333962e-09,-4.5140996121950247e-09,-4.4592070259863432e-09,9.9999999999966405e-01,1.0333009123201818e-07,-8.1166802706122858e-07,5.1109814556625232e-08,2.0596924935544721e-05,-1.6178992860294632e-04,1.0188358750896360e-05,9.3930622962188986e-05,1.4994014731226123e-08,1.4993958153201971e-08,6.8604439929913061e-20,8.4703294725430034e-21,-1.9330342186722157e-05,-1.0482032985235255e+00,-1.3989817833170901e+00,-1.2200064891512847e+00,2.1372760489634807e-06,1.8395757628778171e-05
ODR01_DYNAMICS_T_SM,4,4.000000000000e-02,-5.9162075211037885e-09,-1.0664079360505641e-08,-1.0534638341442335e-08,9.9999999999812461e-01,2.4411294140958020e-07,-1.9175159468657324e-06,1.2075398460339283e-07,3.6453670208768757e-05,-2.8634095366206371e-04,1.8034721582606093e-05,2.2192860188954299e-04,4.6966008405841484e-08,4.6965979254982747e-08,1.0863176909312428e-19,1.0877120089749008e-19,-2.5608120303572842e-05,-1.0482074797413246e+00,-1.3989803773753164e+00,-1.2200016132639686e+00,4.4647717358720302e-08,1.8395684108151772e-05
ODR01_DYNAMICS_T_SM,5,5.000000000000e-02,-1.1514156055958507e-08,-2.0757821617007127e-08,-2.0506619148755305e-08,9.9999999999289346e-01,4.7519133705687195e-07,-3.7325964660710527e-06,2.3508971210126881e-07,5.6705167388381232e-05,-4.4540340598714991e-04,2.8060776020662534e-05,4.3201283958977456e-04,1.1363880525535497e-07,1.1363879551642007e-07,1.0947388843289458e-19,1.0926396707304223e-19,-3.5912139546914840e-05,-1.0482143425752541e+00,-1.3989780697354446e+00,-1.2199936102355406e+00,-3.3900838384031093e-06,1.8395563435210630e-05
ODR01_DYNAMICS_T_SM,6,6.000000000000e-02,-1.9824019337388349e-08,-3.5747437333634730e-08,-3.5316772546197051e-08,9.9999999997892175e-01,8.1839001622830478e-07,-6.4282750374810308e-06,4.0495453992390562e-07,8.1291933413322334e-05,-6.3850095619197539e-04,4.0242606605339017e-05,7.4402050395853004e-04,2.3353230452884877e-07,2.3353230403531235e-07,1.6319403753145350e-19,1.1247691790130552e-19,-5.1215231854161091e-05,-1.0482245349651005e+00,-1.3989746425265916e+00,-1.2199817244771898e+00,-8.4912014515517839e-06,1.8395384216877121e-05
ODR01_DYNAMICS_T_SM,7,7.000000000000e-02,-3.1361534868462064e-08,-5.6571073341483885e-08,-5.5893793832488115e-08,9.9999999994720523e-01,1.2952382557528173e-06,-1.0173540570655476e-05,6.4107360866511247e-07,1.1015528508177107e-04,-8.6515933495663827e-04,5.4559251089657594e-05,1.1775058436119667e-03,4.2876763001386712e-07,4.2876770056694405e-07,3.2638807506290699e-19,5.7498503125626523e-20,-7.2476745486220418e-05,-1.0482386958700542e+00,-1.3989698808976159e+00,-1.2199652108727408e+00,-1.5578493319963390e-05,1.8395135217984310e-05
ODR01_DYNAMICS_T_SM,8,8.000000000000e-02,-4.6631566991204874e-08,-8.4152662782004419e-08,-8.3153560677399350e-08,9.9999999988315391e-01,1.9269741159641642e-06,-1.5135015839808452e-05,9.5407564420992616e-07,1.4323742923609624e-04,-1.1249063153590405e-03,7.0993182266955722e-05,1.7517604421868141e-03,7.2488709358691137e-07,7.2488722826352156e-07,7.0681334105934380e-19,2.7729431840110442e-19,-1.0064260631693613e-04,-1.0482574553095312e+00,-1.3989635730033909e+00,-1.2199433347310527e+00,-2.4967273436320979e-05,1.8394805360558198e-05
ODR01_DYNAMICS_T_SM,9,9.000000000000e-02,-6.6126936219440058e-08,-1.1940162633153237e-07,-1.1799924947218834e-07,9.9999999976471365e-01,2.7345490902531919e-06,-2.1476967528762720e-05,1.3545112771223552e-06,1.8048154835176243e-04,-1.4172716956184900e-03,8.9530763573692724e-05,2.4857988826540696e-03,1.1506783465664766e-06,1.1506785136226600e-06,2.5570857096407569e-19,4.3369410368206039e-19,-1.3664537912252481e-04,-1.0482814344039926e+00,-1.3989555099910784e+00,-1.2199153717384141e+00,-3.6968402018275334e-05,1.8394383723099933e-05
