t_s,roll_deg,pitch_deg,yaw_deg,wx_dps,wy_dps,wz_dps,grasp_x_m,grasp_y_m,grasp_z_m,grasp_visible
0.0000,0.0000,0.0000,0.0000,8.0000,1.0000,3.0000,0.60000,0.00000,1.00000,0
0.0667,0.5338,0.0652,0.2004,8.0022,0.9820,3.0000,0.60117,-0.00721,0.99927,0
0.1334,1.0680,0.1273,0.4014,8.0044,0.9640,3.0000,0.60234,-0.01442,0.99849,0
0.2001,1.6026,0.1863,0.6030,8.0066,0.9459,3.0000,0.60351,-0.02162,0.99765,0
0.2668,2.1375,0.2422,0.8050,8.0087,0.9279,3.0000,0.60468,-0.02880,0.99676,0
0.3335,2.6727,0.2951,1.0075,8.0108,0.9099,3.0000,0.60586,-0.03598,0.99581,0
0.4002,3.2082,0.3448,1.2104,8.0128,0.8918,2.9999,0.60704,-0.04315,0.99480,0
0.4669,3.7441,0.3914,1.4137,8.0148,0.8738,2.9999,0.60823,-0.05031,0.99374,0
0.5336,4.2802,0.4350,1.6174,8.0167,0.8557,2.9999,0.60942,-0.05746,0.99263,0
0.6003,4.8167,0.4754,1.8214,8.0186,0.8377,2.9999,0.61061,-0.06459,0.99146,0
0.6670,5.3534,0.5127,2.0256,8.0205,0.8196,2.9999,0.61180,-0.07172,0.99023,0
0.7337,5.8903,0.5469,2.2300,8.0223,0.8016,2.9999,0.61300,-0.07883,0.98895,0
0.8004,6.4275,0.5780,2.4347,8.0241,0.7835,2.9999,0.61420,-0.08593,0.98761,0
0.8671,6.9649,0.6060,2.6394,8.0259,0.7654,2.9999,0.61540,-0.09302,0.98622,0
0.9339,7.5025,0.6309,2.8443,8.0276,0.7473,2.9999,0.61661,-0.10010,0.98477,0
1.0006,8.0404,0.6526,3.0492,8.0292,0.7293,2.9999,0.61781,-0.10716,0.98327,0
1.0673,8.5784,0.6712,3.2542,8.0309,0.7112,2.9999,0.61902,-0.11421,0.98172,0
1.1340,9.1165,0.6867,3.4591,8.0324,0.6931,2.9999,0.62024,-0.12124,0.98011,0
