case_id,target,tumble_dps,approach_mps,arm_speed,pose_err_deg,inertia_scale,reaction_aware,v0_result,v0_reason,v0_post_rate_dps,v2_result,v2_reason,v2_post_rate_dps,migration
C0001,target_satellite_v0,0.5,0.005,0.5,1.0,0.8,0,FAIL,BASE_REACTION_FAIL,0.217,FAIL,BASE_REACTION_FAIL,0.206,FAIL->FAIL
C0002,target_satellite_v0,0.5,0.005,0.5,1.0,0.8,1,SAFE,SAFE,0.217,SAFE,SAFE,0.206,SAFE->SAFE
C0003,target_satellite_v0,0.5,0.005,0.5,1.0,1.0,0,FAIL,BASE_REACTION_FAIL,0.271,FAIL,BASE_REACTION_FAIL,0.231,FAIL->FAIL
C0004,target_satellite_v0,0.5,0.005,0.5,1.0,1.0,1,SAFE,SAFE,0.271,SAFE,SAFE,0.231,SAFE->SAFE
C0005,target_satellite_v0,0.5,0.005,0.5,1.0,1.2,0,FAIL,BASE_REACTION_FAIL,0.325,FAIL,BASE_REACTION_FAIL,0.252,FAIL->FAIL
C0006,target_satellite_v0,0.5,0.005,0.5,1.0,1.2,1,SAFE,SAFE,0.325,SAFE,SAFE,0.252,SAFE->SAFE
C0007,target_satellite_v0,0.5,0.005,0.5,2.0,0.8,0,FAIL,BASE_REACTION_FAIL,0.217,FAIL,BASE_REACTION_FAIL,0.206,FAIL->FAIL
C0008,target_satellite_v0,0.5,0.005,0.5,2.0,0.8,1,SAFE,SAFE,0.217,SAFE,SAFE,0.206,SAFE->SAFE
C0009,target_satellite_v0,0.5,0.005,0.5,2.0,1.0,0,FAIL,BASE_REACTION_FAIL,0.271,FAIL,BASE_REACTION_FAIL,0.231,FAIL->FAIL
C0010,target_satellite_v0,0.5,0.005,0.5,2.0,1.0,1,SAFE,SAFE,0.271,SAFE,SAFE,0.231,SAFE->SAFE
C0011,target_satellite_v0,0.5,0.005,0.5,2.0,1.2,0,FAIL,BASE_REACTION_FAIL,0.325,FAIL,BASE_REACTION_FAIL,0.252,FAIL->FAIL
C0012,target_satellite_v0,0.5,0.005,0.5,2.0,1.2,1,SAFE,SAFE,0.325,SAFE,SAFE,0.252,SAFE->SAFE
C0013,target_satellite_v0,0.5,0.005,0.5,3.0,0.8,0,FAIL,POSE_UNCERTAINTY_FAIL,0.217,FAIL,POSE_UNCERTAINTY_FAIL,0.206,FAIL->FAIL
C0014,target_satellite_v0,0.5,0.005,0.5,3.0,0.8,1,FAIL,POSE_UNCERTAINTY_FAIL,0.217,FAIL,POSE_UNCERTAINTY_FAIL,0.206,FAIL->FAIL
C0015,target_satellite_v0,0.5,0.005,0.5,3.0,1.0,0,FAIL,POSE_UNCERTAINTY_FAIL,0.271,FAIL,POSE_UNCERTAINTY_FAIL,0.231,FAIL->FAIL
C0016,target_satellite_v0,0.5,0.005,0.5,3.0,1.0,1,FAIL,POSE_UNCERTAINTY_FAIL,0.271,FAIL,POSE_UNCERTAINTY_FAIL,0.231,FAIL->FAIL
C0017,target_satellite_v0,0.5,0.005,0.5,3.0,1.2,0,FAIL,POSE_UNCERTAINTY_FAIL,0.325,FAIL,POSE_UNCERTAINTY_FAIL,0.252,FAIL->FAIL
