target,tumble_dps,v_app_mps,grasp_leverarm_m,post_rate_full_dps,post_rate_scalar_dps,scalar_error_pct,w_after_x_rps,w_after_y_rps,w_after_z_rps,contact_impulse_N_s,grasp_couple_N_m_s,impact_energy_loss_J,KE_pre_J,eps_H_origin,budget_2dps
target_debris_v0,0.5,0.005,1.21521,0.510222,0.495538,-2.87785,0.00758353,-0.000176135,0.00466464,0.112939,0.0189508,0.000404054,0.00293088,0,WITHIN_BUDGET
target_debris_v0,0.5,0.01,1.21521,0.513272,0.495538,-3.45497,0.00758353,-0.000990925,0.00466464,0.207009,0.0289496,0.00118154,0.00392463,0,WITHIN_BUDGET
target_debris_v0,0.5,0.02,1.21521,0.531759,0.495538,-6.81147,0.00758353,-0.00262051,0.00466464,0.399629,0.0616623,0.00414471,0.00789963,0,WITHIN_BUDGET
target_debris_v0,0.5,0.03,1.21521,0.565263,0.495538,-12.3349,0.00758353,-0.00425009,0.00466464,0.593377,0.097167,0.00898546,0.0145246,0,WITHIN_BUDGET
target_debris_v0,1,0.005,1.21521,1.02059,0.991076,-2.8916,0.0151671,0.000462521,0.00932928,0.138398,0.0384939,0.000765334,0.0107298,1.14369e-17,WITHIN_BUDGET
target_debris_v0,1,0.01,1.21521,1.02044,0.991076,-2.87785,0.0151671,-0.00035227,0.00932928,0.225878,0.0379017,0.00161622,0.0117235,0,WITHIN_BUDGET
target_debris_v0,1,0.02,1.21521,1.02654,0.991076,-3.45497,0.0151671,-0.00198185,0.00932928,0.414018,0.0578992,0.00472617,0.0156985,0,WITHIN_BUDGET
target_debris_v0,1,0.03,1.21521,1.04102,0.991076,-4.79713,0.0151671,-0.00361143,0.00932928,0.606087,0.0891242,0.0097137,0.0223235,0,WITHIN_BUDGET
target_debris_v0,2,0.005,1.21521,2.04292,1.98215,-2.97456,0.0303341,0.00173983,0.0186586,0.203002,0.0837899,0.00206367,0.0419253,0,OVER_BUDGET
target_debris_v0,2,0.01,1.21521,2.04118,1.98215,-2.8916,0.0303341,0.000925041,0.0186586,0.276795,0.0769878,0.00306133,0.042919,1.14369e-17,OVER_BUDGET
target_debris_v0,2,0.02,1.21521,2.04089,1.98215,-2.87785,0.0303341,-0.000704539,0.0186586,0.451756,0.0758033,0.00646486,0.046894,0,OVER_BUDGET
target_debris_v0,2,0.03,1.21521,2.04486,1.98215,-3.06682,0.0303341,-0.00233412,0.0186586,0.638038,0.0907755,0.011746,0.053519,0,OVER_BUDGET
target_debris_v0,3,0.005,1.21521,3.06561,2.97323,-3.01341,0.0455012,0.00301714,0.0279879,0.274973,0.130197,0.00412969,0.0939178,3.83671e-16,OVER_BUDGET
target_debris_v0,3,0.01,1.21521,3.06333,2.97323,-2.9413,0.0455012,0.00220235,0.0279879,0.33846,0.121693,0.00527415,0.0949115,3.84985e-16,OVER_BUDGET
target_debris_v0,3,0.02,1.21521,3.06091,2.97323,-2.86443,0.0455012,0.000572771,0.0279879,0.499099,0.111944,0.00897125,0.0988865,3.86063e-16,OVER_BUDGET
target_debris_v0,3,0.03,1.21521,3.06133,2.97323,-2.87785,0.0455012,-0.00105681,0.0279879,0.677633,0.113705,0.0145459,0.105512,3.84978e-16,OVER_BUDGET
