t_s,q2_deg,q3_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,base_dev_angle_deg,base_pos_x_m,base_pos_y_m,base_pos_z_m,tip_L_mm,tip_R_mm,eta_L1,eta_L2,eta_L3,eta_R1,eta_R2,eta_R3,W_joint_J,E_damp_J,abs_dP,abs_dL
0.0000,0.00000,0.00000,0.000000,0.000000,0.000000,0.000000,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.000e+00,0.000e+00
0.0200,0.00001,-0.00001,0.000000,0.000002,-0.000000,0.000002,-0.0000000,0.0000000,0.0000000,-0.000003,-0.000003,-1.17013473e-09,-6.27073614e-10,-2.95908363e-10,-1.16051987e-09,-6.23978650e-10,-2.94601716e-10,5.84423928e-11,5.84509036e-17,1.635e-21,1.948e-21
0.0400,0.00007,-0.00005,0.000000,0.000015,-0.000000,0.000015,-0.0000000,0.0000000,0.0000000,-0.000020,-0.000020,-9.28659578e-09,-4.53506957e-09,-1.12183831e-09,-9.21037510e-09,-4.51271378e-09,-1.11689493e-09,9.25800379e-10,1.26306580e-15,5.294e-21,7.828e-21
0.0600,0.00025,-0.00017,0.000000,0.000052,-0.000000,0.000052,-0.0000000,0.0000000,0.0000000,-0.000066,-0.000065,-3.10452489e-08,-1.29872432e-08,-1.30206833e-09,-3.07907760e-08,-1.29233247e-08,-1.29635787e-09,4.64015538e-09,7.22992649e-15,2.975e-20,2.627e-21
0.0800,0.00059,-0.00039,0.000000,0.000123,-0.000000,0.000123,-0.0000001,0.0000000,0.0000000,-0.000169,-0.000168,-7.27920653e-08,-2.45045490e-08,-1.69425361e-09,-7.21962137e-08,-2.43841869e-08,-1.68684383e-09,1.45185606e-08,2.36003160e-14,2.943e-20,1.323e-22
0.1000,0.00115,-0.00077,0.000000,0.000239,-0.000000,0.000239,-0.0000002,0.0000000,0.0000001,-0.000363,-0.000360,-1.40413583e-07,-3.57498523e-08,-2.44100842e-09,-1.39265876e-07,-3.55747292e-08,-2.43035300e-09,3.50905051e-08,5.75649763e-14,1.398e-20,1.865e-20
0.1200,0.00198,-0.00132,0.000000,0.000411,-0.000000,0.000411,-0.0000003,0.0000000,0.0000001,-0.000672,-0.000666,-2.39263405e-07,-4.35102515e-08,-2.54008712e-09,-2.37310643e-07,-4.32978892e-08,-2.52905132e-09,7.20315455e-08,1.21497010e-13,8.555e-20,4.128e-20
0.1400,0.00313,-0.00209,0.000001,0.000650,-0.000000,0.000650,-0.0000005,0.0000000,0.0000002,-0.001120,-0.001110,-3.74121057e-07,-4.66032593e-08,-3.03568765e-09,-3.71072085e-07,-4.63768418e-08,-3.02250820e-09,1.32099135e-07,2.36093793e-13,6.014e-20,7.054e-20
0.1600,0.00466,-0.00310,0.000001,0.000966,-0.000001,0.000966,-0.0000007,0.0000000,0.0000003,-0.001715,-0.001701,-5.49101554e-07,-4.65465090e-08,-3.68082166e-09,-5.44632826e-07,-4.63215285e-08,-3.66486834e-09,2.23071135e-07,4.27931756e-13,9.529e-20,2.028e-20
0.1800,0.00661,-0.00440,0.000002,0.001370,-0.000001,0.001370,-0.0000010,0.0000000,0.0000004,-0.002456,-0.002435,-7.67585528e-07,-4.66431199e-08,-3.74242526e-09,-7.61347320e-07,-4.64186843e-08,-3.72628264e-09,3.53683796e-07,7.26566706e-13,1.423e-19,3.753e-20
0.2000,0.00903,-0.00602,0.000002,0.001872,-0.000001,0.001872,-0.0000014,0.0000000,0.0000006,-0.003343,-0.003315,-1.03215951e-06,-5.00257613e-08,-4.31990919e-09,-1.02378271e-06,-4.97856408e-08,-4.30130648e-09,5.33575012e-07,1.16463800e-12,2.490e-19,1.747e-21
0.2200,0.01197,-0.00798,0.000003,0.002482,-0.000001,0.002482,-0.0000018,0.0000000,0.0000007,-0.004376,-0.004340,-1.34453059e-06,-5.77964115e-08,-4.83213225e-09,-1.33363446e-06,-5.75192711e-08,-4.81141400e-09,7.73227680e-07,1.77659389e-12,2.871e-19,1.102e-19
0.2400,0.01548,-0.01032,0.000004,0.003209,-0.000002,0.003209,-0.0000024,0.0000000,0.0000010,-0.005564,-0.005518,-1.70550628e-06,-6.83986208e-08,-4.88608686e-09,-1.69170622e-06,-6.80711531e-08,-4.86527630e-09,1.08390877e-06,2.59456776e-12,6.844e-19,4.182e-20
0.2600,0.01961,-0.01307,0.000005,0.004065,-0.000002,0.004065,-0.0000030,0.0000000,0.0000012,-0.006919,-0.006862,-2.11500267e-06,-7.85618340e-08,-5.51506159e-09,-2.09791790e-06,-7.81869912e-08,-5.49162503e-09,1.47761606e-06,3.64529190e-12,3.185e-19,1.122e-20
0.2800,0.02439,-0.01626,0.000006,0.005057,-0.000003,0.005057,-0.0000037,0.0000000,0.0000015,-0.008446,-0.008377,-2.57204786e-06,-8.52343586e-08,-5.89239510e-09,-2.55130886e-06,-8.48299489e-08,-5.86748674e-09,1.96702128e-06,4.95057264e-12,1.372e-19,5.595e-19
