t_s,q2_deg,q3_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,base_dev_angle_deg,base_pos_x_m,base_pos_y_m,base_pos_z_m,tip_L_mm,tip_R_mm,eta_L1,eta_L2,eta_R1,eta_R2,W_joint_J,E_damp_J,abs_dP,abs_dL
0.0000,0.00000,0.00000,0.000000,0.000000,0.000000,0.000000,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.000e+00,0.000e+00
0.0200,0.00001,-0.00001,0.000000,0.000002,-0.000000,0.000002,-0.0000000,0.0000000,0.0000000,-0.000002,-0.000002,-1.16811156e-09,-6.25988790e-10,-1.15852110e-09,-6.22901675e-10,5.84478728e-11,4.25801607e-17,5.559e-22,4.461e-22
0.0400,0.00007,-0.00005,0.000000,0.000015,-0.000000,0.000015,-0.0000000,0.0000000,0.0000000,-0.000016,-0.000016,-9.27897589e-09,-4.53168925e-09,-9.20284679e-09,-4.50935785e-09,9.25800169e-10,1.17021738e-15,1.657e-20,6.528e-21
0.0600,0.00025,-0.00017,0.000000,0.000052,-0.000000,0.000052,-0.0000000,0.0000000,0.0000000,-0.000061,-0.000061,-3.10365928e-08,-1.29858539e-08,-3.07822229e-08,-1.29219450e-08,4.64013899e-09,7.13083947e-15,9.953e-21,7.061e-21
0.0800,0.00059,-0.00039,0.000000,0.000123,-0.000000,0.000123,-0.0000001,0.0000000,0.0000000,-0.000164,-0.000162,-7.27810759e-08,-2.45052095e-08,-7.21853543e-08,-2.43848421e-08,1.45185985e-08,2.34778947e-14,6.437e-20,1.641e-20
0.1000,0.00115,-0.00077,0.000000,0.000239,-0.000000,0.000239,-0.0000002,0.0000000,0.0000001,-0.000355,-0.000351,-1.40398019e-07,-3.57509016e-08,-1.39250495e-07,-3.55757704e-08,3.50904858e-08,5.73756545e-14,6.332e-20,1.161e-20
0.1200,0.00198,-0.00132,0.000000,0.000411,-0.000000,0.000411,-0.0000003,0.0000000,0.0000001,-0.000663,-0.000657,-2.39247937e-07,-4.35133314e-08,-2.37295357e-07,-4.33009465e-08,7.20314745e-08,1.21306381e-13,4.595e-20,4.360e-20
0.1400,0.00313,-0.00209,0.000001,0.000650,-0.000000,0.000650,-0.0000005,0.0000000,0.0000002,-0.001110,-0.001100,-3.74103199e-07,-4.66051688e-08,-3.71054434e-07,-4.63787376e-08,1.32099245e-07,2.35865556e-13,2.880e-20,7.888e-21
0.1600,0.00466,-0.00310,0.000001,0.000966,-0.000001,0.000966,-0.0000007,0.0000000,0.0000003,-0.001703,-0.001688,-5.49080564e-07,-4.65455890e-08,-5.44612079e-07,-4.63206155e-08,2.23071058e-07,4.27647153e-13,1.076e-19,1.522e-20
0.1800,0.00661,-0.00440,0.000002,0.001370,-0.000001,0.001370,-0.0000010,0.0000000,0.0000004,-0.002443,-0.002422,-7.67565743e-07,-4.66419919e-08,-7.61327761e-07,-4.64175647e-08,3.53683703e-07,7.26284388e-13,1.271e-19,4.119e-20
