t_s,q2_deg,q3_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,base_dev_angle_deg,base_pos_x_m,base_pos_y_m,base_pos_z_m,tip_L_mm,tip_R_mm,eta_L1,eta_L2,eta_L3,eta_L4,eta_R1,eta_R2,eta_R3,eta_R4,W_joint_J,E_damp_J,abs_dP,abs_dL
0.0000,0.00000,0.00000,0.000000,0.000000,0.000000,0.000000,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.000e+00,0.000e+00
0.0200,0.00001,-0.00001,0.000000,0.000002,-0.000000,0.000002,-0.0000000,0.0000000,0.0000000,-0.000002,-0.000002,-1.17064790e-09,-6.27341248e-10,-2.96012561e-10,-1.05026704e-10,-1.16102747e-09,-6.24244538e-10,-2.94705304e-10,-1.04587385e-10,5.84432540e-11,6.16535826e-17,1.125e-21,4.723e-22
0.0400,0.00007,-0.00005,0.000000,0.000015,-0.000000,0.000015,-0.0000000,0.0000000,0.0000000,-0.000019,-0.000019,-9.28735560e-09,-4.53532764e-09,-1.12173291e-09,-1.57888484e-10,-9.21112675e-09,-4.51297019e-09,-1.11679015e-09,-1.57230446e-10,9.25800530e-10,1.26725413e-15,1.022e-20,9.162e-21
0.0600,0.00025,-0.00017,0.000000,0.000052,-0.000000,0.000052,-0.0000000,0.0000000,0.0000000,-0.000065,-0.000064,-3.10464227e-08,-1.29874223e-08,-1.30207888e-09,-2.47642771e-10,-3.07919372e-08,-1.29235026e-08,-1.29636836e-09,-2.46613556e-10,4.64015863e-09,7.23676558e-15,1.011e-20,9.053e-21
0.0800,0.00059,-0.00039,0.000000,0.000123,-0.000000,0.000123,-0.0000001,0.0000000,0.0000000,-0.000168,-0.000167,-7.27937192e-08,-2.45045809e-08,-1.69433632e-09,-3.55327730e-10,-7.21978500e-08,-2.43842186e-08,-1.68692606e-09,-3.53854384e-10,1.45185618e-08,2.36102821e-14,2.266e-20,2.740e-21
0.1000,0.00115,-0.00077,0.000000,0.000239,-0.000000,0.000239,-0.0000002,0.0000000,0.0000001,-0.000362,-0.000358,-1.40415431e-07,-3.57496002e-08,-2.44091344e-09,-4.10164246e-10,-1.39267705e-07,-3.55744789e-08,-2.43025857e-09,-4.08469976e-10,3.50904975e-08,5.75759662e-14,5.696e-20,5.211e-20
0.1200,0.00198,-0.00132,0.000000,0.000411,-0.000000,0.000411,-0.0000003,0.0000000,0.0000001,-0.000670,-0.000664,-2.39265509e-07,-4.35099096e-08,-2.54010798e-09,-4.83379189e-10,-2.37312726e-07,-4.32975496e-08,-2.52907204e-09,-4.81388040e-10,7.20315533e-08,1.21510176e-13,1.152e-19,1.084e-20
0.1400,0.00313,-0.00209,0.000001,0.000650,-0.000000,0.000650,-0.0000005,0.0000000,0.0000002,-0.001118,-0.001108,-3.74123551e-07,-4.66031004e-08,-3.03573907e-09,-5.90347981e-10,-3.71074553e-07,-4.63766839e-08,-3.02255933e-09,-5.87919278e-10,1.32099143e-07,2.36110430e-13,7.750e-20,5.140e-20
0.1600,0.00466,-0.00310,0.000001,0.000966,-0.000001,0.000966,-0.0000007,0.0000000,0.0000003,-0.001713,-0.001699,-5.49104174e-07,-4.65465257e-08,-3.68075698e-09,-6.51916361e-10,-5.44635419e-07,-4.63215451e-08,-3.66480404e-09,-6.49241429e-10,2.23071118e-07,4.27950091e-13,1.283e-19,3.330e-20
0.1800,0.00661,-0.00440,0.000002,0.001370,-0.000001,0.001370,-0.0000010,0.0000000,0.0000004,-0.002453,-0.002433,-7.67588226e-07,-4.66432959e-08,-3.74245337e-09,-7.11587551e-10,-7.61349990e-07,-4.64188592e-08,-3.72631058e-09,-7.08677799e-10,3.53683804e-07,7.26586539e-13,3.896e-20,1.618e-19
