t_s,q2_deg,q3_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,base_dev_angle_deg,base_pos_x_m,base_pos_y_m,base_pos_z_m,tip_L_mm,tip_R_mm,W_joint_J,E_damp_J,abs_dP,abs_dL
0.0000,0.00000,0.00000,0.000000,0.000000,0.000000,0.000000,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,0.000e+00,0.000e+00
0.0200,0.00001,-0.00001,0.000000,0.000002,-0.000000,0.000002,-0.0000000,0.0000000,0.0000000,0.000000,0.000000,5.83214699e-11,0.00000000e+00,8.073e-22,1.491e-21
0.0400,0.00007,-0.00005,0.000000,0.000015,-0.000000,0.000015,-0.0000000,0.0000000,0.0000000,0.000000,0.000000,9.26484841e-10,0.00000000e+00,9.741e-21,2.912e-22
0.0600,0.00025,-0.00017,0.000000,0.000052,-0.000000,0.000052,-0.0000000,0.0000000,0.0000000,0.000000,0.000000,4.64275566e-09,0.00000000e+00,9.317e-21,3.084e-21
0.0800,0.00059,-0.00039,0.000000,0.000122,-0.000000,0.000122,-0.0000001,0.0000000,0.0000000,0.000000,0.000000,1.45261188e-08,0.00000000e+00,3.875e-20,3.229e-20
0.1000,0.00115,-0.00077,0.000000,0.000238,-0.000000,0.000238,-0.0000002,0.0000000,0.0000001,0.000000,0.000000,3.51075897e-08,0.00000000e+00,8.470e-21,2.560e-20
0.1200,0.00198,-0.00132,0.000000,0.000409,-0.000000,0.000409,-0.0000003,0.0000000,0.0000001,0.000000,0.000000,7.20640140e-08,0.00000000e+00,1.173e-19,3.277e-20
0.1400,0.00313,-0.00209,0.000001,0.000647,-0.000000,0.000647,-0.0000005,0.0000000,0.0000002,0.000000,0.000000,1.32157012e-07,0.00000000e+00,1.283e-19,7.729e-21
0.1600,0.00466,-0.00310,0.000001,0.000962,-0.000001,0.000962,-0.0000007,0.0000000,0.0000003,0.000000,0.000000,2.23166617e-07,0.00000000e+00,2.711e-20,3.632e-20
0.1800,0.00661,-0.00440,0.000001,0.001364,-0.000001,0.001364,-0.0000010,0.0000000,0.0000004,0.000000,0.000000,3.53833546e-07,0.00000000e+00,2.304e-19,2.266e-20
0.2000,0.00903,-0.00602,0.000002,0.001865,-0.000001,0.001865,-0.0000014,0.0000000,0.0000005,0.000000,0.000000,5.33797669e-07,0.00000000e+00,1.271e-19,4.659e-20
0.2200,0.01197,-0.00798,0.000003,0.002472,-0.000001,0.002472,-0.0000018,0.0000000,0.0000007,0.000000,0.000000,7.73539690e-07,0.00000000e+00,6.607e-20,9.063e-20
0.2400,0.01548,-0.01032,0.000003,0.003198,-0.000002,0.003198,-0.0000024,0.0000000,0.0000009,0.000000,0.000000,1.08432600e-06,0.00000000e+00,4.303e-19,1.986e-19
0.2600,0.01961,-0.01307,0.000004,0.004050,-0.000002,0.004050,-0.0000030,0.0000000,0.0000011,0.000000,0.000000,1.47815058e-06,0.00000000e+00,2.846e-19,2.588e-19
0.2800,0.02439,-0.01626,0.000005,0.005040,-0.000003,0.005040,-0.0000037,0.0000000,0.0000014,0.000000,0.000000,1.96768329e-06,0.00000000e+00,5.506e-19,3.581e-19
0.3000,0.02989,-0.01993,0.000007,0.006175,-0.000004,0.006175,-0.0000046,0.0000000,0.0000017,0.000000,0.000000,2.56621541e-06,0.00000000e+00,4.066e-19,5.675e-20
0.3200,0.03613,-0.02409,0.000008,0.007466,-0.000004,0.007466,-0.0000055,0.0000000,0.0000021,0.000000,0.000000,3.28760842e-06,0.00000000e+00,9.859e-19,5.953e-19
0.3400,0.04317,-0.02878,0.000010,0.008922,-0.000005,0.008922,-0.0000066,0.0000000,0.0000025,0.000000,0.000000,4.14624455e-06,0.00000000e+00,8.945e-19,4.320e-20
0.3600,0.05105,-0.03403,0.000011,0.010551,-0.000006,0.010551,-0.0000078,0.0000000,0.0000030,0.000000,0.000000,5.15697629e-06,0.00000000e+00,1.166e-18,4.023e-19
0.3800,0.05981,-0.03987,0.000013,0.012362,-0.000007,0.012362,-0.0000092,0.0000000,0.0000035,0.000000,0.000000,6.33508026e-06,0.00000000e+00,7.623e-19,8.424e-19
0.4000,0.06949,-0.04632,0.000015,0.014364,-0.000008,0.014364,-0.0000106,0.0000000,0.0000040,0.000000,0.000000,7.69620953e-06,0.00000000e+00,2.236e-19,7.179e-19
0.4200,0.08013,-0.05342,0.000018,0.016566,-0.000010,0.016566,-0.0000123,0.0000000,0.0000046,0.000000,0.000000,9.25634881e-06,0.00000000e+00,1.508e-18,2.893e-19
0.4400,0.09177,-0.06118,0.000020,0.018976,-0.000011,0.018976,-0.0000141,0.0000000,0.0000053,0.000000,0.000000,1.10317706e-05,0.00000000e+00,4.134e-19,3.460e-19
0.4600,0.10445,-0.06964,0.000023,0.021602,-0.000012,0.021602,-0.0000160,0.0000000,0.0000061,0.000000,0.000000,1.30389917e-05,0.00000000e+00,6.709e-19,5.548e-20
0.4800,0.11822,-0.07881,0.000026,0.024453,-0.000014,0.024453,-0.0000181,0.0000000,0.0000068,0.000000,0.000000,1.52947323e-05,0.00000000e+00,1.274e-18,4.447e-20
0.5000,0.13309,-0.08873,0.000029,0.027536,-0.000016,0.027536,-0.0000204,0.0000000,0.0000077,0.000000,0.000000,1.78158749e-05,0.00000000e+00,1.897e-19,3.685e-19
0.5200,0.14913,-0.09942,0.000033,0.030859,-0.000018,0.030859,-0.0000228,0.0000000,0.0000086,0.000000,0.000000,2.06194251e-05,0.00000000e+00,1.030e-18,1.204e-18
0.5400,0.16635,-0.11090,0.000037,0.034430,-0.000020,0.034430,-0.0000255,0.0000000,0.0000096,0.000000,0.000000,2.37224738e-05,0.00000000e+00,8.741e-19,1.265e-18
0.5600,0.18480,-0.12320,0.000041,0.038257,-0.000022,0.038257,-0.0000283,0.0000000,0.0000107,0.000000,0.000000,2.71421596e-05,0.00000000e+00,5.557e-19,1.293e-18
0.5800,0.20450,-0.13634,0.000045,0.042347,-0.000024,0.042347,-0.0000313,0.0000000,0.0000118,0.000000,0.000000,3.08956330e-05,0.00000000e+00,1.931e-18,1.992e-18
0.6000,0.22550,-0.15034,0.000050,0.046708,-0.000027,0.046708,-0.0000345,0.0000000,0.0000130,0.000000,0.000000,3.50000218e-05,0.00000000e+00,5.895e-19,1.364e-19
0.6200,0.24783,-0.16522,0.000055,0.051347,-0.000029,0.051347,-0.0000379,0.0000000,0.0000143,0.000000,0.000000,3.94723975e-05,0.00000000e+00,7.589e-19,3.998e-19
0.6400,0.27152,-0.18101,0.000060,0.056272,-0.000032,0.056272,-0.0000415,0.0000000,0.0000157,0.000000,0.000000,4.43297420e-05,0.00000000e+00,2.480e-18,1.563e-18
0.6600,0.29659,-0.19773,0.000066,0.061488,-0.000035,0.061488,-0.0000453,0.0000000,0.0000171,0.000000,0.000000,4.95889166e-05,0.00000000e+00,1.599e-18,2.761e-19
0.6800,0.32309,-0.21539,0.000072,0.067005,-0.000038,0.067005,-0.0000493,0.0000000,0.0000186,0.000000,0.000000,5.52666318e-05,0.00000000e+00,1.748e-18,5.319e-19
0.7000,0.35104,-0.23403,0.000078,0.072827,-0.000042,0.072827,-0.0000536,0.0000000,0.0000202,0.000000,0.000000,6.13794170e-05,0.00000000e+00,3.605e-18,5.599e-19
0.7200,0.38048,-0.25365,0.000085,0.078963,-0.000045,0.078963,-0.0000581,0.0000001,0.0000219,0.000000,0.000000,6.79435928e-05,0.00000000e+00,2.236e-18,5.048e-19
0.7400,0.41142,-0.27428,0.000092,0.085418,-0.000049,0.085418,-0.0000628,0.0000001,0.0000236,0.000000,0.000000,7.49752439e-05,0.00000000e+00,2.250e-18,2.711e-19
0.7600,0.44391,-0.29594,0.000099,0.092200,-0.000053,0.092200,-0.0000677,0.0000001,0.0000255,0.000000,0.000000,8.24901917e-05,0.00000000e+00,1.355e-18,1.779e-19
0.7800,0.47796,-0.31864,0.000107,0.099315,-0.000057,0.099315,-0.0000729,0.0000001,0.0000274,0.000000,0.000000,9.05039702e-05,0.00000000e+00,2.141e-18,7.996e-19
0.8000,0.51360,-0.34240,0.000115,0.106770,-0.000061,0.106770,-0.0000783,0.0000001,0.0000294,0.000000,0.000000,9.90318015e-05,0.00000000e+00,3.185e-18,5.353e-19
0.8200,0.55086,-0.36724,0.000123,0.114570,-0.000065,0.114570,-0.0000839,0.0000001,0.0000315,0.000000,0.000000,1.08088572e-04,0.00000000e+00,2.114e-18,1.084e-19
0.8400,0.58977,-0.39318,0.000132,0.122723,-0.000070,0.122723,-0.0000898,0.0000001,0.0000337,0.000000,0.000000,1.17688809e-04,0.00000000e+00,2.114e-18,8.250e-19
0.8600,0.63035,-0.42024,0.000141,0.131234,-0.000075,0.131234,-0.0000959,0.0000001,0.0000360,0.000000,0.000000,1.27846665e-04,0.00000000e+00,1.016e-18,9.080e-19
0.8800,0.67263,-0.44842,0.000151,0.140110,-0.000080,0.140110,-0.0001023,0.0000001,0.0000384,0.000000,0.000000,1.38575888e-04,0.00000000e+00,5.692e-19,1.059e-18
0.9000,0.71662,-0.47775,0.000161,0.149356,-0.000085,0.149356,-0.0001089,0.0000001,0.0000408,0.000000,0.000000,1.49889811e-04,0.00000000e+00,2.060e-18,7.589e-19
0.9200,0.76236,-0.50824,0.000171,0.158979,-0.000090,0.158979,-0.0001158,0.0000001,0.0000434,0.000000,0.000000,1.61801329e-04,0.00000000e+00,3.862e-18,4.235e-19
0.9400,0.80985,-0.53990,0.000182,0.168985,-0.000096,0.168985,-0.0001230,0.0000001,0.0000460,0.000000,0.000000,1.74322881e-04,0.00000000e+00,2.006e-18,1.110e-18
0.9600,0.85913,-0.57276,0.000193,0.179379,-0.000101,0.179379,-0.0001304,0.0000001,0.0000488,0.000000,0.000000,1.87466437e-04,0.00000000e+00,4.337e-19,3.502e-18
0.9800,0.91022,-0.60681,0.000205,0.190167,-0.000107,0.190167,-0.0001380,0.0000001,0.0000516,0.000000,0.000000,2.01243479e-04,0.00000000e+00,1.924e-18,1.916e-18
1.0000,0.96313,-0.64209,0.000217,0.201355,-0.000114,0.201355,-0.0001459,0.0000001,0.0000545,0.000000,0.000000,2.15664988e-04,0.00000000e+00,3.957e-18,5.235e-19
1.0200,1.01789,-0.67860,0.000230,0.212949,-0.000120,0.212949,-0.0001541,0.0000001,0.0000575,0.000000,0.000000,2.30741430e-04,0.00000000e+00,7.535e-18,2.185e-18
1.0400,1.07452,-0.71635,0.000243,0.224954,-0.000127,0.224954,-0.0001626,0.0000001,0.0000606,0.000000,0.000000,2.46482743e-04,0.00000000e+00,2.385e-18,5.675e-19
1.0600,1.13302,-0.75535,0.000256,0.237375,-0.000133,0.237376,-0.0001713,0.0000002,0.0000638,0.000000,0.000000,2.62898325e-04,0.00000000e+00,2.927e-18,1.487e-18
1.0800,1.19343,-0.79562,0.000270,0.250220,-0.000140,0.250220,-0.0001803,0.0000002,0.0000671,0.000000,0.000000,2.79997020e-04,0.00000000e+00,2.114e-18,9.453e-19
1.1000,1.25576,-0.83717,0.000285,0.263491,-0.000148,0.263491,-0.0001896,0.0000002,0.0000705,0.000000,0.000000,2.97787114e-04,0.00000000e+00,8.267e-18,1.860e-18
1.1200,1.32002,-0.88001,0.000300,0.277196,-0.000155,0.277196,-0.0001991,0.0000002,0.0000740,0.000000,0.000000,3.16276321e-04,0.00000000e+00,1.182e-17,1.050e-19
1.1400,1.38623,-0.92415,0.000315,0.291339,-0.000163,0.291340,-0.0002089,0.0000002,0.0000776,0.000000,0.000000,3.35471774e-04,0.00000000e+00,6.288e-18,8.707e-19
1.1600,1.45440,-0.96960,0.000331,0.305926,-0.000171,0.305927,-0.0002190,0.0000002,0.0000812,0.000000,0.000000,3.55380020e-04,0.00000000e+00,1.515e-17,1.555e-18
1.1800,1.52456,-1.01637,0.000348,0.320962,-0.000179,0.320962,-0.0002293,0.0000002,0.0000850,0.000000,0.000000,3.76007011e-04,0.00000000e+00,5.773e-18,6.742e-19
1.2000,1.59671,-1.06447,0.000365,0.336452,-0.000187,0.336452,-0.0002400,0.0000002,0.0000888,0.000000,0.000000,3.97358098e-04,0.00000000e+00,3.551e-18,6.133e-19
