t_s,base_dev_angle_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,wb_x_dps,wb_y_dps,wb_z_dps,tip_L_mm,tip_R_mm,eta_L1,eta_L2,eta_L3,eta_R1,eta_R2,eta_R3,L_base_Nms,L_arm_Nms,L_panels_Nms,L_target_Nms,E_damp_J,abs_dP,abs_dL
0.0000,19.204398,0.050197,19.204331,0.020507,1.593797,0.451009,1.834486,-0.100464,0.080586,-3.75002789e-05,-1.30925059e-05,-5.24157136e-06,2.87723331e-05,8.01294260e-06,3.02349009e-06,6.32081129e-01,9.33597733e-02,1.93275719e-02,3.00007049e+00,0.00000000e+00,0.000e+00,0.000e+00
0.0200,19.213572,0.094861,19.213298,0.059373,1.593872,0.450325,1.834561,-0.273641,0.219598,-1.13116991e-04,-3.13757587e-05,9.83017833e-07,8.47361072e-05,1.94202350e-05,-5.07221140e-07,6.32070550e-01,9.33525432e-02,1.94183414e-02,3.00000040e+00,4.29025322e-08,1.549e-15,1.332e-15
0.0400,19.222854,0.139536,19.222223,0.098249,1.593973,0.449658,1.834621,-0.513826,0.398961,-1.86661184e-04,-3.10020640e-05,4.01672809e-06,1.39518929e-04,1.94591173e-05,-2.31662926e-06,6.32067671e-01,9.33470630e-02,1.94713202e-02,2.99995732e+00,7.45010614e-08,1.665e-16,6.661e-16
0.0600,19.232243,0.184222,19.231106,0.137137,1.594045,0.448979,1.834698,-0.848016,0.634719,-2.56977579e-04,-1.23378853e-05,-5.63052361e-06,1.92257080e-04,8.19520035e-06,3.25900956e-06,6.32056967e-01,9.33397435e-02,1.95642983e-02,2.99988535e+00,1.16157474e-07,1.998e-15,2.220e-15
0.0800,19.241741,0.228919,19.239946,0.176035,1.594137,0.448309,1.834763,-1.130930,0.841295,-3.22957892e-04,1.35246060e-05,2.71747934e-06,2.42123648e-04,-7.67303904e-06,-1.51023544e-06,6.32051721e-01,9.33337030e-02,1.96296229e-02,2.99983334e+00,1.62260659e-07,3.886e-16,1.776e-15
0.1000,19.251347,0.273627,19.248745,0.214944,1.594294,0.447671,1.834789,-1.397946,1.036040,-3.83579101e-04,3.13496235e-05,2.36104629e-06,2.88328993e-04,-1.88036487e-05,-1.37207173e-06,6.32064919e-01,9.33319838e-02,1.96012286e-02,2.99984888e+00,1.93287356e-07,1.331e-15,6.661e-16
0.1200,19.261060,0.318347,19.257502,0.253862,1.594415,0.447016,1.834836,-1.606182,1.192659,-4.37895114e-04,3.07407715e-05,-5.38736305e-06,3.30147470e-04,-1.87044527e-05,3.13066475e-06,6.32068106e-01,9.33279253e-02,1.96237324e-02,2.99982774e+00,2.14985149e-07,7.355e-16,3.997e-15
0.1400,19.270882,0.363079,19.266217,0.292791,1.594525,0.446358,1.834889,-1.671172,1.261040,-4.85050698e-04,1.22030796e-05,4.05033409e-06,3.66928934e-04,-7.51953091e-06,-2.28484207e-06,6.32068594e-01,9.33232006e-02,1.96607982e-02,2.99979588e+00,2.42958955e-07,9.003e-16,1.776e-15
0.1600,19.280811,0.407822,19.274891,0.331730,1.594626,0.445702,1.834948,-1.729799,1.320322,-5.24313745e-04,-1.32477951e-05,5.60167815e-07,3.98097731e-04,8.10081129e-06,-3.37933568e-07,6.32067379e-01,9.33180296e-02,1.97076767e-02,2.99975666e+00,2.72262429e-07,5.794e-16,1.332e-15
0.1800,19.290846,0.452575,19.283522,0.370680,1.594647,0.445011,1.835056,-1.792538,1.378711,-5.55065991e-04,-3.06211460e-05,-4.57650407e-06,4.23174207e-04,1.89601673e-05,2.67709641e-06,6.32044088e-01,9.33076507e-02,1.98678086e-02,2.99963572e+00,2.90361856e-07,6.106e-16,8.882e-16
