case,alpha,mode,cell_id,binding_gate_v2,M_phys_restricted,legacy_binding_gate,legacy_feasibility,classification_v2,binding_gate_changed
A_low,0,WHEEL_DIRECT,A_low|a0|WHEEL_DIRECT,m_omega,0.884398955101,NONE,FEASIBLE,UNKNOWN,True
A_low,0,WHEEL_BIAS,A_low|a0|WHEEL_BIAS,m_Hw,0.008320820854,NONE,FEASIBLE,UNKNOWN,True
A_low,0,THRUSTER,A_low|a0|THRUSTER,m_omega,0.884398955101,NONE_THRUSTER_PATH,FEASIBLE,UNKNOWN,True
A_low,1,WHEEL_DIRECT,A_low|a1|WHEEL_DIRECT,m_omega,0.881335384095,NONE,FEASIBLE,UNKNOWN,True
A_low,1,WHEEL_BIAS,A_low|a1|WHEEL_BIAS,m_Hw,0.03926530067,N/A,NOT_IN_SIM12_PHASE1,UNKNOWN,False
A_low,1,THRUSTER,A_low|a1|THRUSTER,m_omega,0.881335384095,N/A,NOT_IN_SIM12_PHASE1,UNKNOWN,False
B_anchor,0,WHEEL_DIRECT,B_anchor|a0|WHEEL_DIRECT,m_Hw,-11.169975451847,POST_CAPTURE_RATE,INFEASIBLE,UNSAFE,True
B_anchor,0,WHEEL_BIAS,B_anchor|a0|WHEEL_BIAS,m_Hw,-10.169975451847,POST_CAPTURE_RATE,INFEASIBLE,UNSAFE,True
B_anchor,0,THRUSTER,B_anchor|a0|THRUSTER,m_omega,-0.53166524729,POST_CAPTURE_RATE,INFEASIBLE,UNSAFE,True
B_anchor,1,WHEEL_DIRECT,B_anchor|a1|WHEEL_DIRECT,m_Hw,-14.081205335223,POST_CAPTURE_RATE,INFEASIBLE,UNSAFE,True
B_anchor,1,WHEEL_BIAS,B_anchor|a1|WHEEL_BIAS,m_Hw,-13.081205335223,N/A,NOT_IN_SIM12_PHASE1,UNSAFE,False
B_anchor,1,THRUSTER,B_anchor|a1|THRUSTER,m_omega,-0.47350060317,N/A,NOT_IN_SIM12_PHASE1,UNSAFE,False
C_transition,0,WHEEL_DIRECT,C_transition|a0|WHEEL_DIRECT,m_Hw,-0.229621569803,WHEEL_MOMENTUM,INFEASIBLE,UNSAFE,True
C_transition,0,WHEEL_BIAS,C_transition|a0|WHEEL_BIAS,m_omega,0.013381287449,NONE,FEASIBLE,UNKNOWN,True
C_transition,0,THRUSTER,C_transition|a0|THRUSTER,m_omega,0.013381287449,NONE_THRUSTER_PATH,FEASIBLE,UNKNOWN,True
C_transition,1,WHEEL_DIRECT,C_transition|a1|WHEEL_DIRECT,m_Hw,-1.076717763971,WHEEL_MOMENTUM,INFEASIBLE,UNSAFE,True
C_transition,1,WHEEL_BIAS,C_transition|a1|WHEEL_BIAS,m_Hw,-0.076717763971,N/A,NOT_IN_SIM12_PHASE1,UNSAFE,False
C_transition,1,THRUSTER,C_transition|a1|THRUSTER,m_omega,0.048817015595,N/A,NOT_IN_SIM12_PHASE1,UNKNOWN,False
D_extreme,0,WHEEL_DIRECT,D_extreme|a0|WHEEL_DIRECT,m_Hw,-19.333116085609,POST_CAPTURE_RATE,INFEASIBLE,UNSAFE,True
D_extreme,0,WHEEL_BIAS,D_extreme|a0|WHEEL_BIAS,m_Hw,-18.333116085609,POST_CAPTURE_RATE,INFEASIBLE,UNSAFE,True
D_extreme,0,THRUSTER,D_extreme|a0|THRUSTER,m_omega,-1.554246720844,POST_CAPTURE_RATE,INFEASIBLE,UNSAFE,True
D_extreme,1,WHEEL_DIRECT,D_extreme|a1|WHEEL_DIRECT,m_Hw,-24.211169905819,POST_CAPTURE_RATE,INFEASIBLE,UNSAFE,True
D_extreme,1,WHEEL_BIAS,D_extreme|a1|WHEEL_BIAS,m_Hw,-23.211169905819,N/A,NOT_IN_SIM12_PHASE1,UNSAFE,False
D_extreme,1,THRUSTER,D_extreme|a1|THRUSTER,m_omega,-1.458718685437,N/A,NOT_IN_SIM12_PHASE1,UNSAFE,False
