scenario_id,method,trajectory,task_mode,role
C0_T1,C0,T1,pose_6d,MAIN
C0_T2,C0,T2,pose_6d,MAIN
C0_T3,C0,T3,pose_6d,MAIN
C1_T1,C1,T1,pose_6d,MAIN
C1_T2,C1,T2,pose_6d,MAIN
C1_T3,C1,T3,pose_6d,MAIN
C2_T1,C2,T1,pose_6d,MAIN
C2_T2,C2,T2,pose_6d,MAIN
C2_T3,C2,T3,pose_6d,MAIN
C3_T1,C3,T1,approach_5d,MAIN
C3_T2,C3,T2,approach_5d,MAIN
C3_T3,C3,T3,approach_5d,MAIN
C1_MATCH5_T1,C1,T1,approach_5d,MATCHED_5D_CONTROL
C1_MATCH5_T2,C1,T2,approach_5d,MATCHED_5D_CONTROL
C1_MATCH5_T3,C1,T3,approach_5d,MATCHED_5D_CONTROL
C2_MATCH5_T1,C2,T1,approach_5d,MATCHED_5D_FEEDFORWARD_CONTROL
C2_MATCH5_T2,C2,T2,approach_5d,MATCHED_5D_FEEDFORWARD_CONTROL
C2_MATCH5_T3,C2,T3,approach_5d,MATCHED_5D_FEEDFORWARD_CONTROL
