phase,scenario,controller,evaluation_status,analysis_scope,stability_status,method_result,domain_status,attribution,peak_base_dev_angle_deg,body_rate_initial_dps,body_rate_final_dps,wheel_box_utilization_max,external_angular_impulse_Nms,propellant_g,stage_a_generalized_momentum_residual,capture_eps_H_dimensionless,capture_eps_P_dimensionless,external_angular_ledger_closure_Nms,flex_status
A,M1_headline,A0_no_compensation,EVALUATED,,,TASK_COMPLETED,,INTERNAL_REDISTRIBUTION,19.199851620693828,,,0.0,0.0,,2.7755575615628914e-17,,,,UNKNOWN_NOT_IN_CRITERIA
A,M1_headline,A1_reaction_trajectory,EVALUATED,,,TASK_COMPLETED,,INTERNAL_REDISTRIBUTION,18.84074743413774,,,0.0,0.0,,5.551115123125783e-17,,,,UNKNOWN_NOT_IN_CRITERIA
A,M1_headline,A2_arm_wheel_coordination,EVALUATED,,,TASK_COMPLETED,,MOMENTUM_STORAGE,0.0,,,0.8020183292488509,0.0,,1.3877787807814457e-17,,,,UNKNOWN_NOT_IN_CRITERIA
A,M1_headline,A3_arm_wheel_thruster,NOT_APPLICABLE_WITH_MISSING_FROZEN_ACTUATOR_DYNAMICS,,,,,,,,,,,,,,,,UNKNOWN_NOT_IN_CRITERIA
A,M2_limit_compliant,A0_no_compensation,EVALUATED,,,TASK_COMPLETED,,INTERNAL_REDISTRIBUTION,8.728056572440526,,,0.0,0.0,,2.7755575615628914e-17,,,,UNKNOWN_NOT_IN_CRITERIA
A,M2_limit_compliant,A1_reaction_trajectory,EVALUATED,,,TASK_COMPLETED,,INTERNAL_REDISTRIBUTION,9.237348801700483,,,0.0,0.0,,2.7755575615628914e-17,,,,UNKNOWN_NOT_IN_CRITERIA
A,M2_limit_compliant,A2_arm_wheel_coordination,EVALUATED,,,TASK_COMPLETED,,MOMENTUM_STORAGE,0.0,,,0.4556376783273781,0.0,,1.3877787807814457e-17,,,,UNKNOWN_NOT_IN_CRITERIA
A,M2_limit_compliant,A3_arm_wheel_thruster,NOT_APPLICABLE_WITH_MISSING_FROZEN_ACTUATOR_DYNAMICS,,,,,,,,,,,,,,,,UNKNOWN_NOT_IN_CRITERIA
B,A_low,B0_no_control,EVALUATED,MOMENTUM_LEVEL_TERMINAL_FEASIBILITY,NOT_EVALUATED_NO_ACTUATOR_DYNAMICS,NO_CONTROL,IN_FEASIBLE_REGION,INTERNAL_REDISTRIBUTION,,0.23120208979778084,0.23120208979778084,0.0,0.0,0.0,,0.0,0.0,0.0,UNKNOWN_NOT_IN_CRITERIA
B,A_low,B1_wheel_storage,EVALUATED,MOMENTUM_LEVEL_TERMINAL_FEASIBILITY,NOT_EVALUATED_NO_ACTUATOR_DYNAMICS,BODY_RATE_ZERO_WITH_MOMENTUM_STORED,IN_FEASIBLE_REGION,MOMENTUM_STORAGE,,0.23120208979778084,0.0,0.0186091353991123,0.0,0.0,,0.0,0.0,0.0,UNKNOWN_NOT_IN_CRITERIA
B,A_low,B2_thruster_removal,EVALUATED,MOMENTUM_LEVEL_TERMINAL_FEASIBILITY,NOT_EVALUATED_NO_ACTUATOR_DYNAMICS,ANGULAR_MOMENTUM_TARGET_REACHED,IN_FEASIBLE_REGION,EXTERNAL_MOMENTUM_REMOVAL,,0.23120208979778084,0.0,0.0,0.0024962462560704844,0.024955517440201233,,0.0,0.0,0.0,UNKNOWN_NOT_IN_CRITERIA
B,A_low,B3_wheel_thruster,EVALUATED,MOMENTUM_LEVEL_TERMINAL_FEASIBILITY,NOT_EVALUATED_NO_ACTUATOR_DYNAMICS,BODY_RATE_ZERO_WITH_MOMENTUM_STORED,IN_FEASIBLE_REGION,MOMENTUM_STORAGE,,0.23120208979778084,0.0,0.0186091353991123,0.0,0.0,,0.0,0.0,0.0,UNKNOWN_NOT_IN_CRITERIA
B,B_anchor,B0_no_control,EVALUATED,MOMENTUM_LEVEL_TERMINAL_FEASIBILITY,NOT_EVALUATED_NO_ACTUATOR_DYNAMICS,NO_CONTROL,OUT_OF_FEASIBLE_REGION,INTERNAL_REDISTRIBUTION,,3.0633304945807067,3.0633304945807067,0.0,0.0,0.0,,3.849848861643484e-16,0.0,0.0,UNKNOWN_NOT_IN_CRITERIA
B,B_anchor,B1_wheel_storage,EVALUATED,MOMENTUM_LEVEL_TERMINAL_FEASIBILITY,NOT_EVALUATED_NO_ACTUATOR_DYNAMICS,WHEEL_BOX_SATURATED,OUT_OF_FEASIBLE_REGION,MOMENTUM_STORAGE,,3.0633304945807067,2.911641805241927,1.0,0.0,0.0,,3.849848861643484e-16,0.0,0.0,UNKNOWN_NOT_IN_CRITERIA
B,B_anchor,B2_thruster_removal,EVALUATED,MOMENTUM_LEVEL_TERMINAL_FEASIBILITY,NOT_EVALUATED_NO_ACTUATOR_DYNAMICS,ANGULAR_MOMENTUM_TARGET_REACHED,OUT_OF_FEASIBLE_REGION,EXTERNAL_MOMENTUM_REMOVAL,,3.0633304945807067,0.0,0.0,3.650992635553959,36.49976846997439,,3.849848861643484e-16,0.0,0.0,UNKNOWN_NOT_IN_CRITERIA
B,B_anchor,B3_wheel_thruster,EVALUATED,MOMENTUM_LEVEL_TERMINAL_FEASIBILITY,NOT_EVALUATED_NO_ACTUATOR_DYNAMICS,BODY_RATE_ZERO_WITH_MIXED_LEDGER,OUT_OF_FEASIBLE_REGION,MIXED,,3.0633304945807067,4.808955792323765e-17,1.0,3.531997419143462,35.31014737741948,,3.849848861643484e-16,0.0,0.0,UNKNOWN_NOT_IN_CRITERIA
B,C_transition,B0_no_control,EVALUATED,MOMENTUM_LEVEL_TERMINAL_FEASIBILITY,NOT_EVALUATED_NO_ACTUATOR_DYNAMICS,NO_CONTROL,IN_FEASIBLE_REGION,INTERNAL_REDISTRIBUTION,,1.9732374251028981,1.9732374251028981,0.0,0.0,0.0,,1.2963142172652678e-16,0.0,0.0,UNKNOWN_NOT_IN_CRITERIA
B,C_transition,B1_wheel_storage,EVALUATED,MOMENTUM_LEVEL_TERMINAL_FEASIBILITY,NOT_EVALUATED_NO_ACTUATOR_DYNAMICS,WHEEL_BOX_SATURATED,IN_FEASIBLE_REGION,MOMENTUM_STORAGE,,1.9732374251028981,1.295015466763082,1.0,0.0,0.0,,1.2963142172652678e-16,0.0,0.0,UNKNOWN_NOT_IN_CRITERIA
B,C_transition,B2_thruster_removal,EVALUATED,MOMENTUM_LEVEL_TERMINAL_FEASIBILITY,NOT_EVALUATED_NO_ACTUATOR_DYNAMICS,ANGULAR_MOMENTUM_TARGET_REACHED,IN_FEASIBLE_REGION,EXTERNAL_MOMENTUM_REMOVAL,,1.9732374251028981,0.0,0.0,0.36888647094081484,3.687838383985885,,1.2963142172652678e-16,0.0,0.0,UNKNOWN_NOT_IN_CRITERIA
B,C_transition,B3_wheel_thruster,EVALUATED,MOMENTUM_LEVEL_TERMINAL_FEASIBILITY,NOT_EVALUATED_NO_ACTUATOR_DYNAMICS,BODY_RATE_ZERO_WITH_MIXED_LEDGER,IN_FEASIBLE_REGION,MIXED,,1.9732374251028981,1.3853084505595854e-16,1.0,0.2594649566790155,2.5939276767177244,,1.2963142172652678e-16,0.0,0.0,UNKNOWN_NOT_IN_CRITERIA
B,D_extreme,B0_no_control,EVALUATED,MOMENTUM_LEVEL_TERMINAL_FEASIBILITY,NOT_EVALUATED_NO_ACTUATOR_DYNAMICS,NO_CONTROL,OUT_OF_FEASIBLE_REGION,INTERNAL_REDISTRIBUTION,,5.108493441687948,5.108493441687948,0.0,0.0,0.0,,1.556162816624735e-16,0.0,0.0,UNKNOWN_NOT_IN_CRITERIA
B,D_extreme,B1_wheel_storage,EVALUATED,MOMENTUM_LEVEL_TERMINAL_FEASIBILITY,NOT_EVALUATED_NO_ACTUATOR_DYNAMICS,WHEEL_BOX_SATURATED,OUT_OF_FEASIBLE_REGION,MOMENTUM_STORAGE,,5.108493441687948,4.9560735189216105,1.0,0.0,0.0,,1.556162816624735e-16,0.0,0.0,UNKNOWN_NOT_IN_CRITERIA
B,D_extreme,B2_thruster_removal,EVALUATED,MOMENTUM_LEVEL_TERMINAL_FEASIBILITY,NOT_EVALUATED_NO_ACTUATOR_DYNAMICS,EXTERNAL_BUDGET_EXHAUSTED,OUT_OF_FEASIBLE_REGION,EXTERNAL_MOMENTUM_REMOVAL,,5.108493441687948,0.5233622243046115,0.0,5.474999999999999,54.73476731425643,,1.556162816624735e-16,0.0,0.0,UNKNOWN_NOT_IN_CRITERIA
B,D_extreme,B3_wheel_thruster,EVALUATED,MOMENTUM_LEVEL_TERMINAL_FEASIBILITY,NOT_EVALUATED_NO_ACTUATOR_DYNAMICS,EXTERNAL_BUDGET_EXHAUSTED,OUT_OF_FEASIBLE_REGION,MIXED,,5.108493441687948,0.41685485889485424,1.0,5.475,54.73476731425644,,1.556162816624735e-16,0.0,0.0,UNKNOWN_NOT_IN_CRITERIA
