t_s,q2_deg,q3_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,base_dev_angle_deg,base_pos_x_m,base_pos_y_m,base_pos_z_m,tip_L_mm,tip_R_mm,eta_L1,eta_L2,eta_L3,eta_R1,eta_R2,eta_R3,W_joint_J,E_damp_J,abs_dP,abs_dL
0.0000,0.00000,0.00000,0.000000,0.000000,0.000000,0.000000,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.000e+00,0.000e+00
0.0200,0.00001,-0.00001,0.000000,0.000002,-0.000000,0.000002,-0.0000000,0.0000000,0.0000000,-0.000003,-0.000003,-1.17053512e-09,-6.28314832e-10,-2.97409741e-10,-1.16091657e-09,-6.25213612e-10,-2.96096405e-10,5.84422765e-11,0.00000000e+00,2.528e-21,6.711e-22
0.0400,0.00007,-0.00005,0.000000,0.000015,-0.000000,0.000015,-0.0000000,0.0000000,0.0000000,-0.000020,-0.000020,-9.29281167e-09,-4.55239817e-09,-1.12900721e-09,-9.21653432e-09,-4.52995521e-09,-1.12403172e-09,9.25800007e-10,0.00000000e+00,1.361e-20,6.814e-21
0.0600,0.00025,-0.00017,0.000000,0.000052,-0.000000,0.000052,-0.0000000,0.0000000,0.0000000,-0.000065,-0.000065,-3.10759504e-08,-1.30571126e-08,-1.29985018e-09,-3.08211999e-08,-1.29928429e-08,-1.29414867e-09,4.64014921e-09,0.00000000e+00,5.294e-21,2.273e-20
0.0800,0.00059,-0.00039,0.000000,0.000123,-0.000000,0.000123,-0.0000001,0.0000000,0.0000000,-0.000169,-0.000168,-7.28872888e-08,-2.46627823e-08,-1.69293428e-09,-7.22905817e-08,-2.45416245e-08,-1.68552881e-09,1.45185388e-08,0.00000000e+00,4.860e-20,1.919e-21
0.1000,0.00115,-0.00077,0.000000,0.000239,-0.000000,0.000239,-0.0000002,0.0000000,0.0000001,-0.000363,-0.000360,-1.40641322e-07,-3.59913300e-08,-2.45435807e-09,-1.39491582e-07,-3.58149905e-08,-2.44364173e-09,3.50904647e-08,0.00000000e+00,1.461e-20,7.719e-20
0.1200,0.00198,-0.00132,0.000000,0.000411,-0.000000,0.000411,-0.0000003,0.0000000,0.0000001,-0.000673,-0.000667,-2.39725093e-07,-4.37658512e-08,-2.53185176e-09,-2.37768234e-07,-4.35521947e-08,-2.52084985e-09,7.20314750e-08,0.00000000e+00,1.271e-20,5.016e-21
0.1400,0.00313,-0.00209,0.000001,0.000650,-0.000000,0.000650,-0.0000005,0.0000000,0.0000002,-0.001122,-0.001113,-3.74957502e-07,-4.67638660e-08,-3.03584687e-09,-3.71901142e-07,-4.65366154e-08,-3.02266240e-09,1.32098980e-07,0.00000000e+00,3.515e-20,9.611e-20
0.1600,0.00466,-0.00310,0.000001,0.000966,-0.000001,0.000966,-0.0000007,0.0000000,0.0000003,-0.001720,-0.001706,-5.50496551e-07,-4.65287704e-08,-3.69890376e-09,-5.46015545e-07,-4.63038255e-08,-3.68286572e-09,2.23070828e-07,0.00000000e+00,1.889e-19,1.051e-19
0.1800,0.00661,-0.00440,0.000002,0.001370,-0.000001,0.001370,-0.0000010,0.0000000,0.0000004,-0.002463,-0.002443,-7.69768229e-07,-4.64578209e-08,-3.72644659e-09,-7.63510860e-07,-4.62342274e-08,-3.71036851e-09,3.53683141e-07,0.00000000e+00,5.760e-20,9.376e-20
0.2000,0.00903,-0.00602,0.000002,0.001872,-0.000001,0.001872,-0.0000014,0.0000000,0.0000006,-0.003354,-0.003327,-1.03540593e-06,-4.97975469e-08,-4.32636413e-09,-1.02700070e-06,-4.95584494e-08,-4.30772430e-09,5.33573749e-07,0.00000000e+00,2.372e-19,7.803e-20
0.2200,0.01197,-0.00798,0.000003,0.002482,-0.000001,0.002482,-0.0000018,0.0000000,0.0000007,-0.004392,-0.004356,-1.34916011e-06,-5.77060657e-08,-4.85130556e-09,-1.33822347e-06,-5.74292368e-08,-4.83049543e-09,7.73225693e-07,0.00000000e+00,3.286e-19,2.766e-19
0.2400,0.01548,-0.01032,0.000004,0.003209,-0.000002,0.003209,-0.0000024,0.0000000,0.0000010,-0.005585,-0.005539,-1.71187691e-06,-6.85741368e-08,-4.86201063e-09,-1.69802122e-06,-6.82456536e-08,-4.84129846e-09,1.08390589e-06,0.00000000e+00,4.743e-19,3.062e-19
0.2600,0.01961,-0.01307,0.000005,0.004065,-0.000002,0.004065,-0.0000030,0.0000000,0.0000012,-0.006946,-0.006889,-2.12350596e-06,-7.89840239e-08,-5.53091087e-09,-2.10634713e-06,-7.86069599e-08,-5.50739450e-09,1.47761226e-06,0.00000000e+00,1.508e-19,1.191e-19
0.2800,0.02439,-0.01626,0.000006,0.005057,-0.000003,0.005057,-0.0000037,0.0000000,0.0000015,-0.008482,-0.008413,-2.58309996e-06,-8.57221563e-08,-5.90730828e-09,-2.56226496e-06,-8.53152392e-08,-5.88232775e-09,1.96701675e-06,0.00000000e+00,8.809e-20,1.298e-19
0.3000,0.02989,-0.01993,0.000007,0.006196,-0.000004,0.006196,-0.0000046,0.0000000,0.0000019,-0.010189,-0.010106,-3.08887348e-06,-8.76948646e-08,-5.95483557e-09,-3.06400715e-06,-8.72817191e-08,-5.92980478e-09,2.56540684e-06,0.00000000e+00,2.677e-19,1.928e-19
0.3200,0.03613,-0.02409,0.000009,0.007491,-0.000004,0.007491,-0.0000055,0.0000000,0.0000022,-0.012057,-0.011959,-3.63824095e-06,-8.65776628e-08,-6.66931853e-09,-3.60901228e-06,-8.61731204e-08,-6.64130416e-09,3.28664421e-06,0.00000000e+00,3.998e-19,6.579e-19
0.3400,0.04317,-0.02878,0.000010,0.008950,-0.000005,0.008950,-0.0000066,0.0000000,0.0000027,-0.014058,-0.013945,-4.22782581e-06,-8.58119456e-08,-6.90017324e-09,-4.19393424e-06,-8.54136536e-08,-6.87136268e-09,4.14511343e-06,0.00000000e+00,2.507e-19,2.185e-19
0.3600,0.05105,-0.03403,0.000012,0.010583,-0.000006,0.010583,-0.0000078,0.0000000,0.0000031,-0.016169,-0.016039,-4.85351716e-06,-8.85795067e-08,-7.01608312e-09,-4.81469845e-06,-8.81696555e-08,-6.98694099e-09,5.15567146e-06,0.00000000e+00,3.117e-19,8.053e-19
0.3800,0.05981,-0.03987,0.000014,0.012399,-0.000007,0.012399,-0.0000092,0.0000000,0.0000037,-0.018373,-0.018225,-5.51050687e-06,-9.59139227e-08,-7.72483058e-09,-5.46653866e-06,-9.54701861e-08,-7.69278108e-09,6.33361196e-06,0.00000000e+00,2.778e-19,2.268e-19
0.4000,0.06949,-0.04632,0.000016,0.014406,-0.000008,0.014406,-0.0000106,0.0000000,0.0000043,-0.020653,-0.020487,-6.19334541e-06,-1.06081331e-07,-7.81460650e-09,-6.14405233e-06,-1.05590525e-07,-7.78242019e-09,7.69460476e-06,0.00000000e+00,2.846e-19,6.924e-20
0.4200,0.08013,-0.05342,0.000019,0.016612,-0.000009,0.016612,-0.0000123,0.0000000,0.0000049,-0.023002,-0.022818,-6.89606877e-06,-1.15623027e-07,-8.02257603e-09,-6.84132625e-06,-1.15089190e-07,-7.98965968e-09,9.25464390e-06,0.00000000e+00,6.370e-19,3.384e-19
0.4400,0.09177,-0.06118,0.000022,0.019027,-0.000011,0.019027,-0.0000141,0.0000000,0.0000056,-0.025412,-0.025209,-7.61230324e-06,-1.21398380e-07,-8.68901044e-09,-7.55204016e-06,-1.20840629e-07,-8.65338034e-09,1.10300135e-05,0.00000000e+00,2.846e-19,6.099e-19
0.4600,0.10445,-0.06964,0.000025,0.021658,-0.000012,0.021658,-0.0000160,0.0000000,0.0000064,-0.027858,-0.027637,-8.33538310e-06,-1.22443758e-07,-8.67699429e-09,-8.26958334e-06,-1.21885150e-07,-8.64163947e-09,1.30372282e-05,0.00000000e+00,9.487e-20,1.141e-18
0.4800,0.11822,-0.07881,0.000028,0.024513,-0.000014,0.024513,-0.0000181,0.0000000,0.0000072,-0.030316,-0.030076,-9.05849033e-06,-1.20558110e-07,-9.00107751e-09,-8.98719288e-06,-1.20012027e-07,-8.96442911e-09,1.52930017e-05,0.00000000e+00,7.318e-19,4.375e-19
0.5000,0.13309,-0.08873,0.000031,0.027601,-0.000016,0.027601,-0.0000204,0.0000000,0.0000081,-0.032749,-0.032491,-9.77473080e-06,-1.19227002e-07,-9.58905497e-09,-9.69802947e-06,-1.18689355e-07,-9.55001294e-09,1.78142280e-05,0.00000000e+00,1.152e-18,6.933e-19
0.5200,0.14913,-0.09942,0.000035,0.030928,-0.000018,0.030928,-0.0000228,0.0000000,0.0000090,-0.035121,-0.034845,-1.04772239e-05,-1.21559476e-07,-9.50800509e-09,-1.03952662e-05,-1.21011259e-07,-9.46949656e-09,2.06179218e-05,0.00000000e+00,1.491e-18,9.910e-20
0.5400,0.16635,-0.11090,0.000039,0.034504,-0.000020,0.034504,-0.0000255,0.0000000,0.0000100,-0.037410,-0.037117,-1.11592130e-05,-1.28457753e-07,-9.93636490e-09,-1.10721985e-05,-1.27876385e-07,-9.89607141e-09,2.37211940e-05,0.00000000e+00,3.930e-19,1.017e-18
0.5600,0.18480,-0.12320,0.000043,0.038335,-0.000022,0.038336,-0.0000283,0.0000000,0.0000111,-0.039598,-0.039289,-1.18141436e-05,-1.38070879e-07,-1.04042462e-08,-1.17223212e-05,-1.37443726e-07,-1.03620693e-08,2.71412149e-05,0.00000000e+00,4.201e-19,6.505e-19
0.5800,0.20450,-0.13634,0.000048,0.042430,-0.000024,0.042430,-0.0000313,0.0000000,0.0000123,-0.041675,-0.041350,-1.24357927e-05,-1.46898582e-07,-1.02956016e-08,-1.23394571e-05,-1.46230490e-07,-1.02540076e-08,3.08951390e-05,0.00000000e+00,9.351e-19,1.171e-18
0.6000,0.22550,-0.15034,0.000052,0.046795,-0.000027,0.046795,-0.0000345,0.0000000,0.0000135,-0.043634,-0.043295,-1.30184072e-05,-1.51874108e-07,-1.08190155e-08,-1.29178940e-05,-1.51184439e-07,-1.07751417e-08,3.50000911e-05,0.00000000e+00,2.643e-18,7.420e-19
0.6200,0.24783,-0.16522,0.000057,0.051437,-0.000029,0.051437,-0.0000379,0.0000000,0.0000148,-0.045458,-0.045107,-1.35567928e-05,-1.52169552e-07,-1.11574808e-08,-1.34524726e-05,-1.51480647e-07,-1.11122060e-08,3.94731332e-05,0.00000000e+00,2.711e-18,1.033e-18
0.6400,0.27152,-0.18101,0.000063,0.056365,-0.000032,0.056365,-0.0000415,0.0000000,0.0000162,-0.047125,-0.046762,-1.40464214e-05,-1.49697028e-07,-1.10763017e-08,-1.39386934e-05,-1.49020803e-07,-1.10313585e-08,4.43312150e-05,0.00000000e+00,1.491e-18,3.453e-18
0.6600,0.29659,-0.19773,0.000068,0.061585,-0.000035,0.061585,-0.0000453,0.0000000,0.0000176,-0.048614,-0.048241,-1.44834973e-05,-1.47979426e-07,-1.16694704e-08,-1.43727823e-05,-1.47310133e-07,-1.16218492e-08,4.95911917e-05,0.00000000e+00,5.150e-19,1.119e-18
0.6800,0.32309,-0.21539,0.000074,0.067103,-0.000038,0.067103,-0.0000494,0.0000000,0.0000192,-0.049900,-0.049519,-1.48649713e-05,-1.50051433e-07,-1.18653792e-08,-1.47517047e-05,-1.49369020e-07,-1.18169031e-08,5.52697848e-05,0.00000000e+00,1.924e-18,8.072e-19
0.7000,0.35104,-0.23403,0.000081,0.072928,-0.000042,0.072928,-0.0000536,0.0000000,0.0000208,-0.050974,-0.050586,-1.51885927e-05,-1.56674164e-07,-1.18411413e-08,-1.50732176e-05,-1.55956046e-07,-1.17926449e-08,6.13835259e-05,0.00000000e+00,1.952e-18,6.480e-19
0.7200,0.38048,-0.25365,0.000087,0.079065,-0.000045,0.079065,-0.0000581,0.0000001,0.0000225,-0.051841,-0.051447,-1.54529375e-05,-1.65882967e-07,-1.24568835e-08,-1.53358980e-05,-1.65117316e-07,-1.24055488e-08,6.79487596e-05,0.00000000e+00,1.328e-18,1.190e-18
0.7400,0.41142,-0.27428,0.000094,0.085522,-0.000049,0.085522,-0.0000628,0.0000001,0.0000242,-0.052506,-0.052108,-1.56574273e-05,-1.74142730e-07,-1.25151570e-08,-1.55391610e-05,-1.73335416e-07,-1.24634797e-08,7.49815685e-05,0.00000000e+00,1.789e-18,3.453e-18
0.7600,0.44391,-0.29594,0.000102,0.092305,-0.000053,0.092305,-0.0000677,0.0000001,0.0000261,-0.052983,-0.052582,-1.58023896e-05,-1.78456954e-07,-1.25859516e-08,-1.56833200e-05,-1.77627848e-07,-1.25337050e-08,8.24977291e-05,0.00000000e+00,1.626e-18,1.088e-18
0.7800,0.47796,-0.31864,0.000109,0.099421,-0.000057,0.099421,-0.0000729,0.0000001,0.0000280,-0.053280,-0.052877,-1.58890615e-05,-1.78137523e-07,-1.31929591e-08,-1.57695908e-05,-1.77308506e-07,-1.31378145e-08,9.05127421e-05,0.00000000e+00,5.692e-19,2.702e-18
0.8000,0.51360,-0.34240,0.000117,0.106876,-0.000061,0.106876,-0.0000783,0.0000001,0.0000300,-0.053393,-0.052990,-1.59195643e-05,-1.75206824e-07,-1.31441667e-08,-1.58000656e-05,-1.74388649e-07,-1.30890199e-08,9.90417759e-05,0.00000000e+00,2.805e-18,3.303e-19
0.8200,0.55086,-0.36724,0.000126,0.114676,-0.000065,0.114676,-0.0000839,0.0000001,0.0000321,-0.053323,-0.052922,-1.58968818e-05,-1.73212735e-07,-1.33313323e-08,-1.57776931e-05,-1.72398429e-07,-1.32749847e-08,1.08099671e-04,0.00000000e+00,2.317e-18,9.487e-20
0.8400,0.58977,-0.39318,0.000135,0.122828,-0.000070,0.122828,-0.0000898,0.0000001,0.0000343,-0.053074,-0.052675,-1.58247695e-05,-1.75115929e-07,-1.38802633e-08,-1.57061876e-05,-1.74284836e-07,-1.38212178e-08,1.17700971e-04,0.00000000e+00,1.762e-18,4.743e-20
0.8600,0.63035,-0.42024,0.000144,0.131339,-0.000074,0.131339,-0.0000959,0.0000001,0.0000366,-0.052655,-0.052259,-1.57076719e-05,-1.81533653e-07,-1.37451667e-08,-1.55899481e-05,-1.80663657e-07,-1.36864142e-08,1.27859827e-04,0.00000000e+00,3.307e-18,2.914e-19
0.8800,0.67263,-0.44842,0.000153,0.140213,-0.000079,0.140213,-0.0001023,0.0000001,0.0000390,-0.052094,-0.051702,-1.55506697e-05,-1.90385389e-07,-1.40435627e-08,-1.54340060e-05,-1.89465939e-07,-1.39830547e-08,1.38589990e-04,0.00000000e+00,1.762e-18,7.454e-20
0.9000,0.71662,-0.47775,0.000163,0.149458,-0.000085,0.149458,-0.0001089,0.0000001,0.0000414,-0.051422,-0.051033,-1.53593895e-05,-1.98112775e-07,-1.44943559e-08,-1.52439353e-05,-1.97151134e-07,-1.44315417e-08,1.49904801e-04,0.00000000e+00,4.147e-18,3.620e-18
0.9200,0.76236,-0.50824,0.000174,0.159080,-0.000090,0.159080,-0.0001158,0.0000001,0.0000440,-0.050665,-0.050281,-1.51399441e-05,-2.01791004e-07,-1.43193794e-08,-1.50257935e-05,-2.00807887e-07,-1.42569293e-08,1.61817089e-04,0.00000000e+00,4.716e-18,9.317e-19
0.9400,0.80985,-0.53990,0.000184,0.169084,-0.000096,0.169084,-0.0001230,0.0000001,0.0000466,-0.049853,-0.049474,-1.48988721e-05,-2.00870274e-07,-1.47295955e-08,-1.47860619e-05,-1.99887432e-07,-1.46648204e-08,1.74339227e-04,0.00000000e+00,2.683e-18,5.777e-19
0.9600,0.85913,-0.57276,0.000196,0.179476,-0.000101,0.179476,-0.0001304,0.0000001,0.0000493,-0.048998,-0.048624,-1.46430105e-05,-1.97487246e-07,-1.50627854e-08,-1.45315195e-05,-1.96514569e-07,-1.49961690e-08,1.87483144e-04,0.00000000e+00,4.364e-18,1.189e-18
0.9800,0.91022,-0.60681,0.000207,0.190262,-0.000107,0.190263,-0.0001380,0.0000001,0.0000521,-0.048112,-0.047742,-1.43793853e-05,-1.95205491e-07,-1.48925611e-08,-1.42691341e-05,-1.94235128e-07,-1.48262029e-08,2.01260269e-04,0.00000000e+00,3.605e-18,1.611e-18
1.0000,0.96313,-0.64209,0.000220,0.201449,-0.000113,0.201449,-0.0001459,0.0000001,0.0000550,-0.047213,-0.046846,-1.41150840e-05,-1.96907603e-07,-1.53830209e-08,-1.40059368e-05,-1.95918661e-07,-1.53139735e-08,2.15681601e-04,0.00000000e+00,4.689e-18,3.913e-19
1.0200,1.01789,-0.67860,0.000232,0.213041,-0.000120,0.213041,-0.0001541,0.0000001,0.0000580,-0.046318,-0.045955,-1.38570965e-05,-2.03072969e-07,-1.55709611e-08,-1.37488639e-05,-2.02044089e-07,-1.55007160e-08,2.30757662e-04,0.00000000e+00,4.066e-18,1.855e-18
1.0400,1.07452,-0.71635,0.000245,0.225044,-0.000126,0.225044,-0.0001626,0.0000001,0.0000611,-0.045459,-0.045098,-1.36122215e-05,-2.11503709e-07,-1.54373584e-08,-1.35046642e-05,-2.10425869e-07,-1.53671741e-08,2.46498397e-04,0.00000000e+00,8.132e-19,4.743e-19
1.0600,1.13302,-0.75535,0.000259,0.237465,-0.000133,0.237465,-0.0001713,0.0000002,0.0000643,-0.044674,-0.044314,-1.33869729e-05,-2.18626645e-07,-1.59708906e-08,-1.32798062e-05,-2.17508636e-07,-1.58978437e-08,2.62913228e-04,0.00000000e+00,3.361e-18,3.354e-19
1.0800,1.19343,-0.79562,0.000273,0.250307,-0.000140,0.250308,-0.0001803,0.0000002,0.0000676,-0.043988,-0.043629,-1.31874791e-05,-2.21598988e-07,-1.60190341e-08,-1.30803775e-05,-2.20462385e-07,-1.59453833e-08,2.80010981e-04,0.00000000e+00,4.743e-18,8.606e-19
1.1000,1.25576,-0.83717,0.000287,0.263578,-0.000148,0.263578,-0.0001896,0.0000002,0.0000710,-0.043424,-0.043063,-1.30194291e-05,-2.20005368e-07,-1.59682747e-08,-1.29120318e-05,-2.18871801e-07,-1.58942615e-08,2.97799856e-04,0.00000000e+00,6.207e-18,4.764e-18
1.1200,1.32002,-0.88001,0.000302,0.277282,-0.000155,0.277282,-0.0001991,0.0000002,0.0000745,-0.042993,-0.042631,-1.28879766e-05,-2.16099042e-07,-1.65116263e-08,-1.27798930e-05,-2.14977498e-07,-1.64347197e-08,3.16287555e-04,0.00000000e+00,7.969e-18,1.508e-18
1.1400,1.38623,-0.92415,0.000318,0.291425,-0.000163,0.291425,-0.0002089,0.0000002,0.0000780,-0.042696,-0.042329,-1.27976269e-05,-2.13458241e-07,-1.64345645e-08,-1.26884434e-05,-2.12339949e-07,-1.63575893e-08,3.35481214e-04,0.00000000e+00,4.012e-18,1.033e-18
1.1600,1.45440,-0.96960,0.000334,0.306011,-0.000171,0.306011,-0.0002190,0.0000002,0.0000817,-0.042537,-0.042166,-1.27521668e-05,-2.14878901e-07,-1.64838959e-08,-1.26414541e-05,-2.13742713e-07,-1.64061122e-08,3.55387412e-04,0.00000000e+00,1.377e-17,3.453e-18
1.1800,1.52456,-1.01637,0.000350,0.321047,-0.000179,0.321047,-0.0002293,0.0000002,0.0000855,-0.042527,-0.042149,-1.27545689e-05,-2.20709028e-07,-1.69814197e-08,-1.26418899e-05,-2.19534245e-07,-1.69010112e-08,3.76012227e-04,0.00000000e+00,4.147e-18,6.437e-20
1.2000,1.59671,-1.06447,0.000368,0.336538,-0.000187,0.336538,-0.0002400,0.0000002,0.0000893,-0.042677,-0.042291,-1.28069353e-05,-2.28638728e-07,-1.67968742e-08,-1.26918530e-05,-2.27417673e-07,-1.67168720e-08,3.97361085e-04,0.00000000e+00,4.770e-18,1.050e-18
1.2200,1.67087,-1.11391,0.000385,0.352487,-0.000196,0.352488,-0.0002509,0.0000002,0.0000932,-0.043007,-0.042611,-1.29105044e-05,-2.35081842e-07,-1.69566474e-08,-1.27925900e-05,-2.33824593e-07,-1.68753510e-08,4.19438756e-04,0.00000000e+00,1.816e-18,1.188e-17
1.2400,1.74705,-1.16470,0.000403,0.368902,-0.000204,0.368902,-0.0002620,0.0000002,0.0000973,-0.043526,-0.043120,-1.30656349e-05,-2.37289826e-07,-1.73749612e-08,-1.29444744e-05,-2.36018453e-07,-1.72914174e-08,4.42249409e-04,0.00000000e+00,5.719e-18,1.481e-18
1.2600,1.82527,-1.21684,0.000422,0.385786,-0.000213,0.385787,-0.0002735,0.0000002,0.0001014,-0.044232,-0.043813,-1.32718206e-05,-2.34981862e-07,-1.71315759e-08,-1.31470222e-05,-2.33717496e-07,-1.70486408e-08,4.65796508e-04,0.00000000e+00,6.803e-18,1.508e-18
1.2800,1.90552,-1.27035,0.000441,0.403145,-0.000223,0.403145,-0.0002852,0.0000003,0.0001056,-0.045115,-0.044683,-1.35277219e-05,-2.30522144e-07,-1.74078122e-08,-1.33989216e-05,-2.29272525e-07,-1.73230528e-08,4.90082929e-04,0.00000000e+00,7.969e-18,7.722e-18
1.3000,1.98784,-1.32523,0.000461,0.420984,-0.000232,0.420984,-0.0002972,0.0000003,0.0001099,-0.046155,-0.045707,-1.38311456e-05,-2.27506051e-07,-1.77151387e-08,-1.36980139e-05,-2.26261132e-07,-1.76286417e-08,5.15111032e-04,0.00000000e+00,8.511e-18,2.101e-18
1.3200,2.07222,-1.38148,0.000482,0.439307,-0.000242,0.439307,-0.0003095,0.0000003,0.0001143,-0.047329,-0.046866,-1.41790673e-05,-2.28635704e-07,-1.74486770e-08,-1.40413149e-05,-2.27373786e-07,-1.73628505e-08,5.40882540e-04,0.00000000e+00,1.735e-18,6.963e-18
1.3400,2.15868,-1.43912,0.000503,0.458119,-0.000251,0.458119,-0.0003220,0.0000003,0.0001188,-0.048628,-0.048149,-1.45676749e-05,-2.34126318e-07,-1.78131425e-08,-1.44250580e-05,-2.32827060e-07,-1.77251281e-08,5.67398630e-04,0.00000000e+00,7.427e-18,1.154e-17
1.3600,2.24723,-1.49815,0.000524,0.477425,-0.000262,0.477426,-0.0003348,0.0000003,0.0001234,-0.050043,-0.049547,-1.49924038e-05,-2.41566134e-07,-1.79800743e-08,-1.48447288e-05,-2.40222827e-07,-1.78909565e-08,5.94659870e-04,0.00000000e+00,6.695e-18,3.642e-18
1.3800,2.33787,-1.55858,0.000546,0.497231,-0.000272,0.497231,-0.0003479,0.0000003,0.0001280,-0.051566,-0.051053,-1.54480446e-05,-2.47356163e-07,-1.77344455e-08,-1.52951717e-05,-2.45979784e-07,-1.76458347e-08,6.22666064e-04,0.00000000e+00,6.072e-18,7.901e-18
1.4000,2.43061,-1.62041,0.000569,0.517539,-0.000282,0.517540,-0.0003612,0.0000003,0.0001328,-0.053192,-0.052660,-1.59288585e-05,-2.48846732e-07,-1.81662533e-08,-1.57707034e-05,-2.47459430e-07,-1.80751384e-08,6.51416398e-04,0.00000000e+00,8.159e-18,1.064e-18
1.4200,2.52547,-1.68364,0.000593,0.538356,-0.000293,0.538357,-0.0003748,0.0000003,0.0001376,-0.054895,-0.054346,-1.64286636e-05,-2.45896827e-07,-1.81979305e-08,-1.62651991e-05,-2.44518805e-07,-1.81062452e-08,6.80909403e-04,0.00000000e+00,5.773e-18,3.270e-18
1.4400,2.62244,-1.74829,0.000617,0.559686,-0.000304,0.559686,-0.0003887,0.0000004,0.0001425,-0.056647,-0.056080,-1.69409607e-05,-2.40971195e-07,-1.80224200e-08,-1.67722160e-05,-2.39608635e-07,-1.79308206e-08,7.11142934e-04,0.00000000e+00,6.858e-18,2.656e-18
1.4600,2.72154,-1.81436,0.000641,0.581533,-0.000315,0.581533,-0.0004028,0.0000004,0.0001475,-0.058415,-0.057830,-1.74590165e-05,-2.37678982e-07,-1.84847499e-08,-1.72850769e-05,-2.36320313e-07,-1.83904928e-08,7.42114385e-04,0.00000000e+00,1.279e-17,9.385e-19
1.4800,2.82277,-1.88185,0.000666,0.603902,-0.000327,0.603902,-0.0004172,0.0000004,0.0001525,-0.060163,-0.059561,-1.79759303e-05,-2.38626844e-07,-1.83819360e-08,-1.77969359e-05,-2.37249621e-07,-1.82876382e-08,7.73820573e-04,0.00000000e+00,1.236e-17,1.711e-18
1.5000,2.92614,-1.95076,0.000692,0.626797,-0.000338,0.626797,-0.0004318,0.0000004,0.0001576,-0.061869,-0.061251,-1.84847535e-05,-2.43889264e-07,-1.82972095e-08,-1.83008969e-05,-2.42473395e-07,-1.82025155e-08,8.06257689e-04,0.00000000e+00,4.066e-18,7.329e-18
1.5200,3.03165,-2.02110,0.000719,0.650223,-0.000350,0.650223,-0.0004467,0.0000004,0.0001628,-0.063520,-0.062886,-1.89785893e-05,-2.50959378e-07,-1.87401092e-08,-1.87901127e-05,-2.49498980e-07,-1.86428301e-08,8.39421392e-04,0.00000000e+00,7.860e-18,6.214e-18
1.5400,3.13931,-2.09287,0.000746,0.674184,-0.000362,0.674184,-0.0004618,0.0000004,0.0001681,-0.065101,-0.064453,-1.94507103e-05,-2.56230394e-07,-1.85253393e-08,-1.92579018e-05,-2.54737193e-07,-1.84284012e-08,8.73306608e-04,0.00000000e+00,9.649e-18,7.657e-19
1.5600,3.24912,-2.16608,0.000774,0.698684,-0.000374,0.698684,-0.0004772,0.0000004,0.0001735,-0.066603,-0.065941,-1.98947185e-05,-2.57147906e-07,-1.85594830e-08,-1.96979060e-05,-2.55644034e-07,-1.84615002e-08,9.07907563e-04,0.00000000e+00,7.535e-18,6.559e-18
1.5800,3.36108,-2.24072,0.000802,0.723728,-0.000387,0.723728,-0.0004929,0.0000005,0.0001789,-0.068005,-0.067330,-2.03046462e-05,-2.53714897e-07,-1.89533725e-08,-2.01041917e-05,-2.52219551e-07,-1.88529513e-08,9.43217956e-04,0.00000000e+00,9.433e-18,4.564e-18
1.6000,3.47520,-2.31680,0.000831,0.749320,-0.000400,0.749320,-0.0005088,0.0000005,0.0001844,-0.069277,-0.068591,-2.06750508e-05,-2.48490059e-07,-1.86690736e-08,-2.04713437e-05,-2.47007892e-07,-1.85691429e-08,9.79230843e-04,0.00000000e+00,1.269e-17,5.682e-18
1.6200,3.59148,-2.39432,0.000861,0.775464,-0.000412,0.775464,-0.0005249,0.0000005,0.0001899,-0.070394,-0.069698,-2.10011076e-05,-2.45084382e-07,-1.88275788e-08,-2.07945574e-05,-2.43602464e-07,-1.87259543e-08,1.01593879e-03,0.00000000e+00,7.481e-18,4.513e-18
1.6400,3.70992,-2.47328,0.000892,0.802164,-0.000425,0.802165,-0.0005412,0.0000005,0.0001955,-0.071332,-0.070629,-2.12786391e-05,-2.46009682e-07,-1.91282571e-08,-2.10696688e-05,-2.44505023e-07,-1.90245640e-08,1.05333398e-03,0.00000000e+00,1.637e-17,5.414e-18
1.6600,3.83053,-2.55369,0.000923,0.829425,-0.000439,0.829426,-0.0005578,0.0000005,0.0002012,-0.072077,-0.071367,-2.15041719e-05,-2.51194441e-07,-1.88046428e-08,-2.12932112e-05,-2.49647468e-07,-1.87014854e-08,1.09140795e-03,0.00000000e+00,4.120e-18,2.528e-18
1.6800,3.95330,-2.63553,0.000955,0.857251,-0.000452,0.857251,-0.0005746,0.0000005,0.0002069,-0.072634,-0.071919,-2.16750106e-05,-2.58035706e-07,-1.90698092e-08,-2.14624883e-05,-2.56441649e-07,-1.89644239e-08,1.13015172e-03,0.00000000e+00,1.063e-17,5.468e-18
1.7000,4.07823,-2.71882,0.000987,0.885645,-0.000466,0.885646,-0.0005916,0.0000006,0.0002127,-0.073005,-0.072286,-2.17892728e-05,-2.62928740e-07,-1.92508674e-08,-2.15756103e-05,-2.61300305e-07,-1.91438750e-08,1.16955576e-03,0.00000000e+00,5.313e-18,2.677e-18
