t_s,base_dev_angle_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,wb_x_dps,wb_y_dps,wb_z_dps,tip_L_mm,tip_R_mm,eta_L1,eta_L2,eta_L3,eta_L4,eta_L5,eta_R1,eta_R2,eta_R3,eta_R4,eta_R5,L_base_Nms,L_arm_Nms,L_panels_Nms,L_target_Nms,E_damp_J,abs_dP,abs_dL
0.0000,19.204396,0.050164,19.204329,0.020500,1.593793,0.451006,1.834488,-0.095932,0.078007,-3.74313411e-05,-1.30688159e-05,-5.23081871e-06,-1.18770078e-06,9.36929851e-08,2.87155461e-05,7.99584862e-06,3.01608866e-06,6.61695368e-07,-5.21870911e-08,6.32080090e-01,9.33595364e-02,1.93326838e-02,3.00006683e+00,0.00000000e+00,0.000e+00,0.000e+00
0.0100,19.208969,0.072495,19.208818,0.039931,1.593833,0.450664,1.834525,-0.194848,0.154203,-7.54252751e-05,-2.40916596e-05,-4.69851319e-06,1.30573208e-06,-1.66575041e-07,5.67904011e-05,1.48350454e-05,2.74949997e-06,-7.12527711e-07,9.16865342e-08,6.32075222e-01,9.33560245e-02,1.93758175e-02,3.00003344e+00,2.32896924e-08,5.568e-16,3.331e-16
0.0200,19.213569,0.094828,19.213296,0.059366,1.593877,0.450327,1.834558,-0.271876,0.218600,-1.13048725e-04,-3.13620376e-05,9.72173846e-07,-2.67535358e-07,2.09676972e-07,8.46801669e-05,1.94104704e-05,-4.99798965e-07,1.45357186e-07,-1.10418658e-07,6.32071826e-01,9.33528404e-02,1.94118860e-02,3.00000506e+00,4.61940849e-08,6.748e-16,1.776e-15
0.0300,19.218197,0.117164,19.217763,0.078803,1.593918,0.449988,1.834594,-0.372966,0.297017,-1.50153739e-04,-3.37838416e-05,5.53406029e-06,-9.75502300e-07,-2.10897758e-07,1.12274624e-04,2.10316828e-05,-3.15188193e-06,5.45615422e-07,1.11555173e-07,6.32067677e-01,9.33494764e-02,1.94518845e-02,2.99997382e+00,6.44013490e-08,3.331e-16,3.553e-15
0.0400,19.222851,0.139503,19.222221,0.098242,1.593973,0.449657,1.834621,-0.517531,0.400947,-1.86594555e-04,-3.10062299e-05,4.01894280e-06,1.34354654e-06,1.76834935e-07,1.39464789e-04,1.94623955e-05,-2.31808318e-06,-7.34682891e-07,-8.97481963e-08,6.32067554e-01,9.33470377e-02,1.94718539e-02,2.99995695e+00,8.05349883e-08,1.249e-16,2.220e-15
0.0500,19.227532,0.161845,19.226667,0.117685,1.594018,0.449322,1.834654,-0.678357,0.515083,-2.22228924e-04,-2.34746894e-05,-1.85275945e-06,-5.17067826e-07,-1.09545917e-07,1.66142805e-04,1.49544878e-05,1.05285789e-06,2.83147936e-07,5.54419955e-08,6.32064824e-01,9.33439881e-02,1.95050925e-02,2.99993050e+00,1.02630288e-07,4.614e-16,3.331e-16
0.0600,19.232241,0.184189,19.231103,0.137130,1.594043,0.448977,1.834700,-0.845115,0.633036,-2.56914311e-04,-1.23576310e-05,-5.62245143e-06,-7.37669764e-07,2.76464402e-08,1.92205162e-04,8.20928387e-06,3.25350412e-06,4.15651191e-07,-9.47314095e-09,6.32056124e-01,9.33395509e-02,1.95684643e-02,2.99988237e+00,1.24471262e-07,2.030e-16,1.332e-15
0.0700,19.236976,0.206536,19.235529,0.156578,1.594080,0.448638,1.834738,-1.001649,0.745008,-2.90514009e-04,6.32202490e-07,-3.19767110e-06,1.32611073e-06,5.90749715e-08,2.17549601e-04,2.66482971e-07,1.89429891e-06,-7.26268736e-07,-3.36642703e-08,6.32051217e-01,9.33359947e-02,1.96127521e-02,2.99984799e+00,1.47592075e-07,3.868e-16,2.665e-15
0.0800,19.241738,0.228886,19.239944,0.176028,1.594141,0.448311,1.834761,-1.128653,0.839985,-3.22898615e-04,1.35011406e-05,2.70582889e-06,-7.30595188e-07,-1.29495019e-07,2.42074995e-04,-7.65638174e-06,-1.50236855e-06,4.01084663e-07,7.20935645e-08,6.32052960e-01,9.33339907e-02,1.96233609e-02,2.99983784e+00,1.73596606e-07,2.637e-16,8.882e-16
0.0900,19.246528,0.251239,19.244348,0.195481,1.594209,0.447986,1.834780,-1.260341,0.936747,-3.53942087e-04,2.42825940e-05,5.60471607e-06,-4.85938034e-07,1.76743357e-07,2.65684524e-04,-1.43490053e-05,-3.20617412e-06,2.77234393e-07,-9.34285725e-08,6.32056487e-01,9.33324195e-02,1.96245947e-02,2.99983454e+00,1.91995612e-07,3.365e-16,1.332e-15
0.1000,19.251344,0.273595,19.248742,0.214937,1.594295,0.447671,1.834788,-1.402593,1.038520,-3.83524363e-04,3.13363916e-05,2.36677804e-06,1.25722241e-06,-1.88063531e-07,2.88284613e-04,-1.87940910e-05,-1.37594258e-06,-6.89814344e-07,9.99841474e-08,6.32065155e-01,9.33320399e-02,1.95999973e-02,2.99984977e+00,2.06690725e-07,1.462e-15,3.109e-15
0.1100,19.256187,0.295953,19.253126,0.234395,1.594365,0.447348,1.834806,-1.516194,1.123180,-4.11529805e-04,3.35991587e-05,-3.40584775e-06,-9.01490404e-07,1.67703027e-07,3.09786556e-04,-2.03212816e-05,1.95144140e-06,4.96105346e-07,-8.56001269e-08,6.32069424e-01,9.33306370e-02,1.95976464e-02,2.99984901e+00,2.21355402e-07,5.933e-16,1.332e-15
