t_s,base_dev_angle_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,wb_x_dps,wb_y_dps,wb_z_dps,tip_L_mm,tip_R_mm,eta_L1,eta_L2,eta_L3,eta_L4,eta_L5,eta_R1,eta_R2,eta_R3,eta_R4,eta_R5,L_base_Nms,L_arm_Nms,L_panels_Nms,L_target_Nms,E_damp_J,abs_dP,abs_dL
0.0000,19.199845,0.027909,19.199825,0.001089,1.593691,0.451633,1.834365,0.003278,0.003485,9.61593052e-07,-5.85229080e-09,-6.26958004e-11,-2.51195730e-12,-8.37361478e-13,1.02257423e-06,-5.86052952e-09,-6.59767320e-11,-3.13439052e-12,-1.00829408e-12,6.32137038e-01,9.33713538e-02,1.92856171e-02,3.00003686e+00,0.00000000e+00,0.000e+00,0.000e+00
0.0100,19.204394,0.050235,19.204327,0.020517,1.593725,0.451285,1.834406,-0.093236,0.078328,-3.72652281e-05,-1.33006107e-05,-5.90044427e-06,-1.90923591e-06,4.39729898e-07,2.91835661e-05,8.17485203e-06,3.42156117e-06,1.07473623e-06,-2.38946135e-07,6.32130013e-01,9.33673742e-02,1.93387078e-02,2.99999650e+00,3.55924814e-08,3.799e-16,5.551e-16
0.0200,19.208970,0.072565,19.208819,0.039947,1.593768,0.450946,1.834440,-0.199781,0.158765,-7.52709827e-05,-2.44824615e-05,-5.27945241e-06,2.11004757e-06,-7.82279756e-07,5.72691606e-05,1.51047525e-05,3.08657757e-06,-1.17478220e-06,4.29521566e-07,6.32126252e-01,9.33641136e-02,1.93762890e-02,2.99996711e+00,6.53611309e-08,1.665e-16,1.332e-15
0.0300,19.213574,0.094898,19.213300,0.059381,1.593812,0.450608,1.834474,-0.266058,0.217050,-1.12906787e-04,-3.18514686e-05,1.11317571e-06,-4.47002648e-07,9.74943193e-07,8.51678149e-05,1.97293353e-05,-5.98348707e-07,2.50091288e-07,-5.33349487e-07,6.32122785e-01,9.33609118e-02,1.94126290e-02,2.99993856e+00,9.43792200e-08,7.910e-16,8.882e-16
0.0400,19.218204,0.117233,19.217770,0.078817,1.593850,0.450268,1.834512,-0.369034,0.296494,-1.50025017e-04,-3.42968757e-05,6.23508287e-06,-1.56503887e-06,-9.82957988e-07,1.12769031e-04,2.13506662e-05,-3.57374906e-06,8.82662812e-07,5.40632133e-07,6.32117591e-01,9.33573051e-02,1.94577758e-02,2.99990365e+00,1.17390304e-07,5.915e-16,2.665e-15
0.0500,19.222861,0.139571,19.222230,0.098255,1.593910,0.449940,1.834536,-0.514556,0.401163,-1.86478977e-04,-3.14640889e-05,4.50866787e-06,2.16831231e-06,8.16713767e-07,1.39964366e-04,1.97329719e-05,-2.59905701e-06,-1.20824000e-06,-4.47685540e-07,6.32119028e-01,9.33552255e-02,1.94698404e-02,2.99989249e+00,1.38975018e-07,3.105e-16,2.665e-15
0.0600,19.227545,0.161911,19.226680,0.117697,1.593954,0.449604,1.834570,-0.677969,0.516845,-2.22127815e-04,-2.38080614e-05,-2.10687029e-06,-8.48305900e-07,-5.06910579e-07,1.66645033e-04,1.51351684e-05,1.21780467e-06,4.74634299e-07,2.80433698e-07,6.32115872e-01,9.33520777e-02,1.95050955e-02,2.99986462e+00,1.67386145e-07,4.163e-17,2.220e-15
0.0700,19.232257,0.184255,19.231118,0.137141,1.593977,0.449259,1.834616,-0.844888,0.634922,-2.56827592e-04,-1.25158279e-05,-6.33470965e-06,-1.18005824e-06,1.19609618e-07,1.92708341e-04,8.27298521e-06,3.67949579e-06,6.68289104e-07,-6.57658070e-08,6.32106948e-01,9.33475821e-02,1.95696224e-02,2.99981566e+00,1.94088379e-07,9.541e-16,2.220e-16
0.0800,19.236995,0.206601,19.235547,0.156588,1.594009,0.448917,1.834657,-1.004861,0.748847,-2.90441628e-04,6.72861172e-07,-3.58537110e-06,2.13739836e-06,2.78334110e-07,2.18051979e-04,2.04074602e-07,2.11349122e-06,-1.19178122e-06,-1.50252447e-07,6.32100459e-01,9.33436597e-02,1.96217510e-02,2.99977569e+00,2.22906348e-07,2.776e-16,1.332e-15
0.0900,19.241760,0.228950,19.239964,0.176038,1.594078,0.448594,1.834676,-1.128105,0.841512,-3.22841296e-04,1.37334357e-05,3.06227162e-06,-1.19095427e-06,-6.09658762e-07,2.42574312e-04,-7.83503630e-06,-1.72708889e-06,6.66351505e-07,3.34551818e-07,6.32104331e-01,9.33421470e-02,1.96215695e-02,2.99977331e+00,2.55349440e-07,2.897e-16,8.882e-16
0.1000,19.246552,0.251302,19.244372,0.195490,1.594140,0.448266,1.834699,-1.255968,0.936149,-3.53899642e-04,2.46704781e-05,6.30810703e-06,-7.72984108e-07,8.22372458e-07,2.66179078e-04,-1.46159885e-05,-3.62452999e-06,4.40757485e-07,-4.49495436e-07,6.32106022e-01,9.33401509e-02,1.96319106e-02,2.99976351e+00,2.77695561e-07,3.348e-16,2.220e-16
0.1100,19.251371,0.273656,19.248769,0.214945,1.594231,0.447953,1.834704,-1.408129,1.043504,-3.83497338e-04,3.18197853e-05,2.64532072e-06,2.02375452e-06,-8.77338351e-07,2.88772219e-04,-1.91084007e-05,-1.52915810e-06,-1.12947502e-06,4.82415576e-07,6.32116403e-01,9.33401686e-02,1.95985622e-02,2.99978507e+00,2.96861736e-07,7.234e-16,4.441e-16
0.1200,19.256217,0.296014,19.253155,0.234402,1.594304,0.447632,1.834720,-1.515409,1.124553,-4.11518449e-04,3.41037404e-05,-3.85162982e-06,-1.46458989e-06,7.75217863e-07,3.10265215e-04,-2.06347531e-05,2.22769038e-06,8.20122635e-07,-4.24789873e-07,6.32121422e-01,9.33389365e-02,1.95923893e-02,2.99978707e+00,3.17083277e-07,2.932e-16,2.665e-15
0.1300,19.261090,0.318375,19.257532,0.253861,1.594340,0.447291,1.834758,-1.610430,1.196649,-4.37850653e-04,3.11938116e-05,-6.05814732e-06,-3.60397079e-07,-5.34767591e-07,3.30575535e-04,-1.89724544e-05,3.52695875e-06,2.10547594e-07,2.95713783e-07,6.32116004e-01,9.33352765e-02,1.96389259e-02,2.99975116e+00,3.29905977e-07,1.058e-16,4.441e-16
0.1400,19.265990,0.340738,19.261897,0.273324,1.594406,0.446969,1.834778,-1.657561,1.239818,-4.62390188e-04,2.35555326e-05,-1.61219622e-06,1.83770856e-06,2.09287723e-07,3.49624244e-04,-1.43877565e-05,9.77327683e-07,-1.02616419e-06,-1.15211539e-07,6.32119434e-01,9.33336503e-02,1.96413499e-02,2.99974682e+00,3.47122809e-07,8.153e-16,7.772e-16
