case_id,e15_case_hash,scenario_hash,solver_config_hash,method,rtol,atol,max_step,n_steps,nfev,njev,nlu,status,solver_success,termination_reason,classification,solver_message,exception_message,energy_residual,energy_residual_reason,momentum_residual,momentum_residual_reason,integration_wall_s,retry_level,crosscheck_relative_tolerance,output_metrics_hash,attempt_evidence_hash,crosscheck_evidence_hash
P1_tc00_v5mm_pose_6d,914cc5f009b2a2421b94e884ab0befb2ef27cd151c70f8d826211906c4146de3,914cc5f009b2a2421b94e884ab0befb2ef27cd151c70f8d826211906c4146de3,a61aaad7d65259bce62b0715ae68440b740ef507fa19210fd5ca4cd555119aa7,Radau,1e-06,1e-10,,21586,323808,0,67142,0,True,COMPLETED,COMPLETED,The solver successfully reached the end of the integration interval.,,,not_defined_for_damped_clamped_one_way_model_without_dissipation_power_integral,,not_defined_for_clamped_one_way_panel_with_prescribed_base_jump,34.17657660000259,0,0.05,f8beba374faccec8aa9ca49ed9db751b574d5885daf53df92ae4be8567b756e1,a83fc917e5b292d17247ec1c4a17078bb955920756dda8a8805d7de74980d37a,
P1_tc00_v5mm_approach_5d,8be8f8a406abd589907194c2133ca844d96da84b698dece7f17f3eed02eb5056,8be8f8a406abd589907194c2133ca844d96da84b698dece7f17f3eed02eb5056,a61aaad7d65259bce62b0715ae68440b740ef507fa19210fd5ca4cd555119aa7,Radau,1e-06,1e-10,,21553,323757,0,67076,-1,False,SOLVER_FAILURE,SOLVER_NONCONVERGENCE,Required step size is less than spacing between numbers.,ANCFIntegrationError: Required step size is less than spacing between numbers.,,not_defined_for_damped_clamped_one_way_model_without_dissipation_power_integral,,not_defined_for_clamped_one_way_panel_with_prescribed_base_jump,34.282477100001415,0,0.05,,c0c6c161400158d3ae5b2b30b5b6c104bac27ebdd2a6947b122afd697fa92bed,
P1_tc00_v5mm_approach_5d,8be8f8a406abd589907194c2133ca844d96da84b698dece7f17f3eed02eb5056,8be8f8a406abd589907194c2133ca844d96da84b698dece7f17f3eed02eb5056,a61aaad7d65259bce62b0715ae68440b740ef507fa19210fd5ca4cd555119aa7,Radau,1e-06,1e-10,0.02,21553,323757,0,67076,-1,False,SOLVER_FAILURE,SOLVER_NONCONVERGENCE,Required step size is less than spacing between numbers.,ANCFIntegrationError: Required step size is less than spacing between numbers.,,not_defined_for_damped_clamped_one_way_model_without_dissipation_power_integral,,not_defined_for_clamped_one_way_panel_with_prescribed_base_jump,33.01395849999972,1,0.05,,1659d2e1e6d8da4a333ac14376d64a1bf406e8a40306934491b45a928118699e,
P1_tc00_v5mm_approach_5d,8be8f8a406abd589907194c2133ca844d96da84b698dece7f17f3eed02eb5056,8be8f8a406abd589907194c2133ca844d96da84b698dece7f17f3eed02eb5056,a61aaad7d65259bce62b0715ae68440b740ef507fa19210fd5ca4cd555119aa7,Radau,1e-07,1e-11,0.02,100000,1775743,0,283192,-1,False,RESOURCE_LIMIT_ACCEPTED_STEPS,SOLVER_NONCONVERGENCE,accepted-step limit 100000 reached before t_bound=15,ANCFIntegrationError: accepted-step limit 100000 reached before t_bound=15,,not_defined_for_damped_clamped_one_way_model_without_dissipation_power_integral,,not_defined_for_clamped_one_way_panel_with_prescribed_base_jump,171.35374990000128,2,0.05,,155994af44abc7d8559879d54e8cd9d8aadfd8e74a9123c2ca7c2741671d1ed0,
P1_tc00_v5mm_approach_5d,8be8f8a406abd589907194c2133ca844d96da84b698dece7f17f3eed02eb5056,8be8f8a406abd589907194c2133ca844d96da84b698dece7f17f3eed02eb5056,a61aaad7d65259bce62b0715ae68440b740ef507fa19210fd5ca4cd555119aa7,BDF,1e-07,1e-11,0.02,100000,413352,0,114364,-1,False,RESOURCE_LIMIT_ACCEPTED_STEPS,SOLVER_NONCONVERGENCE,accepted-step limit 100000 reached before t_bound=15,ANCFIntegrationError: accepted-step limit 100000 reached before t_bound=15,,not_defined_for_damped_clamped_one_way_model_without_dissipation_power_integral,,not_defined_for_clamped_one_way_panel_with_prescribed_base_jump,57.57283090000419,3,0.05,,a130cf2cfecf66a2c407b68abf585143eeaf2bd1d8a9f38de4e8b9b88b05265e,
P1_tc00_v10mm_pose_6d,e99e7efbbb939e479f81974187ed5661315302d21185585c7fcd3b882fb9f13c,e99e7efbbb939e479f81974187ed5661315302d21185585c7fcd3b882fb9f13c,a61aaad7d65259bce62b0715ae68440b740ef507fa19210fd5ca4cd555119aa7,Radau,1e-06,1e-10,,21499,322101,0,66832,-1,False,SOLVER_FAILURE,SOLVER_NONCONVERGENCE,Required step size is less than spacing between numbers.,ANCFIntegrationError: Required step size is less than spacing between numbers.,,not_defined_for_damped_clamped_one_way_model_without_dissipation_power_integral,,not_defined_for_clamped_one_way_panel_with_prescribed_base_jump,33.88682990000234,0,0.05,,2fb85af86b45674a1c4077f65a0f7748c86e72dc162db695fe3215aea8834c32,
P1_tc00_v10mm_pose_6d,e99e7efbbb939e479f81974187ed5661315302d21185585c7fcd3b882fb9f13c,e99e7efbbb939e479f81974187ed5661315302d21185585c7fcd3b882fb9f13c,a61aaad7d65259bce62b0715ae68440b740ef507fa19210fd5ca4cd555119aa7,Radau,1e-06,1e-10,0.02,21499,322101,0,66832,-1,False,SOLVER_FAILURE,SOLVER_NONCONVERGENCE,Required step size is less than spacing between numbers.,ANCFIntegrationError: Required step size is less than spacing between numbers.,,not_defined_for_damped_clamped_one_way_model_without_dissipation_power_integral,,not_defined_for_clamped_one_way_panel_with_prescribed_base_jump,32.52251830000023,1,0.05,,13d4f24fbe85f95779eb3855a156af3b298b0e3a51570dcb8ae41095a8809bb9,
P1_tc00_v10mm_pose_6d,e99e7efbbb939e479f81974187ed5661315302d21185585c7fcd3b882fb9f13c,e99e7efbbb939e479f81974187ed5661315302d21185585c7fcd3b882fb9f13c,a61aaad7d65259bce62b0715ae68440b740ef507fa19210fd5ca4cd555119aa7,Radau,1e-07,1e-11,0.02,100000,1776469,0,283668,-1,False,RESOURCE_LIMIT_ACCEPTED_STEPS,SOLVER_NONCONVERGENCE,accepted-step limit 100000 reached before t_bound=15,ANCFIntegrationError: accepted-step limit 100000 reached before t_bound=15,,not_defined_for_damped_clamped_one_way_model_without_dissipation_power_integral,,not_defined_for_clamped_one_way_panel_with_prescribed_base_jump,168.29198570000153,2,0.05,,8017e7bece3b7024abe65644bccc12703560ab1d11f11dc6fbc35a6169743785,
P1_tc00_v10mm_pose_6d,e99e7efbbb939e479f81974187ed5661315302d21185585c7fcd3b882fb9f13c,e99e7efbbb939e479f81974187ed5661315302d21185585c7fcd3b882fb9f13c,a61aaad7d65259bce62b0715ae68440b740ef507fa19210fd5ca4cd555119aa7,BDF,1e-07,1e-11,0.02,100000,406670,0,108771,-1,False,RESOURCE_LIMIT_ACCEPTED_STEPS,SOLVER_NONCONVERGENCE,accepted-step limit 100000 reached before t_bound=15,ANCFIntegrationError: accepted-step limit 100000 reached before t_bound=15,,not_defined_for_damped_clamped_one_way_model_without_dissipation_power_integral,,not_defined_for_clamped_one_way_panel_with_prescribed_base_jump,55.642062299993995,3,0.05,,63747fee4a1eff9f76a9bdf33339c0e27d9f223cfead042f19f4094a54909937,
P1_tc00_v10mm_approach_5d,a4898648983e8777e822c4b512f501357662dad652b362b13105695dde403ef2,a4898648983e8777e822c4b512f501357662dad652b362b13105695dde403ef2,a61aaad7d65259bce62b0715ae68440b740ef507fa19210fd5ca4cd555119aa7,Radau,1e-06,1e-10,,21590,324163,0,67226,0,True,COMPLETED,COMPLETED,The solver successfully reached the end of the integration interval.,,,not_defined_for_damped_clamped_one_way_model_without_dissipation_power_integral,,not_defined_for_clamped_one_way_panel_with_prescribed_base_jump,34.24668169999495,0,0.05,444c9ff9ba14e1112595f2262d31ef099c66c3067b26ac31cca07523ae9170d7,bf64e375a11b7d036b312013fda90b2040b383652731a332c296618393649f0d,
