grid_index,case_id,scenario_hash,grasp_point_id,t_c_s,v_app_mps,task_constraint_mode,capture_mode,e15_state,M_PCS_e15,binding_metrics,binding_items,e15_reason_codes,e15_state_qualified,threshold_registry_schema_version,threshold_registry_status,threshold_evidence_json,H_RW_Nms,limit__H_RW_Nms,margin__H_RW_Nms,J_thr_Ns,limit__J_thr_Ns,margin__J_thr_Ns,E_flex_J,limit__E_flex_J,margin__E_flex_J,post_capture_rate_dps,limit__post_capture_rate_dps,margin__post_capture_rate_dps,base_attitude_change_deg,limit__base_attitude_change_deg,margin__base_attitude_change_deg
0,P1_tc00_v5mm_pose_6d,4f37bd9aac1c8a59,P1,0,0.0050000000000000001,pose_6d,rigid_6dof,UNSAFE,-0.52972742114264038,post_capture_rate_dps,post_capture_rate_dps;reason:MPCS_LIMIT_NOT_STRICTLY_POSITIVE,MPCS_LIMIT_NOT_STRICTLY_POSITIVE,UNSAFE_UNDER_PROVISIONAL_THRESHOLDS,e15-v1,PROVISIONAL,"{""E_flex_J"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""H_RW_Nms"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""J_thr_Ns"":{""confidence"":""LOW"",""source_type"":""DERIVED"",""verification_status"":""UNVERIFIED""},""base_attitude_change_deg"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""post_capture_rate_dps"":{""confidence"":""MEDIUM"",""source_type"":""MISSION_ASSUMPTION"",""verification_status"":""PARTIAL""}}",3.6776839106826817,5.4749999999999996,0.32827691129083436,21.633434768721656,32.205882352941174,0.32827691129083436,3.002392407385073e-06,0.001,0.99699760759261491,3.0594548422852808,2,-0.52972742114264038,1.6293558036945828,20,0.91853220981527084
1,P1_tc00_v5mm_approach_5d,ddb562a5b3747e13,P1,0,0.0050000000000000001,approach_5d,rigid_6dof,UNKNOWN,,,reason:FLEX_SOLVER_FAIL;reason:FLEX_STATUS_UNKNOWN_INADMISSIBLE;reason:INVALID_OR_MISSING_E_flex_J,FLEX_SOLVER_FAIL;FLEX_STATUS_UNKNOWN_INADMISSIBLE;INVALID_OR_MISSING_E_flex_J,UNKNOWN_UNDER_PROVISIONAL_THRESHOLDS,e15-v1,PROVISIONAL,"{""E_flex_J"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""H_RW_Nms"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""J_thr_Ns"":{""confidence"":""LOW"",""source_type"":""DERIVED"",""verification_status"":""UNVERIFIED""},""base_attitude_change_deg"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""post_capture_rate_dps"":{""confidence"":""MEDIUM"",""source_type"":""MISSION_ASSUMPTION"",""verification_status"":""PARTIAL""}}",3.6776839106827199,5.4749999999999996,,21.63343476872188,32.205882352941174,,,0.001,,3.0594587366443897,2,,1.6291258509881998,20,
2,P1_tc00_v10mm_pose_6d,4648e26f6240b367,P1,0,0.01,pose_6d,rigid_6dof,UNKNOWN,,,reason:FLEX_SOLVER_FAIL;reason:FLEX_STATUS_UNKNOWN_INADMISSIBLE;reason:INVALID_OR_MISSING_E_flex_J,FLEX_SOLVER_FAIL;FLEX_STATUS_UNKNOWN_INADMISSIBLE;INVALID_OR_MISSING_E_flex_J,UNKNOWN_UNDER_PROVISIONAL_THRESHOLDS,e15-v1,PROVISIONAL,"{""E_flex_J"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""H_RW_Nms"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""J_thr_Ns"":{""confidence"":""LOW"",""source_type"":""DERIVED"",""verification_status"":""UNVERIFIED""},""base_attitude_change_deg"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""post_capture_rate_dps"":{""confidence"":""MEDIUM"",""source_type"":""MISSION_ASSUMPTION"",""verification_status"":""PARTIAL""}}",3.677683910682644,5.4749999999999996,,21.633434768721436,32.205882352941174,,,0.001,,3.0594548422852745,2,,1.6293558036945828,20,
3,P1_tc00_v10mm_approach_5d,16df1cf8010d9f8e,P1,0,0.01,approach_5d,rigid_6dof,UNSAFE,-0.52972936832219486,post_capture_rate_dps,post_capture_rate_dps;reason:MPCS_LIMIT_NOT_STRICTLY_POSITIVE,MPCS_LIMIT_NOT_STRICTLY_POSITIVE,UNSAFE_UNDER_PROVISIONAL_THRESHOLDS,e15-v1,PROVISIONAL,"{""E_flex_J"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""H_RW_Nms"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""J_thr_Ns"":{""confidence"":""LOW"",""source_type"":""DERIVED"",""verification_status"":""UNVERIFIED""},""base_attitude_change_deg"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""post_capture_rate_dps"":{""confidence"":""MEDIUM"",""source_type"":""MISSION_ASSUMPTION"",""verification_status"":""PARTIAL""}}",3.6776839106827199,5.4749999999999996,0.32827691129082737,21.63343476872188,32.205882352941174,0.32827691129082737,3.0077764068761764e-06,0.001,0.99699222359312378,3.0594587366443897,2,-0.52972936832219486,1.6291258509881998,20,0.91854370745059
4,P1_tc00_v20mm_pose_6d,d7546acab4851cce,P1,0,0.02,pose_6d,rigid_6dof,UNSAFE,-0.52972742114263061,post_capture_rate_dps,post_capture_rate_dps;reason:MPCS_LIMIT_NOT_STRICTLY_POSITIVE,MPCS_LIMIT_NOT_STRICTLY_POSITIVE,UNSAFE_UNDER_PROVISIONAL_THRESHOLDS,e15-v1,PROVISIONAL,"{""E_flex_J"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""H_RW_Nms"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""J_thr_Ns"":{""confidence"":""LOW"",""source_type"":""DERIVED"",""verification_status"":""UNVERIFIED""},""base_attitude_change_deg"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""post_capture_rate_dps"":{""confidence"":""MEDIUM"",""source_type"":""MISSION_ASSUMPTION"",""verification_status"":""PARTIAL""}}",3.6776839106825672,5.4749999999999996,0.32827691129085523,21.633434768720981,32.205882352941174,0.32827691129085534,3.0193663157392071e-06,0.001,0.99698063368426082,3.0594548422852612,2,-0.52972742114263061,1.6293558036945828,20,0.91853220981527084
5,P1_tc00_v20mm_approach_5d,8480b66a14211f83,P1,0,0.02,approach_5d,rigid_6dof,UNKNOWN,,,reason:FLEX_SOLVER_FAIL;reason:FLEX_STATUS_UNKNOWN_INADMISSIBLE;reason:INVALID_OR_MISSING_E_flex_J,FLEX_SOLVER_FAIL;FLEX_STATUS_UNKNOWN_INADMISSIBLE;INVALID_OR_MISSING_E_flex_J,UNKNOWN_UNDER_PROVISIONAL_THRESHOLDS,e15-v1,PROVISIONAL,"{""E_flex_J"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""H_RW_Nms"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""J_thr_Ns"":{""confidence"":""LOW"",""source_type"":""DERIVED"",""verification_status"":""UNVERIFIED""},""base_attitude_change_deg"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""post_capture_rate_dps"":{""confidence"":""MEDIUM"",""source_type"":""MISSION_ASSUMPTION"",""verification_status"":""PARTIAL""}}",3.6776839106827199,5.4749999999999996,,21.63343476872188,32.205882352941174,,,0.001,,3.0594587366443897,2,,1.6291258509881998,20,
6,P1_tc30_v5mm_pose_6d,5696a464c3647347,P1,30,0.0050000000000000001,pose_6d,rigid_6dof,UNSAFE,,,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;HARD_FLAG_MISSING_OR_INVALID_condition_number_max;HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;IK_FAIL;IK_INFEASIBLE;INVALID_OR_MISSING_E_flex_J;INVALID_OR_MISSING_H_RW_Nms;INVALID_OR_MISSING_J_thr_Ns;INVALID_OR_MISSING_base_attitude_change_deg;INVALID_OR_MISSING_post_capture_rate_dps,UNSAFE_UNDER_PROVISIONAL_THRESHOLDS,e15-v1,PROVISIONAL,"{""E_flex_J"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""H_RW_Nms"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""J_thr_Ns"":{""confidence"":""LOW"",""source_type"":""DERIVED"",""verification_status"":""UNVERIFIED""},""base_attitude_change_deg"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""post_capture_rate_dps"":{""confidence"":""MEDIUM"",""source_type"":""MISSION_ASSUMPTION"",""verification_status"":""PARTIAL""}}",,5.4749999999999996,,,32.205882352941174,,,0.001,,,2,,,20,
7,P1_tc30_v5mm_approach_5d,19eef41713d296ca,P1,30,0.0050000000000000001,approach_5d,rigid_6dof,UNSAFE,,,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;HARD_FLAG_MISSING_OR_INVALID_condition_number_max;HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;IK_FAIL;IK_INFEASIBLE;INVALID_OR_MISSING_E_flex_J;INVALID_OR_MISSING_H_RW_Nms;INVALID_OR_MISSING_J_thr_Ns;INVALID_OR_MISSING_base_attitude_change_deg;INVALID_OR_MISSING_post_capture_rate_dps,UNSAFE_UNDER_PROVISIONAL_THRESHOLDS,e15-v1,PROVISIONAL,"{""E_flex_J"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""H_RW_Nms"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""J_thr_Ns"":{""confidence"":""LOW"",""source_type"":""DERIVED"",""verification_status"":""UNVERIFIED""},""base_attitude_change_deg"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""post_capture_rate_dps"":{""confidence"":""MEDIUM"",""source_type"":""MISSION_ASSUMPTION"",""verification_status"":""PARTIAL""}}",,5.4749999999999996,,,32.205882352941174,,,0.001,,,2,,,20,
8,P1_tc30_v10mm_pose_6d,8280f0139a5cb944,P1,30,0.01,pose_6d,rigid_6dof,UNSAFE,,,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;HARD_FLAG_MISSING_OR_INVALID_condition_number_max;HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;IK_FAIL;IK_INFEASIBLE;INVALID_OR_MISSING_E_flex_J;INVALID_OR_MISSING_H_RW_Nms;INVALID_OR_MISSING_J_thr_Ns;INVALID_OR_MISSING_base_attitude_change_deg;INVALID_OR_MISSING_post_capture_rate_dps,UNSAFE_UNDER_PROVISIONAL_THRESHOLDS,e15-v1,PROVISIONAL,"{""E_flex_J"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""H_RW_Nms"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""J_thr_Ns"":{""confidence"":""LOW"",""source_type"":""DERIVED"",""verification_status"":""UNVERIFIED""},""base_attitude_change_deg"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""post_capture_rate_dps"":{""confidence"":""MEDIUM"",""source_type"":""MISSION_ASSUMPTION"",""verification_status"":""PARTIAL""}}",,5.4749999999999996,,,32.205882352941174,,,0.001,,,2,,,20,
9,P1_tc30_v10mm_approach_5d,0700ec94dd864b10,P1,30,0.01,approach_5d,rigid_6dof,UNSAFE,,,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;HARD_FLAG_MISSING_OR_INVALID_condition_number_max;HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;IK_FAIL;IK_INFEASIBLE;INVALID_OR_MISSING_E_flex_J;INVALID_OR_MISSING_H_RW_Nms;INVALID_OR_MISSING_J_thr_Ns;INVALID_OR_MISSING_base_attitude_change_deg;INVALID_OR_MISSING_post_capture_rate_dps,UNSAFE_UNDER_PROVISIONAL_THRESHOLDS,e15-v1,PROVISIONAL,"{""E_flex_J"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""H_RW_Nms"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""J_thr_Ns"":{""confidence"":""LOW"",""source_type"":""DERIVED"",""verification_status"":""UNVERIFIED""},""base_attitude_change_deg"":{""confidence"":""LOW"",""source_type"":""PROVISIONAL"",""verification_status"":""UNVERIFIED""},""post_capture_rate_dps"":{""confidence"":""MEDIUM"",""source_type"":""MISSION_ASSUMPTION"",""verification_status"":""PARTIAL""}}",,5.4749999999999996,,,32.205882352941174,,,0.001,,,2,,,20,
