diagnostic_family,label,relative_difference,gate_limit,source_id
cross_solver,n=2 jump,0.0007084683724568014,0.05,ancf_cross_solver
cross_solver,n=4 jump,0.00818546771868245,0.05,ancf_cross_solver
cross_solver,n=8 jump,0.004590140577701337,0.05,ancf_cross_solver
cross_solver,n=8 jump,0.016477832742330733,0.05,ancf_cross_solver
cross_solver,20 ms pulse,0.03838533256562881,0.05,ancf_cross_solver
cross_solver,10 ms pulse,0.05637349419858036,0.05,ancf_cross_solver
mesh,2→4 elements,0.021312262885158407,N/A_NOT_APPLICABLE,ancf_discretization
mesh,4→8 elements,0.00268086420326045,N/A_NOT_APPLICABLE,ancf_discretization
pulse,20 ms→jump,0.0009546679730419482,N/A_NOT_APPLICABLE,ancf_discretization
pulse,10 ms→jump,0.00022787561381270145,N/A_NOT_APPLICABLE,ancf_discretization
newmark,Δt=20 ms,0.06804971347472415,N/A_NOT_APPLICABLE,ancf_newmark
newmark,Δt=10 ms,0.02356068163073141,N/A_NOT_APPLICABLE,ancf_newmark
newmark,Δt=5 ms,0.00599362110749738,N/A_NOT_APPLICABLE,ancf_newmark
